Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2009,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,COX,162.49,64.16,28.73,,0.0,64.23,237.1,40.01
2010,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,COX,180.09,37.39,32.17,,4.32,55.4,245.85,26.99
2011,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,COX,192.8,68.95,37.31,,6.92,46.44,250.16,36.63
2012,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,COX,190.11,81.09,32.28,,7.06,41.55,241.77,34.58
2013,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,COX,238.31,93.81,43.23,,11.83,46.53,297.08,32.2
2014,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,COX,281.06,137.42,49.81,,11.76,50.08,341.58,66.46
2015,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,COX,281.46,69.64,36.4,,0.0,67.34,359.76,27.54
2016,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,COX,293.42,33.16,54.36,,,62.45,366.45,35.25
2017,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,COX,289.01,18.72,62.76,,4.95,78.08,391.61,40.93
2018,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,COX,275.7,14.71,48.3,,0.54,60.57,371.83,47.81
2019,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,COX,250.85,4.13,68.32,9.2,2.11,72.46,372.63,-46.69
2020,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,COX,273.36,10.76,45.43,4.12,0.34,114.59,424.38,93.44
2021,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,COX,236.68,4.83,70.61,25.36,0.0,92.05,367.13,-58.4
2022,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,COX,292.78,16.38,182.16,114.6,2.12,179.51,514.3,-36.49
2023,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,COX,345.82,52.61,173.04,93.34,7.09,189.91,582.63,26.75
2024,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,COX,289.15,28.72,64.64,6.42,12.03,137.8,443.48,87.41
