Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2004,JDAN.CO,Jeudan A/S,Real Estate Operations,Real Estate,COX,193.17,26.33,400.94,299.51,,,4983.73,135.13
2005,JDAN.CO,Jeudan A/S,Real Estate Operations,Real Estate,COX,190.08,145.32,592.87,409.34,,,5761.51,116.73
2006,JDAN.CO,Jeudan A/S,Real Estate Operations,Real Estate,COX,239.37,206.61,641.6,459.76,,,6671.03,121.59
2007,JDAN.CO,Jeudan A/S,Real Estate Operations,Real Estate,COX,63.36,15.82,1353.95,1163.33,,,9391.36,104.03
2008,JDAN.CO,Jeudan A/S,Real Estate Operations,Real Estate,COX,68.03,9.58,819.04,598.33,0.0,,12298.55,99.15
2009,JDAN.CO,Jeudan A/S,Real Estate Operations,Real Estate,COX,76.22,3.11,2660.24,2397.88,0.85,,14570.42,188.7
2010,JDAN.CO,Jeudan A/S,Real Estate Operations,Real Estate,COX,76.1,3.61,1486.15,,2.02,,14845.46,214.57
2011,JDAN.CO,Jeudan A/S,Real Estate Operations,Real Estate,COX,211.68,124.1,829.31,62.13,0.0,,16199.47,253.55
2012,JDAN.CO,Jeudan A/S,Real Estate Operations,Real Estate,COX,363.22,302.28,889.47,75.37,,,16740.19,467.65
2013,JDAN.CO,Jeudan A/S,Real Estate Operations,Real Estate,COX,636.49,551.73,1173.57,,,19263.42,19900.09,527.16
2014,JDAN.CO,Jeudan A/S,Real Estate Operations,Real Estate,COX,130.91,8.52,1466.18,,,23022.19,23153.21,439.02
2015,JDAN.CO,Jeudan A/S,Real Estate Operations,Real Estate,COX,205.05,35.0,1202.13,808.44,,25915.71,26120.76,640.48
2016,JDAN.CO,Jeudan A/S,Real Estate Operations,Real Estate,COX,160.5,12.41,1425.49,1028.11,3.47,25718.28,25878.78,792.99
2017,JDAN.CO,Jeudan A/S,Real Estate Operations,Real Estate,COX,197.69,4.25,1433.76,935.28,3.3,31011.91,31209.6,738.81
2018,JDAN.CO,Jeudan A/S,Real Estate Operations,Real Estate,COX,265.89,4.85,1809.46,1307.0,0.0,31927.45,32193.35,759.98
2019,JDAN.CO,Jeudan A/S,Real Estate Operations,Real Estate,COX,398.16,87.82,1784.09,1313.84,,34786.06,35184.21,900.37
2020,JDAN.CO,Jeudan A/S,Real Estate Operations,Real Estate,COX,434.21,155.83,1733.16,1094.48,,39887.68,40321.88,1282.76
2021,JDAN.CO,Jeudan A/S,Real Estate Operations,Real Estate,COX,435.61,3.12,1866.63,1084.29,132.5,41801.95,42237.56,934.12
2022,JDAN.CO,Jeudan A/S,Real Estate Operations,Real Estate,COX,143.97,20.78,2345.25,2670.64,777.31,49161.26,52267.58,920.12
2023,JDAN.CO,Jeudan A/S,Real Estate Operations,Real Estate,COX,965.6,42.45,1723.14,2677.83,0.0,51889.63,54913.51,189.39
2024,JDAN.CO,Jeudan A/S,Real Estate Operations,Real Estate,COX,1048.31,121.06,2208.09,3053.1,0.32,55853.9,58443.67,864.02
