Split,PortfolioStrategy,StrategyLabel,Method,MethodLabel,StartDate,EndDate,NMonths,TotalCumulativeReturn,TotalCumulativeReturnPct
Exchange=Copenhagen,LongShort,Long-short,Method1_ObservedQuality,Observed Quality,2010-07-31,2025-06-30,179,9.621282896853407,962.1282896853406
Exchange=Copenhagen,LongShort,Long-short,Method2_LatentQuality,Latent Quality,2010-07-31,2025-06-30,179,9.336521994157733,933.6521994157733
Exchange=Copenhagen,LongShort,Long-short,Method3_ConservativeQuality,Conservative Quality,2010-07-31,2026-03-31,189,7.20794176865121,720.794176865121
Exchange=Copenhagen,LongShort,Long-short,Method4_ProbabilisticQuality,Probabilistic Quality,2010-07-31,2025-06-30,179,10.956622615969899,1095.6622615969898
Exchange=Copenhagen,Q5,Long-only Q5,Method1_ObservedQuality,Observed Quality,2010-07-31,2025-06-30,179,12.972362738036418,1297.2362738036418
Exchange=Copenhagen,Q5,Long-only Q5,Method2_LatentQuality,Latent Quality,2010-07-31,2025-06-30,179,14.653845083738286,1465.3845083738286
Exchange=Copenhagen,Q5,Long-only Q5,Method3_ConservativeQuality,Conservative Quality,2010-07-31,2026-03-31,189,12.456949309240057,1245.6949309240058
Exchange=Copenhagen,Q5,Long-only Q5,Method4_ProbabilisticQuality,Probabilistic Quality,2010-07-31,2025-06-30,179,13.52993155261602,1352.993155261602
Exchange=Helsinki,LongShort,Long-short,Method1_ObservedQuality,Observed Quality,2010-07-31,2026-03-31,189,1.5469841078787696,154.69841078787695
Exchange=Helsinki,LongShort,Long-short,Method2_LatentQuality,Latent Quality,2010-07-31,2026-03-31,189,2.21699639569509,221.699639569509
Exchange=Helsinki,LongShort,Long-short,Method3_ConservativeQuality,Conservative Quality,2010-07-31,2026-03-31,189,1.809614878539267,180.96148785392668
Exchange=Helsinki,LongShort,Long-short,Method4_ProbabilisticQuality,Probabilistic Quality,2010-07-31,2026-03-31,189,1.738843304511923,173.88433045119228
Exchange=Helsinki,Q5,Long-only Q5,Method1_ObservedQuality,Observed Quality,2010-07-31,2026-03-31,189,8.9200903319085,892.0090331908501
Exchange=Helsinki,Q5,Long-only Q5,Method2_LatentQuality,Latent Quality,2010-07-31,2026-03-31,189,9.071373524138885,907.1373524138885
Exchange=Helsinki,Q5,Long-only Q5,Method3_ConservativeQuality,Conservative Quality,2010-07-31,2026-03-31,189,9.837888589738006,983.7888589738005
Exchange=Helsinki,Q5,Long-only Q5,Method4_ProbabilisticQuality,Probabilistic Quality,2010-07-31,2026-03-31,189,9.377648163321947,937.7648163321946
Exchange=Oslo,LongShort,Long-short,Method1_ObservedQuality,Observed Quality,2012-07-31,2026-03-31,165,7.7021619881096015,770.2161988109601
Exchange=Oslo,LongShort,Long-short,Method2_LatentQuality,Latent Quality,2012-07-31,2026-03-31,165,8.964559434424194,896.4559434424194
Exchange=Oslo,LongShort,Long-short,Method3_ConservativeQuality,Conservative Quality,2012-07-31,2026-03-31,165,9.15918545496348,915.918545496348
Exchange=Oslo,LongShort,Long-short,Method4_ProbabilisticQuality,Probabilistic Quality,2012-07-31,2026-03-31,165,7.19953074247219,719.953074247219
Exchange=Oslo,Q5,Long-only Q5,Method1_ObservedQuality,Observed Quality,2012-07-31,2026-03-31,165,10.250105519403872,1025.0105519403871
Exchange=Oslo,Q5,Long-only Q5,Method2_LatentQuality,Latent Quality,2012-07-31,2026-03-31,165,11.028110815791731,1102.811081579173
Exchange=Oslo,Q5,Long-only Q5,Method3_ConservativeQuality,Conservative Quality,2012-07-31,2026-03-31,165,9.759897538300416,975.9897538300416
Exchange=Oslo,Q5,Long-only Q5,Method4_ProbabilisticQuality,Probabilistic Quality,2012-07-31,2026-03-31,165,9.696517222764571,969.6517222764571
Exchange=Stockholm,LongShort,Long-short,Method1_ObservedQuality,Observed Quality,2010-07-31,2026-03-31,189,4.223215168098454,422.3215168098454
Exchange=Stockholm,LongShort,Long-short,Method2_LatentQuality,Latent Quality,2010-07-31,2026-03-31,189,3.30794091370288,330.794091370288
Exchange=Stockholm,LongShort,Long-short,Method3_ConservativeQuality,Conservative Quality,2010-07-31,2026-03-31,189,5.947610383883027,594.7610383883027
Exchange=Stockholm,LongShort,Long-short,Method4_ProbabilisticQuality,Probabilistic Quality,2010-07-31,2026-03-31,189,4.32377523811208,432.377523811208
Exchange=Stockholm,Q5,Long-only Q5,Method1_ObservedQuality,Observed Quality,2010-07-31,2026-03-31,189,10.023312197334645,1002.3312197334645
Exchange=Stockholm,Q5,Long-only Q5,Method2_LatentQuality,Latent Quality,2010-07-31,2026-03-31,189,10.214529885044824,1021.4529885044824
Exchange=Stockholm,Q5,Long-only Q5,Method3_ConservativeQuality,Conservative Quality,2010-07-31,2026-03-31,189,9.34915988471516,934.915988471516
Exchange=Stockholm,Q5,Long-only Q5,Method4_ProbabilisticQuality,Probabilistic Quality,2010-07-31,2026-03-31,189,9.99578887050218,999.578887050218
