ExchangeCode,Exchange,holding_rows,unique_firms,months,included
CO,Copenhagen,46062,85,189,True
HE,Helsinki,57895,112,189,True
IC,Iceland,5881,19,189,False
OL,Oslo,61336,141,189,True
ST,Stockholm,108633,253,189,True
