Exchange,PortfolioStrategy,FactorModel,Comparison,alpha_difference_annualized,alpha_difference_monthly,t_stat,p_value
Copenhagen,Q5,CAPM,Method2_LatentQuality minus Method1_ObservedQuality,0.005204670107135184,0.000433722508927932,0.11677941710998395,0.9071010779342763
Copenhagen,Q5,CAPM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.007821353743031279,0.0006517794785859399,0.17033564193113807,0.8648434900985462
Copenhagen,Q5,CAPM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.0033296658744981916,0.00027747215620818264,0.07713773799766978,0.9385575504736499
Copenhagen,Q5,FF3,Method2_LatentQuality minus Method1_ObservedQuality,0.005832264908006493,0.00048602207566720776,0.16797883196676197,0.8666969529841753
Copenhagen,Q5,FF3,Method3_ConservativeQuality minus Method1_ObservedQuality,0.007974592933320049,0.0006645494111100041,0.2218381507557486,0.8245692583511564
Copenhagen,Q5,FF3,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.0035309415350431167,0.0002942451279202597,0.10583595950202969,0.9157731362999999
Copenhagen,Q5,FF3+MOM,Method2_LatentQuality minus Method1_ObservedQuality,0.0004739069961387371,3.949224967822809e-05,0.015994976361643997,0.9872475655400295
Copenhagen,Q5,FF3+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0030297317550331687,0.00025247764625276406,0.1028916436435379,0.9181082348574114
Copenhagen,Q5,FF3+MOM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.0009499832054990637,-7.916526712492197e-05,-0.03444546250512397,0.9725416795976578
Copenhagen,Q5,FF5,Method2_LatentQuality minus Method1_ObservedQuality,0.0048690225908418205,0.0004057518825701517,0.13290765532426596,0.8943436740882642
Copenhagen,Q5,FF5,Method3_ConservativeQuality minus Method1_ObservedQuality,0.006976426952691572,0.0005813689127242977,0.18444482800180964,0.853772561812248
Copenhagen,Q5,FF5,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.002867857927825679,0.0002389881606521399,0.08107371523809566,0.9354302043348248
Copenhagen,Q5,FF5+MOM,Method2_LatentQuality minus Method1_ObservedQuality,-0.00024306677260389764,-2.0255564383658137e-05,-0.008189694148154746,0.9934703898126174
Copenhagen,Q5,FF5+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0020154426808086795,0.00016795355673405662,0.06863417601978401,0.9453206913551266
Copenhagen,Q5,FF5+MOM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.0007157018033056989,-5.964181694214157e-05,-0.025605586925428043,0.9795867768599413
Helsinki,Q5,CAPM,Method2_LatentQuality minus Method1_ObservedQuality,-0.001365229381108224,-0.00011376911509235199,-0.035595206551572035,0.97162412069477
Helsinki,Q5,CAPM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0024525715206033943,0.00020438096005028286,0.06383314338089117,0.9491371902476025
Helsinki,Q5,CAPM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.0026300954211617156,0.00021917461843014296,0.06654565050174,0.946978972554597
Helsinki,Q5,FF3,Method2_LatentQuality minus Method1_ObservedQuality,-0.0016662526208618272,-0.00013885438507181894,-0.04906942838180593,0.9608904433401044
Helsinki,Q5,FF3,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0020850000653439837,0.00017375000544533198,0.060926687461816,0.9514504912719528
Helsinki,Q5,FF3,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.0025971897088430534,0.00021643247573692112,0.07509816028966336,0.9401771976970452
Helsinki,Q5,FF3+MOM,Method2_LatentQuality minus Method1_ObservedQuality,0.003906254309137783,0.00032552119242814856,0.10915541220668275,0.9131387204428507
Helsinki,Q5,FF3+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.010664787795974864,0.0008887323163312387,0.2941316712139141,0.768823121262721
Helsinki,Q5,FF3+MOM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.0019072366257309875,0.0001589363854775823,0.05346117543005887,0.9573934734765903
Helsinki,Q5,FF5,Method2_LatentQuality minus Method1_ObservedQuality,-0.0007449371567875007,-6.20780963989584e-05,-0.02235746114451179,0.9821749967028319
Helsinki,Q5,FF5,Method3_ConservativeQuality minus Method1_ObservedQuality,0.004528279470735808,0.0003773566225613173,0.13408955753033755,0.8934054587692204
Helsinki,Q5,FF5,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.0019577314692352382,0.00016314428910293652,0.05785439746601487,0.9538961804067945
Helsinki,Q5,FF5+MOM,Method2_LatentQuality minus Method1_ObservedQuality,0.004921188068562329,0.00041009900571352745,0.14867730598069395,0.881890601043053
Helsinki,Q5,FF5+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.012610764798251364,0.001050897066520947,0.369899389173782,0.7116725751246009
Helsinki,Q5,FF5+MOM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.001552728629551886,0.00012939405246265717,0.047654497431593036,0.9620177337924758
Oslo,Q5,CAPM,Method2_LatentQuality minus Method1_ObservedQuality,0.005149196509398879,0.00042909970911657325,0.07563593659025931,0.9397551386682581
Oslo,Q5,CAPM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.005241479864502546,-0.0004367899887085455,-0.07989821902526535,0.9363672303499182
Oslo,Q5,CAPM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.003826479291309026,-0.0003188732742757522,-0.05574495018444967,0.9555791387029018
Oslo,Q5,FF3,Method2_LatentQuality minus Method1_ObservedQuality,0.0055530432116320805,0.00046275360096934004,0.10334046739841839,0.9177570899208773
Oslo,Q5,FF3,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.004436365239030571,-0.00036969710325254757,-0.08722907950722686,0.9305436447898785
Oslo,Q5,FF3,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.0038914091613668905,-0.0003242840967805742,-0.07209119057382575,0.9425740937092195
Oslo,Q5,FF3+MOM,Method2_LatentQuality minus Method1_ObservedQuality,-0.005032631914156552,-0.0004193859928463793,-0.08120607952242276,0.9353288303943772
Oslo,Q5,FF3+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.019301529717756505,-0.001608460809813042,-0.3202727291072778,0.748970620027489
Oslo,Q5,FF3+MOM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.006103267454212587,-0.0005086056211843822,-0.09450216927168602,0.9247694049443664
Oslo,Q5,FF5,Method2_LatentQuality minus Method1_ObservedQuality,0.005232743293021994,0.00043606194108516613,0.1005237215843872,0.9199918974061552
Oslo,Q5,FF5,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.006865679748621442,-0.0005721399790517868,-0.14001517496371652,0.8887366404445802
Oslo,Q5,FF5,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.00495824319819093,-0.0004131869331825775,-0.09451371392225931,0.9247606138619813
Oslo,Q5,FF5+MOM,Method2_LatentQuality minus Method1_ObservedQuality,-0.005526571667040819,-0.0004605476389200683,-0.09151171066586693,0.9271439843592466
