Exchange,Date,Method,PortfolioStrategy,Return
Copenhagen,2010-07-31,Method1_ObservedQuality,Q5,0.05746373135915707
Copenhagen,2010-08-31,Method1_ObservedQuality,Q5,-0.028149554019164837
Copenhagen,2010-09-30,Method1_ObservedQuality,Q5,0.05743494240365583
Copenhagen,2010-10-31,Method1_ObservedQuality,Q5,0.10566828904339876
Copenhagen,2010-11-30,Method1_ObservedQuality,Q5,-0.02572919840113969
Copenhagen,2010-12-31,Method1_ObservedQuality,Q5,0.0013406444020629899
Copenhagen,2011-01-31,Method1_ObservedQuality,Q5,0.03098791637760164
Copenhagen,2011-02-28,Method1_ObservedQuality,Q5,-0.01769268094317885
Copenhagen,2011-03-31,Method1_ObservedQuality,Q5,0.018976759858877
Copenhagen,2011-04-30,Method1_ObservedQuality,Q5,0.046355236900521804
Copenhagen,2011-05-31,Method1_ObservedQuality,Q5,0.00028873478519881695
Copenhagen,2011-06-30,Method1_ObservedQuality,Q5,-0.02246204623726878
Copenhagen,2011-07-31,Method1_ObservedQuality,Q5,-0.012976593908771112
Copenhagen,2011-08-31,Method1_ObservedQuality,Q5,-0.08702644536848508
Copenhagen,2011-09-30,Method1_ObservedQuality,Q5,-0.008870995872155406
Copenhagen,2011-10-31,Method1_ObservedQuality,Q5,-0.01672491768016368
Copenhagen,2011-11-30,Method1_ObservedQuality,Q5,0.04420125556556257
Copenhagen,2011-12-31,Method1_ObservedQuality,Q5,0.04476051092633978
Copenhagen,2012-01-31,Method1_ObservedQuality,Q5,0.014644151297997527
Copenhagen,2012-02-29,Method1_ObservedQuality,Q5,0.027713227843590475
Copenhagen,2012-03-31,Method1_ObservedQuality,Q5,0.0367590302160583
Copenhagen,2012-04-30,Method1_ObservedQuality,Q5,0.008977359261290174
Copenhagen,2012-05-31,Method1_ObservedQuality,Q5,-0.029584308335540845
Copenhagen,2012-06-30,Method1_ObservedQuality,Q5,0.020274973238156576
Copenhagen,2012-07-31,Method1_ObservedQuality,Q5,0.042956104209583325
Copenhagen,2012-08-31,Method1_ObservedQuality,Q5,0.007446258717665338
Copenhagen,2012-09-30,Method1_ObservedQuality,Q5,0.012747325376199981
Copenhagen,2012-10-31,Method1_ObservedQuality,Q5,0.014312077165240272
Copenhagen,2012-11-30,Method1_ObservedQuality,Q5,-0.008133580772386004
Copenhagen,2012-12-31,Method1_ObservedQuality,Q5,0.03145163278965071
Copenhagen,2013-01-31,Method1_ObservedQuality,Q5,0.07747984010497096
Copenhagen,2013-02-28,Method1_ObservedQuality,Q5,0.04029441966642634
Copenhagen,2013-03-31,Method1_ObservedQuality,Q5,0.05281821742890101
Copenhagen,2013-04-30,Method1_ObservedQuality,Q5,0.018432361865703403
Copenhagen,2013-05-31,Method1_ObservedQuality,Q5,0.038684047167635474
Copenhagen,2013-06-30,Method1_ObservedQuality,Q5,0.017711271951419406
Copenhagen,2013-07-31,Method1_ObservedQuality,Q5,0.026825730769028305
Copenhagen,2013-08-31,Method1_ObservedQuality,Q5,0.053730169521265234
Copenhagen,2013-09-30,Method1_ObservedQuality,Q5,0.07269444424509681
Copenhagen,2013-10-31,Method1_ObservedQuality,Q5,0.04068009582102958
Copenhagen,2013-11-30,Method1_ObservedQuality,Q5,0.0411009132525716
Copenhagen,2013-12-31,Method1_ObservedQuality,Q5,0.02200300056413858
Copenhagen,2014-01-31,Method1_ObservedQuality,Q5,0.054715390341443876
Copenhagen,2014-02-28,Method1_ObservedQuality,Q5,0.029302605224907553
Copenhagen,2014-03-31,Method1_ObservedQuality,Q5,-0.010603378299056953
Copenhagen,2014-04-30,Method1_ObservedQuality,Q5,-0.0035589462478214286
Copenhagen,2014-05-31,Method1_ObservedQuality,Q5,0.01071405609560989
Copenhagen,2014-06-30,Method1_ObservedQuality,Q5,0.041979656510520214
Copenhagen,2014-07-31,Method1_ObservedQuality,Q5,-0.026862614299424194
Copenhagen,2014-08-31,Method1_ObservedQuality,Q5,-0.032824260561440985
Copenhagen,2014-09-30,Method1_ObservedQuality,Q5,0.023105643411173358
Copenhagen,2014-10-31,Method1_ObservedQuality,Q5,0.08879961457755492
Copenhagen,2014-11-30,Method1_ObservedQuality,Q5,0.02323935422233924
Copenhagen,2014-12-31,Method1_ObservedQuality,Q5,0.065028224802582
Copenhagen,2015-01-31,Method1_ObservedQuality,Q5,0.06026321259152898
Copenhagen,2015-02-28,Method1_ObservedQuality,Q5,0.058950237180212736
Copenhagen,2015-03-31,Method1_ObservedQuality,Q5,0.07666626180781189
Copenhagen,2015-04-30,Method1_ObservedQuality,Q5,-0.0307182756402445
Copenhagen,2015-05-31,Method1_ObservedQuality,Q5,0.04037148718591877
Copenhagen,2015-06-30,Method1_ObservedQuality,Q5,-0.024673910261553356
Copenhagen,2015-07-31,Method1_ObservedQuality,Q5,0.08724935585406164
Copenhagen,2015-08-31,Method1_ObservedQuality,Q5,-0.002201972382764593
Copenhagen,2015-09-30,Method1_ObservedQuality,Q5,0.00749142834441591
Copenhagen,2015-10-31,Method1_ObservedQuality,Q5,0.03107886362440191
Copenhagen,2015-11-30,Method1_ObservedQuality,Q5,0.12672289861306762
Copenhagen,2015-12-31,Method1_ObservedQuality,Q5,0.06488442098760848
Copenhagen,2016-01-31,Method1_ObservedQuality,Q5,-0.05949626786306663
Copenhagen,2016-02-29,Method1_ObservedQuality,Q5,-0.024853378424503192
Copenhagen,2016-03-31,Method1_ObservedQuality,Q5,-0.0034094559311867527
Copenhagen,2016-04-30,Method1_ObservedQuality,Q5,-0.0039253270749890915
Copenhagen,2016-05-31,Method1_ObservedQuality,Q5,0.09448418661192597
Copenhagen,2016-06-30,Method1_ObservedQuality,Q5,-0.041115118764017966
Copenhagen,2016-07-31,Method1_ObservedQuality,Q5,0.06439087804258342
Copenhagen,2016-08-31,Method1_ObservedQuality,Q5,-0.024135584137067744
Copenhagen,2016-09-30,Method1_ObservedQuality,Q5,-0.0384594444473327
Copenhagen,2016-10-31,Method1_ObservedQuality,Q5,-0.01610169148351724
Copenhagen,2016-11-30,Method1_ObservedQuality,Q5,-0.02987371564944193
Copenhagen,2016-12-31,Method1_ObservedQuality,Q5,0.07335258656653043
Copenhagen,2017-01-31,Method1_ObservedQuality,Q5,0.018865054372773766
Copenhagen,2017-02-28,Method1_ObservedQuality,Q5,-0.002730332057363455
Copenhagen,2017-03-31,Method1_ObservedQuality,Q5,0.0653623059327003
Copenhagen,2017-04-30,Method1_ObservedQuality,Q5,0.0761195156262427
Copenhagen,2017-05-31,Method1_ObservedQuality,Q5,0.035755528757231175
Copenhagen,2017-06-30,Method1_ObservedQuality,Q5,-0.0050627950695346785
Copenhagen,2017-07-31,Method1_ObservedQuality,Q5,-0.02186655553335369
Copenhagen,2017-08-31,Method1_ObservedQuality,Q5,0.00937962056732244
Copenhagen,2017-09-30,Method1_ObservedQuality,Q5,0.026086604123157928
Copenhagen,2017-10-31,Method1_ObservedQuality,Q5,0.04980465695255446
Copenhagen,2017-11-30,Method1_ObservedQuality,Q5,-0.05625634483624094
Copenhagen,2017-12-31,Method1_ObservedQuality,Q5,0.01885219546841765
Copenhagen,2018-01-31,Method1_ObservedQuality,Q5,-0.0009194927647625407
Copenhagen,2018-02-28,Method1_ObservedQuality,Q5,0.009284296214359593
Copenhagen,2018-03-31,Method1_ObservedQuality,Q5,0.004518758516922142
Copenhagen,2018-04-30,Method1_ObservedQuality,Q5,0.01933272103012088
Copenhagen,2018-05-31,Method1_ObservedQuality,Q5,0.022702274678404816
Copenhagen,2018-06-30,Method1_ObservedQuality,Q5,0.007352689834284008
Copenhagen,2018-07-31,Method1_ObservedQuality,Q5,0.05670670132611025
Copenhagen,2018-08-31,Method1_ObservedQuality,Q5,0.02472078171464868
Copenhagen,2018-09-30,Method1_ObservedQuality,Q5,-0.07451134200709587
Copenhagen,2018-10-31,Method1_ObservedQuality,Q5,-0.06830401911142452
Copenhagen,2018-11-30,Method1_ObservedQuality,Q5,0.01174042074849705
Copenhagen,2018-12-31,Method1_ObservedQuality,Q5,-0.011219184429773274
Copenhagen,2019-01-31,Method1_ObservedQuality,Q5,0.0404668082930024
Copenhagen,2019-02-28,Method1_ObservedQuality,Q5,0.05203256471634193
Copenhagen,2019-03-31,Method1_ObservedQuality,Q5,0.016062759198744385
Copenhagen,2019-04-30,Method1_ObservedQuality,Q5,0.041934931629956505
Copenhagen,2019-05-31,Method1_ObservedQuality,Q5,-0.035885054581409156
