Exchange,Method,Portfolio,Date,n_firms,reason
Copenhagen,Method1_ObservedQuality,Q1,2019-06-30,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method1_ObservedQuality,Q1,2025-07-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method1_ObservedQuality,Q1,2025-08-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method1_ObservedQuality,Q1,2025-09-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method1_ObservedQuality,Q1,2025-10-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method1_ObservedQuality,Q1,2025-11-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method1_ObservedQuality,Q1,2025-12-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method1_ObservedQuality,Q1,2026-01-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method1_ObservedQuality,Q1,2026-02-28,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method1_ObservedQuality,Q1,2026-03-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_LatentQuality,Q1,2019-06-30,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_LatentQuality,Q1,2025-07-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_LatentQuality,Q1,2025-08-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_LatentQuality,Q1,2025-09-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_LatentQuality,Q1,2025-10-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_LatentQuality,Q1,2025-11-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_LatentQuality,Q1,2025-12-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
