Exchange,PortfolioStrategy,FactorModel,Method1_ObservedQuality_alpha_annualized,Method2_LatentQuality_alpha_annualized,Method3_ConservativeQuality_alpha_annualized,Method4_ProbabilisticQuality_alpha_annualized,Method1_ObservedQuality_p_value,Method2_LatentQuality_p_value,Method3_ConservativeQuality_p_value,Method4_ProbabilisticQuality_p_value,Method1_ObservedQuality_t_stat,Method2_LatentQuality_t_stat,Method3_ConservativeQuality_t_stat,Method4_ProbabilisticQuality_t_stat,Method2_LatentQuality_minus_Method1_ObservedQuality_alpha_difference_annualized,Method3_ConservativeQuality_minus_Method1_ObservedQuality_alpha_difference_annualized,Method4_ProbabilisticQuality_minus_Method1_ObservedQuality_alpha_difference_annualized,Method2_LatentQuality_minus_Method1_ObservedQuality_p_value,Method3_ConservativeQuality_minus_Method1_ObservedQuality_p_value,Method4_ProbabilisticQuality_minus_Method1_ObservedQuality_p_value,Method2_LatentQuality_minus_Method1_ObservedQuality_t_stat,Method3_ConservativeQuality_minus_Method1_ObservedQuality_t_stat,Method4_ProbabilisticQuality_minus_Method1_ObservedQuality_t_stat
Copenhagen,LongShort,CAPM,0.1610816984813348,0.1464219612161878,0.14175460149901897,0.16954311877011513,0.03891947237801663,0.07062395561138146,0.05519272028536437,0.033395663035701295,2.0805039590550805,1.818853070957926,1.9300307243843817,2.1440223376528063,-0.014659737265147134,-0.01744243566800715,0.008461420288780235,0.8959582356075537,0.8704772668132408,0.939151573092214,-0.1308627268618388,-0.16317054411984694,0.07639051052743188
Copenhagen,LongShort,FF3,0.17071636769059173,0.1550523344584318,0.15250753244592266,0.1790687372009555,0.017382093292596545,0.04078035477382591,0.0256277303909076,0.014777520371793695,2.401351861897986,2.0610200713438225,2.2509237344258013,2.462194035928063,-0.015664033232168098,-0.01573723352151818,0.008352369510354393,0.8799606954024515,0.8727219026016859,0.9345601851000114,-0.15112941530957166,-0.16031947843862476,0.08216787909495023
Copenhagen,LongShort,FF3+MOM,0.15329410570115737,0.12212884404829466,0.11585983742785577,0.16570028599110143,0.03567628395837796,0.12782882259151318,0.09132683408892617,0.026859042891144158,2.117057608497077,1.530015663772546,1.6977796953010236,2.23247854551004,-0.031165261652861848,-0.03391729827891119,0.012406180289944613,0.7726611537497254,0.7334750329868625,0.9047517669750169,-0.2891207229782944,-0.34077974980809894,0.11974813747387578
Copenhagen,LongShort,FF5,0.15009638682234017,0.13608907685287355,0.1388661113633773,0.1624026819864788,0.030965482307606207,0.059117268867721506,0.043722976880858466,0.023937783490064035,2.175287132070916,1.8998437669286206,2.031524950956556,2.278198725622574,-0.014007309969490383,-0.008267302163451614,0.012306295164106473,0.888329466754981,0.9322296698885739,0.9014675547694548,-0.14052184103956356,-0.08510181244987305,0.12389853753008304
Copenhagen,LongShort,FF5+MOM,0.14963876781701374,0.11796035927676424,0.11432163136011325,0.16438720130697293,0.03059810101613003,0.12218764073887312,0.08812684191035047,0.021837419958897986,2.1802405130525115,1.5533080456166832,1.7150487149340097,2.3142280689643204,-0.031678408540251196,-0.031311502410096045,0.014748433489957451,0.7573568803185569,0.7437977221266348,0.8814293071199175,-0.3091996108487773,-0.32709137014295114,0.1492684155104663
Copenhagen,Q5,CAPM,0.06786221416207124,0.06159075681707485,0.068442602836605,0.07119188003656957,0.025090853056890294,0.059641049157870274,0.03126204475387917,0.023896395655741864,2.259196596050439,1.8956120211335696,2.170908675054121,2.278421381147815,-0.0062714573449964145,0.0025621967504866755,0.0033296658744981916,0.8869448545948218,0.952892208734502,0.9385575504736499,-0.14227357716279074,0.05911708401099074,0.07713773799766978
Copenhagen,Q5,FF3,0.06700163420343926,0.06143839157568734,0.06799699220128788,0.07053257573851462,0.004428133452556882,0.02080282864517935,0.006379322399032938,0.004311635403781544,2.883378711922851,2.332673641329498,2.760688110696372,2.8921713605064463,-0.005563242627784529,0.002505453305087099,0.0035309415350431167,0.8731566607824117,0.9402178653489439,0.9157731362999999,-0.1597671523165759,0.0750499261274719,0.10583595950202969
Copenhagen,Q5,FF3+MOM,0.05372438654069595,0.03201513517318822,0.04767389310441185,0.052774403335198596,0.005965783887565745,0.11935640035495831,0.02603035090824357,0.009302266387784863,2.783867205111184,1.5651850027057748,2.244846493530838,2.6300587929042036,-0.021709251367511256,-0.003887050168262879,-0.0009499832054990637,0.4371084715975082,0.8906538854699932,0.9725416795976578,-0.777981582333785,-0.13757752339957013,-0.03444546250512397
Copenhagen,Q5,FF5,0.058969699666413466,0.048157033834207254,0.06031769746467544,0.06183755759430348,0.018472491874742092,0.06199024226645955,0.02409155872950608,0.016433608338768835,2.378514590335961,1.8785352528793684,2.275563689138987,2.4227821590767373,-0.010812665832272347,0.003072456093443088,0.002867857927825679,0.7606521584882453,0.9318225482085309,0.9354302043348248,-0.304865148422681,0.08561430158149214,0.08107371523809566
Copenhagen,Q5,FF5+MOM,0.05067434359111148,0.02643673172938211,0.04422824256292836,0.04995864178780762,0.010349187636530699,0.15595966696434105,0.04169632380542598,0.014730597203771012,2.592458444049059,1.4250331343630909,2.0517980414772174,2.463805336081791,-0.024237611861730957,-0.004129154501346863,-0.0007157018033056989,0.365667549067364,0.8855642747838579,0.9795867768599413,-0.9058154357191428,-0.1440260000901722,-0.025605586925428043
Helsinki,LongShort,CAPM,0.07494213364052763,0.08594147169677047,0.08268218174560704,0.0786453807227408,0.06007028986580498,0.019494543336221026,0.024791014270414413,0.043964801649345686,1.8917469434549923,2.356267518579641,2.2629058027250935,2.0281382435851274,0.010999338056242883,0.007740048105079461,0.003703247082213275,0.8377047185662185,0.8857912565711432,0.9467145731234867,0.20497301187912284,0.14372979091291144,0.06687798830520861
Helsinki,LongShort,FF3,0.09077145370127393,0.10133925692373316,0.097974667835377,0.09446414525535735,0.017466790321105874,0.0006203609311752345,0.004403770344077129,0.01192989359880392,2.3982705983777115,3.4822789776472787,2.883149077443908,2.5393201211175063,0.01056780322245332,0.007203214134097832,0.0036926915540784703,0.8245274355309036,0.8876713535966305,0.94464167208992,0.22188292685045083,0.14134876494166276,0.06948429275638553
Helsinki,LongShort,FF3+MOM,0.07494330881412865,0.09824153655858764,0.08427406071251953,0.08089814504866916,0.10776652574397727,0.012277835791969949,0.044342988158939,0.07698911057069058,1.6161898309159013,2.5290248015048045,2.0247062610551163,1.7784023120122014,0.023298227744459346,0.009330751898390634,0.0059548362345402134,0.7000124557216176,0.8809913580401623,0.9269670251919335,0.3856044299595414,0.14981663635703843,0.09172426730252206
