Year,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2018,Pexip Holding ASA,Software & IT Services,Information Technology,215.04,7.66,32.87,0.0,1.18,798.98,0.0,0.2169390973491201
2019,Pexip Holding ASA,Software & IT Services,Information Technology,369.95,18.78,53.45,0.0,1.32,0.0,0.0,
2020,Pexip Holding ASA,Software & IT Services,Information Technology,678.51,42.58,87.52,0.0,2.48,2022.13,0.0,0.2699776967850731
2021,Pexip Holding ASA,Software & IT Services,Information Technology,805.52,76.94,129.81,0.0,1.88,1908.19,0.0,0.312804280496177
2022,Pexip Holding ASA,Software & IT Services,Information Technology,867.06,93.82,140.61,0.0,0.9,1596.57,0.0,0.3956794879021904
2023,Pexip Holding ASA,Software & IT Services,Information Technology,993.58,99.0,113.7,0.0,0.63,1554.82,0.0,0.5018265779961668
2024,Pexip Holding ASA,Software & IT Services,Information Technology,1118.56,105.1,104.12,0.0,0.87,1607.95,0.0,0.5649864734599955
