PortfolioStrategy,Method,MethodLabel,annualized_return,annualized_excess_return,volatility_ann,excess_volatility_ann,sharpe_ratio,max_drawdown,n_obs
LongShort,Method1_ObservedQuality,Observed Quality,0.07769028604953965,0.07769028604953965,0.13500843936701454,0.13500843936701454,0.5754476269319876,-0.2723471874043668,189
LongShort,Method2_LatentQuality,Latent Quality,0.06546240217050431,0.06546240217050431,0.13173034879227413,0.13173034879227413,0.4969424492584629,-0.292424956575686,189
LongShort,Method3_ConservativeQuality,Conservative Quality,0.08628983759833125,0.08628983759833125,0.14024306239680423,0.14024306239680423,0.6152877448881034,-0.2945935274902799,189
LongShort,Method4_ProbabilisticQuality,Probabilistic Quality,0.0856673794981154,0.0856673794981154,0.1354534228147414,0.1354534228147414,0.6324489829635536,-0.2668478501135151,189
