Ticker,FiscalYear,PeriodEndDate,AnnouncementDate,ForecastDate,cfo_forecast,forecast_window_start,forecast_window_end,has_valid_cfo_forecast
ABB.ST,2016,2016-12-31,2017-02-08,2017-06-27,34367.572859375,2017-02-08,2017-06-30,1
ABB.ST,2017,2017-12-31,2018-02-08,2018-06-25,31473.297047004,2018-02-08,2018-06-30,1
ABB.ST,2018,2018-12-31,2019-02-28,2019-06-14,23464.92906261,2019-02-28,2019-06-30,1
ABB.ST,2019,2019-12-31,2020-02-05,2020-06-11,19551.9628434,2020-02-05,2020-06-30,1
ABB.ST,2020,2020-12-31,2021-02-04,2021-06-29,27368.757325844,2021-02-04,2021-06-30,1
ABB.ST,2021,2021-12-31,2022-02-03,2022-06-30,32232.80372676,2022-02-03,2022-06-30,1
ABB.ST,2022,2022-12-31,2023-02-02,2023-06-27,43279.433602728,2023-02-02,2023-06-30,1
ABB.ST,2023,2023-12-31,2024-02-01,2024-06-27,49411.88478,2024-02-01,2024-06-30,1
ABB.ST,2024,2024-12-31,2025-01-30,2025-06-09,49263.9334,2025-01-30,2025-06-30,1
ACAST.ST,2021,2021-12-31,2022-02-11,2022-06-01,-233.980532537168,2022-02-11,2022-06-30,1
ACAST.ST,2022,2022-12-31,2023-02-15,2023-05-10,-174.772923197492,2023-02-15,2023-06-30,1
ACAST.ST,2023,2023-12-31,2024-02-12,2024-05-08,-14.5125099813681,2024-02-12,2024-06-30,1
ACAST.ST,2024,2024-12-31,2025-02-12,2025-05-06,61.2237246980512,2025-02-12,2025-06-30,1
ACELP.ST,2022,2022-12-31,2023-02-10,2023-06-20,-179.45789644463,2023-02-10,2023-06-30,1
ACELP.ST,2023,2023-12-31,2024-02-09,2024-05-08,-31.0267454774077,2024-02-09,2024-06-30,1
ACELP.ST,2024,2024-12-31,2025-02-07,2025-06-16,5.22636695274445,2025-02-07,2025-06-30,1
ACG1V.HE,2014,2014-12-31,2015-02-26,2015-04-29,16.738078014579,2015-02-26,2015-06-30,1
ACG1V.HE,2015,2015-12-31,2016-02-25,2016-02-26,15.1877835226217,2016-02-25,2016-06-30,1
ACG1V.HE,2016,2016-12-31,2017-02-14,2017-04-27,18.617727959643,2017-02-14,2017-06-30,1
ACG1V.HE,2017,2017-12-31,2018-02-15,2018-04-05,25.8673038561796,2018-02-15,2018-06-30,1
ACG1V.HE,2018,2018-12-31,2019-02-28,2019-05-02,49.8982308302692,2019-02-28,2019-06-30,1
ACG1V.HE,2019,2019-12-31,2020-03-10,2020-06-04,63.6320353681347,2020-03-10,2020-06-30,1
ACG1V.HE,2020,2020-12-31,2021-03-10,2021-04-28,33.7234264377849,2021-03-10,2021-06-30,1
ACG1V.HE,2021,2021-12-31,2022-03-10,2022-04-27,58.083321019189,2022-03-10,2022-06-30,1
ACG1V.HE,2022,2022-12-31,2023-03-16,2023-04-21,86.9829262665216,2023-03-16,2023-06-30,1
ACG1V.HE,2023,2023-12-31,2024-03-14,2024-04-19,11.7269153322466,2024-03-14,2024-06-30,1
ACG1V.HE,2024,2024-12-31,2025-02-26,2025-04-30,44.7141870079855,2025-02-26,2025-06-30,1
ADDTb.ST,2014,2014-03-31,2014-05-14,2014-06-26,468.310505374428,2014-05-14,2014-06-30,1
ADDTb.ST,2015,2015-03-31,2015-05-13,2015-06-11,492.588970057884,2015-05-13,2015-06-30,1
ADDTb.ST,2016,2016-03-31,2016-05-12,2016-06-27,419.13645671408,2016-05-12,2016-06-30,1
ADDTb.ST,2017,2017-03-31,2017-05-11,2017-05-22,588.433685034115,2017-05-11,2017-06-30,1
ADDTb.ST,2018,2018-03-31,2018-05-15,2018-05-25,587.845278088413,2018-05-15,2018-06-30,1
ADDTb.ST,2019,2019-03-31,2019-05-15,2019-06-28,780.60728599903,2019-05-15,2019-06-30,1
ADDTb.ST,2020,2020-03-31,2020-05-13,2020-06-30,1207.70458642744,2020-05-13,2020-06-30,1
