Split,PortfolioStrategy,StrategyLabel,Method,MethodLabel,StartDate,EndDate,NMonths,TotalCumulativeReturn,TotalCumulativeReturnPct
Exchange=Copenhagen,LongShort,Long-short,Method1_ObservedQuality,Observed Quality,2010-07-31,2026-03-31,189,8.02298455991008,802.298455991008
Exchange=Copenhagen,LongShort,Long-short,Method2_LatentQuality,Latent Quality,2010-07-31,2026-03-31,189,8.700194437354925,870.0194437354926
Exchange=Copenhagen,LongShort,Long-short,Method3_ConservativeQuality,Conservative Quality,2010-07-31,2026-03-31,189,6.797322944335764,679.7322944335764
Exchange=Copenhagen,LongShort,Long-short,Method4_ProbabilisticQuality,Probabilistic Quality,2010-07-31,2026-03-31,189,9.786779777183668,978.6779777183667
Exchange=Copenhagen,Q5,Long-only Q5,Method1_ObservedQuality,Observed Quality,2010-07-31,2026-03-31,189,12.404357723024786,1240.4357723024787
Exchange=Copenhagen,Q5,Long-only Q5,Method2_LatentQuality,Latent Quality,2010-07-31,2026-03-31,189,13.223756783871627,1322.3756783871627
Exchange=Copenhagen,Q5,Long-only Q5,Method3_ConservativeQuality,Conservative Quality,2010-07-31,2026-03-31,189,11.77663640636036,1177.663640636036
Exchange=Copenhagen,Q5,Long-only Q5,Method4_ProbabilisticQuality,Probabilistic Quality,2010-07-31,2026-03-31,189,12.847270109144846,1284.7270109144847
Exchange=Helsinki,LongShort,Long-short,Method1_ObservedQuality,Observed Quality,2010-07-31,2026-03-31,189,2.3907781341457723,239.07781341457724
Exchange=Helsinki,LongShort,Long-short,Method2_LatentQuality,Latent Quality,2010-07-31,2026-03-31,189,2.01504970348297,201.504970348297
Exchange=Helsinki,LongShort,Long-short,Method3_ConservativeQuality,Conservative Quality,2010-07-31,2026-03-31,189,2.8690769641415415,286.90769641415415
Exchange=Helsinki,LongShort,Long-short,Method4_ProbabilisticQuality,Probabilistic Quality,2010-07-31,2026-03-31,189,1.9194775425713622,191.9477542571362
Exchange=Helsinki,Q5,Long-only Q5,Method1_ObservedQuality,Observed Quality,2010-07-31,2026-03-31,189,9.493484826341481,949.3484826341481
Exchange=Helsinki,Q5,Long-only Q5,Method2_LatentQuality,Latent Quality,2010-07-31,2026-03-31,189,8.74121645324041,874.121645324041
Exchange=Helsinki,Q5,Long-only Q5,Method3_ConservativeQuality,Conservative Quality,2010-07-31,2026-03-31,189,9.480008313478528,948.0008313478528
Exchange=Helsinki,Q5,Long-only Q5,Method4_ProbabilisticQuality,Probabilistic Quality,2010-07-31,2026-03-31,189,9.678749841922128,967.8749841922129
Exchange=Oslo,LongShort,Long-short,Method1_ObservedQuality,Observed Quality,2010-07-31,2026-03-31,189,14.361179342098591,1436.1179342098592
Exchange=Oslo,LongShort,Long-short,Method2_LatentQuality,Latent Quality,2010-07-31,2026-03-31,189,13.88095114201465,1388.095114201465
Exchange=Oslo,LongShort,Long-short,Method3_ConservativeQuality,Conservative Quality,2010-07-31,2026-03-31,189,12.75241395218928,1275.241395218928
Exchange=Oslo,LongShort,Long-short,Method4_ProbabilisticQuality,Probabilistic Quality,2010-07-31,2026-03-31,189,13.344831660048433,1334.4831660048433
Exchange=Oslo,Q5,Long-only Q5,Method1_ObservedQuality,Observed Quality,2010-07-31,2026-03-31,189,9.37083975969319,937.083975969319
Exchange=Oslo,Q5,Long-only Q5,Method2_LatentQuality,Latent Quality,2010-07-31,2026-03-31,189,12.186989108350893,1218.6989108350892
Exchange=Oslo,Q5,Long-only Q5,Method3_ConservativeQuality,Conservative Quality,2010-07-31,2026-03-31,189,9.018535126232585,901.8535126232586
Exchange=Oslo,Q5,Long-only Q5,Method4_ProbabilisticQuality,Probabilistic Quality,2010-07-31,2026-03-31,189,9.41999147062712,941.999147062712
Exchange=Stockholm,LongShort,Long-short,Method1_ObservedQuality,Observed Quality,2010-07-31,2026-03-31,189,3.110358505962913,311.0358505962913
Exchange=Stockholm,LongShort,Long-short,Method2_LatentQuality,Latent Quality,2010-07-31,2026-03-31,189,3.2689615404476386,326.8961540447639
Exchange=Stockholm,LongShort,Long-short,Method3_ConservativeQuality,Conservative Quality,2010-07-31,2026-03-31,189,4.179914351139883,417.99143511398825
Exchange=Stockholm,LongShort,Long-short,Method4_ProbabilisticQuality,Probabilistic Quality,2010-07-31,2026-03-31,189,3.517988441617243,351.79884416172433
Exchange=Stockholm,Q5,Long-only Q5,Method1_ObservedQuality,Observed Quality,2010-07-31,2026-03-31,189,10.005820897208794,1000.5820897208795
Exchange=Stockholm,Q5,Long-only Q5,Method2_LatentQuality,Latent Quality,2010-07-31,2026-03-31,189,10.368142102152563,1036.8142102152563
Exchange=Stockholm,Q5,Long-only Q5,Method3_ConservativeQuality,Conservative Quality,2010-07-31,2026-03-31,189,10.290526459902447,1029.0526459902446
Exchange=Stockholm,Q5,Long-only Q5,Method4_ProbabilisticQuality,Probabilistic Quality,2010-07-31,2026-03-31,189,10.415955701493864,1041.5955701493865
