Exchange,PortfolioStrategy,FactorModel,Method,alpha_annualized,alpha_monthly,t_stat,p_value,r_squared,n_obs
Copenhagen,LongShort,CAPM,Method1_ObservedQuality,0.14895725958630654,0.012413104965525544,2.0200025423114467,0.04481014878619005,0.013030730462100903,189
Copenhagen,LongShort,FF3,Method1_ObservedQuality,0.16820736974447614,0.014017280812039679,2.454028535161149,0.015052098940106395,0.09942158669055978,189
Copenhagen,LongShort,FF3+MOM,Method1_ObservedQuality,0.16672049881299497,0.013893374901082915,2.4516339288011735,0.015154475141606838,0.09943062251978108,189
Copenhagen,LongShort,FF5,Method1_ObservedQuality,0.1413337695267694,0.011777814127230782,2.123349826309619,0.035068385418058456,0.1293071830568806,189
Copenhagen,LongShort,FF5+MOM,Method1_ObservedQuality,0.1546475194427358,0.01288729328689465,2.300430975588838,0.022557954764045318,0.13010291175015753,189
Copenhagen,LongShort,CAPM,Method2_LatentQuality,0.13331525584326978,0.011109604653605816,1.8084385397145188,0.0721447671516986,0.00522249244262718,189
Copenhagen,LongShort,FF3,Method2_LatentQuality,0.15216089308464972,0.01268007442372081,2.227393350098056,0.02712657557752074,0.09450143952356671,189
Copenhagen,LongShort,FF3+MOM,Method2_LatentQuality,0.13730610134715523,0.011442175112262936,1.9920356393275527,0.04784601091428686,0.09549720765478187,189
Copenhagen,LongShort,FF5,Method2_LatentQuality,0.12767070210671155,0.010639225175559297,1.9162252926698304,0.05689490225491456,0.12607956074519056,189
Copenhagen,LongShort,FF5+MOM,Method2_LatentQuality,0.12749510532173852,0.010624592110144876,1.8953077339211617,0.059636753224611816,0.12607971357249925,189
Copenhagen,LongShort,CAPM,Method3_ConservativeQuality,0.14471082232874632,0.012059235194062193,1.8771323808359042,0.06205723545413555,0.008149758462350332,189
Copenhagen,LongShort,FF3,Method3_ConservativeQuality,0.16592007072479964,0.013826672560399971,2.281056946548594,0.023684691424596505,0.1008956311808974,189
Copenhagen,LongShort,FF3+MOM,Method3_ConservativeQuality,0.14786869241619066,0.012322391034682554,1.9891505181728593,0.04816633110111712,0.10213517315408882,189
Copenhagen,LongShort,FF5,Method3_ConservativeQuality,0.14545465188756238,0.012121220990630198,2.0052314791264436,0.04641188674659236,0.11737242277213211,189
Copenhagen,LongShort,FF5+MOM,Method3_ConservativeQuality,0.1392833608507213,0.011606946737560107,1.8266711544244194,0.06938745796886092,0.11753154663547849,189
Copenhagen,LongShort,CAPM,Method4_ProbabilisticQuality,0.139888478228228,0.011657373185685667,1.702781060419699,0.09027056644143694,0.010174571789272946,189
Copenhagen,LongShort,FF3,Method4_ProbabilisticQuality,0.1602787523872285,0.013356562698935709,2.0699923640934146,0.039842282591951994,0.08984134939081057,189
Copenhagen,LongShort,FF3+MOM,Method4_ProbabilisticQuality,0.14187075268951832,0.011822562724126528,1.7259684907583008,0.0860317532705841,0.09099101416288591,189
Copenhagen,LongShort,FF5,Method4_ProbabilisticQuality,0.1383148756234899,0.011526239635290826,1.836153707490165,0.0679574851308773,0.10451547937271899,189
Copenhagen,LongShort,FF5+MOM,Method4_ProbabilisticQuality,0.1318895501001781,0.010990795841681509,1.5849673830193614,0.1147097445822467,0.10466932708888488,189
Helsinki,LongShort,CAPM,Method1_ObservedQuality,0.10196515257623497,0.00849709604801958,2.717672856995373,0.00719214975870619,1.9453774703803717e-05,189
