Exchange,PortfolioStrategy,FactorModel,Comparison,alpha_difference_annualized,alpha_difference_monthly,t_stat,p_value
Copenhagen,Q5,CAPM,Method2_LatentQuality minus Method1_ObservedQuality,-0.02973278863436267,-0.002477732386196889,-0.5298069543779698,0.59656014832811
Copenhagen,Q5,CAPM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.008423670186338258,0.0007019725155281882,0.14057638628231658,0.8882802839027049
Copenhagen,Q5,CAPM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.0029437797255704827,-0.00024531497713087356,-0.04832714537420916,0.9614813173786898
Copenhagen,Q5,FF3,Method2_LatentQuality minus Method1_ObservedQuality,-0.02980298507342388,-0.00248358208945199,-0.6853620169281421,0.49354466228259186
Copenhagen,Q5,FF3,Method3_ConservativeQuality minus Method1_ObservedQuality,0.008151736993676308,0.0006793114161396923,0.17459254499141774,0.8614953006192336
Copenhagen,Q5,FF3,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.003423879663988681,-0.0002853233053323901,-0.07138314606799756,0.9431313908807586
Copenhagen,Q5,FF3+MOM,Method2_LatentQuality minus Method1_ObservedQuality,-0.03247150313848089,-0.002705958594873408,-0.9230263339521924,0.35659826391868865
Copenhagen,Q5,FF3+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.009198697422576209,0.0007665581185480174,0.24503476563716228,0.8065660936744217
Copenhagen,Q5,FF3+MOM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.0022060915616604546,-0.00018384096347170455,-0.05823423912994299,0.9535936560458274
Copenhagen,Q5,FF5,Method2_LatentQuality minus Method1_ObservedQuality,-0.02989032986417605,-0.002490860822014671,-0.7023003137324748,0.48293829220641715
Copenhagen,Q5,FF5,Method3_ConservativeQuality minus Method1_ObservedQuality,0.00854808451953979,0.0007123403766283159,0.18596877953332452,0.8525722695048854
Copenhagen,Q5,FF5,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.003999673614547519,-0.0003333061345456266,-0.08483018513253303,0.9324427779518425
Copenhagen,Q5,FF5+MOM,Method2_LatentQuality minus Method1_ObservedQuality,-0.033395026902106745,-0.0027829189085088954,-0.9666168268903995,0.3343773977796982
Copenhagen,Q5,FF5+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.008663130066792472,0.0007219275055660394,0.2373341627027059,0.8125310822654288
