portfolio_year,cfo_t1_source,window_rows_initial,window_firms_initial,window_training_years_initial,window_rows_before_cfo_source_filter,rows_dropped_missing_analyst_forecast,rows_dropped_missing_realized_cfo_lead,window_rows_after_cfo_source_filter,training_years_after_cfo_filter,training_rows_after_cfo_filter_before_firm_filter,firms_removed_after_cfo_filter_insufficient_training,rows_removed_after_cfo_filter_insufficient_training,window_dropped_insufficient_training_history,skipped,window_rows_final,window_firms_final,portfolio_year_rows_final
2009,realized,1620,320,5,1620,0,1,1619,5,1301,1,2,False,False,1617,319,318
2010,realized,1909,329,5,1909,0,0,1909,5,1582,0,0,False,False,1909,329,327
2011,realized,2018,344,5,2018,0,0,2018,5,1676,0,0,False,False,2018,344,342
2012,realized,2094,357,5,2094,0,0,2094,5,1738,0,0,False,False,2094,357,356
2013,realized,2189,374,5,2189,0,0,2189,5,1816,0,0,False,False,2189,374,373
2014,realized,2273,387,5,2273,0,0,2273,5,1886,0,0,False,False,2273,387,387
2015,realized,2377,405,5,2377,0,0,2377,5,1972,0,0,False,False,2377,405,405
2016,realized,2527,434,5,2527,0,0,2527,5,2093,0,0,False,False,2527,434,434
2017,realized,2627,447,5,2627,0,0,2627,5,2180,0,0,False,False,2627,447,447
2018,realized,2809,482,5,2809,0,0,2809,5,2327,0,0,False,False,2809,482,482
2019,realized,2965,509,5,2965,0,0,2965,5,2456,0,0,False,False,2965,509,509
2020,realized,3107,529,5,3107,0,0,3107,5,2578,0,0,False,False,3107,529,529
2021,realized,3226,547,5,3226,0,1,3225,5,2679,0,0,False,False,3225,547,546
2022,realized,3359,571,5,3359,0,1,3358,5,2788,0,0,False,False,3358,571,570
2023,realized,3478,591,5,3478,0,1,3477,5,2889,0,0,False,False,3477,591,588
2024,realized,3625,617,5,3625,0,617,3008,5,3008,1,2,False,False,3006,616,0
