FormationYear,n_firms,mu_t,var_obs_t,q5_cutoff_obs,median_cutoff_obs,median_sigma_raw,sigma_input_col,avg_obs_var_i,tau2_t,n_sigma_draws_used,tau2_floor_share
2010,312,0.11508326208917896,0.45087357972713193,0.35323361760037514,0.1447629666046798,0.06446823995335757,sigma_mean,0.12790996476058789,0.32296361496654497,8000,0.0
2011,323,0.12137756737293512,1.0813948848383437,0.35716747595486653,0.1596840420349363,0.06211521598135379,sigma_mean,0.2963957303158928,0.7849991545224512,8000,0.0
2012,337,0.0984680481771584,0.364450488219796,0.34448740537157024,0.1650873386712112,0.059354914995326497,sigma_mean,0.10470529888981647,0.25974518932997936,8000,0.0
2013,351,0.0708174236571791,0.40741687747756306,0.3151515473841522,0.1227721959098751,0.054207664928713234,sigma_mean,0.11504477873962608,0.29237209873793774,8000,0.0
2014,364,0.051391829542892155,0.6864673554697251,0.26440349072882224,0.106955210305272,0.0547148294733942,sigma_mean,0.19202641238833004,0.49444094308139475,8000,0.0
2015,376,0.1524870170495157,1.1762923118045194,0.3019779578132983,0.12685999813221485,0.04995609266575779,sigma_mean,0.34265472137238495,0.8336375904321378,8000,0.0
2016,399,0.04008419442116522,1.3687476686128381,0.2780031321456135,0.1188392632892891,0.04575513334031229,sigma_mean,0.40507573227218263,0.963671936340655,8000,0.0
2017,429,0.12180367571394159,0.564870318317524,0.3130359421260289,0.1359934093947215,0.043026118846762135,sigma_mean,0.16836906337660348,0.396501254940922,8000,0.0
2018,443,0.050698035802394494,0.3208778625998575,0.28563519609879623,0.1108761629931835,0.042317954033399885,sigma_mean,0.10062383874155864,0.22025402385829856,8000,0.0
2019,478,0.0654837325334686,0.934760479545971,0.29578314218814633,0.1106726536799088,0.040119921366601266,sigma_mean,0.3053693453440776,0.6293911342018933,8000,0.0
2020,502,-0.26720923454203876,34.8275755787413,0.2954029770740033,0.1208822440093868,0.039243218336050996,sigma_mean,11.56870136331786,23.258874215423436,8000,0.0
2021,525,0.07684769324426026,0.1928416741520648,0.2682947168919225,0.0996466838003213,0.038866115691163126,sigma_mean,0.06303562487541631,0.1298060492766485,8000,0.0
2022,540,0.06321902969871686,0.4694859897229268,0.296563298130274,0.1207506540449097,0.03883491966894825,sigma_mean,0.14716687829692998,0.3223191114259963,8000,0.0
2023,568,-0.20125305270584765,54.588305359287,0.2879705852072393,0.1287151604159481,0.038877926256444324,sigma_mean,17.38911533095109,37.199190028336005,8000,0.0
2024,587,0.16135429518322722,2.7946747356412605,0.28715185916643654,0.1065024556368932,0.03902848590304864,sigma_mean,0.8924581831686328,1.9022165524726256,8000,0.0
2025,612,0.09128858029349661,0.5669210502768152,0.2627484274705752,0.0905701123927164,0.037430498476600384,sigma_mean,0.19597339932616503,0.37094765095064985,8000,0.0
