FormationYear,n_firms,mu_t,var_obs_t,avg_obs_var_i,tau2_t,q5_cutoff_obs,median_sigma_raw,sigma_input_col,n_sigma_draws_used,tau2_floor_share
2011,323,0.12137756737293512,1.0813948848383437,0.22443334990446578,0.8569615349338779,0.35716747595486653,0.067251632423481,sigma_mean,1,0.0
2012,337,0.0984680481771584,0.364450488219796,0.09213017958159586,0.2723203086382001,0.34448740537157024,0.0603587203466263,sigma_mean,1,0.0
2013,351,0.0708174236571791,0.40741687747756306,0.10000705533341632,0.30740982214414675,0.3151515473841522,0.0564283443511664,sigma_mean,1,0.0
2014,364,0.051391829542892155,0.6864673554697251,0.1644468333356091,0.5220205221341161,0.26440349072882224,0.0560727885598233,sigma_mean,1,0.0
2015,376,0.1524870170495157,1.1762923118045194,0.2816803227327408,0.8946119890717786,0.3019779578132983,0.0514822250017994,sigma_mean,1,0.0
2016,399,0.04008419442116522,1.3687476686128381,0.3470325588910565,1.0217151097217816,0.2780031321456135,0.0460400793952267,sigma_mean,1,0.0
2017,429,0.12180367571394159,0.564870318317524,0.1300396042934446,0.43483071402407936,0.3130359421260289,0.0448926287170369,sigma_mean,1,0.0
2018,443,0.050698035802394494,0.3208778625998575,0.08207048660867039,0.23880737599118712,0.28563519609879623,0.0422790931321204,sigma_mean,1,0.0
2019,478,0.0654837325334686,0.934760479545971,0.2397759911522959,0.6949844883936751,0.29578314218814633,0.03990732714360985,sigma_mean,1,0.0
2020,502,-0.26720923454203876,34.8275755787413,8.99776300226355,25.829812576477753,0.2954029770740033,0.039288164831681,sigma_mean,1,0.0
2021,525,0.07684769324426026,0.1928416741520648,0.04788447064740227,0.1449572035046625,0.2682947168919225,0.0400863543285286,sigma_mean,1,0.0
2022,540,0.06321902969871686,0.4694859897229268,0.11329356791721597,0.35619242180571087,0.296563298130274,0.040126210706507695,sigma_mean,1,0.0
