PortfolioStrategy,FactorModel,Comparison,alpha_difference_annualized,alpha_difference_monthly,t_stat,p_value
Q5,CAPM,Method2_LatentQuality minus Method1_ObservedQuality,-0.006833666422435072,-0.0005694722018695893,-0.2216697310696384,0.8247337374111985
Q5,CAPM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.005633784222275524,-0.0004694820185229603,-0.18412591259907835,0.8540489140538527
Q5,CAPM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.0017421415756211124,-0.0001451784646350927,-0.055059749958429584,0.956130410782732
Q5,FF3,Method2_LatentQuality minus Method1_ObservedQuality,-0.006055499237146624,-0.0005046249364288853,-0.24761157712649637,0.804620400073724
Q5,FF3,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.005337766632904365,-0.00044481388607536376,-0.22616700919940597,0.821240149059604
Q5,FF3,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.0018153358437544564,-0.00015127798697953804,-0.07624309259466704,0.9392813392525943
Q5,FF3+MOM,Method2_LatentQuality minus Method1_ObservedQuality,-0.006539723910015172,-0.0005449769925012643,-0.21885918381061603,0.8269238717608185
Q5,FF3+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.003923639568435687,-0.00032696996403630725,-0.13364602215490834,0.8937813168766038
Q5,FF3+MOM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.0012874789125410374,-0.00010728990937841978,-0.04332258817704686,0.9654761710457167
Q5,FF5,Method2_LatentQuality minus Method1_ObservedQuality,-0.006386750087528238,-0.0005322291739606865,-0.24727638844060418,0.8048822559711386
Q5,FF5,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.005293956646075605,-0.00044116305383963376,-0.21273813759115998,0.8316917453202031
Q5,FF5,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.0017871130304674063,-0.00014892608587228386,-0.07160733664748413,0.9429674138356245
Q5,FF5+MOM,Method2_LatentQuality minus Method1_ObservedQuality,-0.007919733389428057,-0.0006599777824523381,-0.2752231622496829,0.783356861791674
Q5,FF5+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.004005256130115792,-0.000333771344176316,-0.14085926420627512,0.888086938962777
Q5,FF5+MOM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.0010225997103643567,-8.521664253036305e-05,-0.03533799633040592,0.9718365315188486
