portfolio_year,specification_label,cfo_t1_source,reference_sample_label,Ticker,Year,is_portfolio_year,CFO_lead1_scaled
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,ATCOa.ST,2008,False,0.20958835647754986
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,ATCOa.ST,2009,False,0.14908108350988036
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,ATCOa.ST,2010,False,0.12426317205290818
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,ATCOa.ST,2011,False,0.18501182530361274
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,ATCOa.ST,2012,False,0.15945515838708088
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,ATEA.OL,2008,False,0.09682341887290344
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,ATEA.OL,2009,False,0.07583447009613457
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,ATEA.OL,2010,False,0.12445438218818018
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,ATEA.OL,2011,False,0.08183947414813508
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,ATEA.OL,2012,False,0.08723344780768309
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,ATRAV.HE,2008,False,0.05686921157945345
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,ATRAV.HE,2009,False,0.035504961492780734
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,ATRAV.HE,2010,False,0.04405394300719955
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,ATRAV.HE,2011,False,0.08801519492887576
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,ATRAV.HE,2012,False,0.08730381289273575
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,ATRLJb.ST,2008,False,0.028520188016741627
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,ATRLJb.ST,2009,False,0.033209426503962476
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,ATRLJb.ST,2010,False,0.03207689025257554
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,ATRLJb.ST,2011,False,0.037128234049906436
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,ATRLJb.ST,2012,False,0.03678955062804415
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,AUSS.OL,2008,False,0.135424765542583
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,AUSS.OL,2009,False,0.13080735881243752
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,AUSS.OL,2010,False,0.058395090204890844
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,AUSS.OL,2011,False,0.04770483771449565
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,AUSS.OL,2012,False,0.07736727495846431
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,AXFO.ST,2008,False,0.21206089738554038
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,AXFO.ST,2009,False,0.1857990189285364
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,AXFO.ST,2010,False,0.19197204315580865
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,AXFO.ST,2011,False,0.23795798479101196
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,AXFO.ST,2012,False,0.19553548884550956
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,AZN.ST,2008,False,0.2512736541924886
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,AZN.ST,2009,False,0.20027505552650648
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,AZN.ST,2010,False,0.13588168830377448
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,AZN.ST,2011,False,0.12576246418407236
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,AZN.ST,2012,False,0.14178064560376827
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BAKKA.OL,2009,False,0.2967549284612445
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BAKKA.OL,2010,False,0.44428674288141473
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BAKKA.OL,2011,False,0.15788329384049293
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BAKKA.OL,2012,False,0.22006053359695826
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BAVA.CO,2008,False,-0.2800610855765507
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BAVA.CO,2009,False,-0.1421730920318121
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BAVA.CO,2010,False,-0.2661153383382196
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BAVA.CO,2011,False,0.011246689078345251
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BAVA.CO,2012,False,0.08625057738336857
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BEIAb.ST,2008,False,0.18758243248240414
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BEIAb.ST,2009,False,0.1942478989689786
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BEIAb.ST,2010,False,0.19916524311853903
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BEIAb.ST,2011,False,0.15945032354199148
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BEIAb.ST,2012,False,0.18337252089231462
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BEIJb.ST,2008,False,0.18938693036906074
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BEIJb.ST,2009,False,0.04722147651006711
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BEIJb.ST,2010,False,0.031253272065312664
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BEIJb.ST,2011,False,0.03112403953656089
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BEIJb.ST,2012,False,0.061824494210196396
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BETSb.ST,2008,False,0.40411394233547115
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BETSb.ST,2009,False,0.3100476330162455
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BETSb.ST,2010,False,0.38385685095258976
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BETSb.ST,2011,False,0.35079989091700187
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BETSb.ST,2012,False,0.27395544659987214
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BILL.ST,2008,False,0.08918961104223322
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BILL.ST,2009,False,0.1522338435512468
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BILL.ST,2010,False,0.14332960643131953
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BILL.ST,2011,False,0.10709031556039172
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BILL.ST,2012,False,0.10973185208979042
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BIOGb.ST,2008,False,0.3807787472327126
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BIOGb.ST,2009,False,0.40976299964626806
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BIOGb.ST,2010,False,0.36641799743559855
2013,no_cfo_lead_matched_sample,none,analyst_cfo_hybrid_window_rows,BIOGb.ST,2011,False,1.3093897566291317
