Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF,d_ACT,d_CHE,d_LCT,d_STD,d_TXP,WCA,AT_lag,AvgAT,WCA_scaled,CFO,CFO_lag1,dREV,CFO_lag1_scaled,CFO_scaled,dREV_scaled,PPE_scaled,CFO_lead1,CFO_lead1_scaled,usable,sector_idx,firm_idx_x,firm_idx_y,sigma_mean,sigma_median,sigma_std,sigma_q05,sigma_q95,n_draws,sigma_measure,sigma_scale_mean,sigma_scale_median,sigma_scale_std,sigma_scale_q05,sigma_scale_q95,sigma_scale_n_draws,sigma_acc,sigma_acc_measure
2022,8TRA.ST,Traton SE,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,200312.42,15086.86,237279.95,85971.0,2474.29,87585.57,610771.52,-6661.89,407132.03,337959.46,48197.73,13131.99,4128.35,150637.96,62.91,74071.35,0.1989270533076551,37826.07000000001,-4956.130000000001,38582.07000000001,27904.42,522.05,32626.600000000002,551842.88,581307.2,0.05612626163928471,-6661.89,15588.02,95981.37000000005,0.026815460052791368,-0.01146018834791656,0.16511299017111788,0.15067002438641738,29465.33,0.050688052719801174,True,5,1,1,0.09657854590891046,0.09222303108995555,0.031880214449367096,0.05305689648493081,0.15568413059178574,8000,student_t_residual_sd,0.05458375013210732,0.052318398205903165,0.017375111365538303,0.030042830657680597,0.08628530563140863,8000,0.09657854590891046,student_t_residual_sd
2023,8TRA.ST,Traton SE,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,236015.52,19350.12,250198.15,85006.31000000001,2527.82,100262.7,690105.76,29465.33,534687.97,429283.53,58428.73,17076.89,10129.78,184351.82,67.11,119232.52,0.2923930856772672,35703.09999999998,4263.259999999998,12918.199999999983,-964.6899999999878,53.5300000000002,17610.48000000001,610771.52,650438.64,0.027074775262429074,29465.33,-6661.89,127555.93999999994,-0.010242149820619514,0.04530070661238699,0.1961075682711592,0.15414628503620265,27189.88,0.04180237508644936,True,5,1,1,0.09175378325567474,0.08769854190061074,0.029744996537397324,0.050834426299797585,0.1465197358584205,8000,student_t_residual_sd,0.05615753277238422,0.05380632445968864,0.017890037428277106,0.031327469834921615,0.08869602167851033,8000,0.09175378325567474,student_t_residual_sd
2024,8TRA.ST,Traton SE,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,268333.6,29911.59,273699.33,94135.63,3577.15,113504.03,771288.47,27189.88,551617.57,434259.54,64175.09,17197.02,10202.01,209898.91,70.6,164443.17,0.2866032787331836,32318.079999999987,10561.470000000001,23501.180000000022,9129.319999999992,1049.33,8434.079999999956,690105.76,730697.115,0.011542511701308628,27189.88,29465.33,16929.599999999977,0.04032495735254135,0.03721087635606718,0.023169107489907054,0.15533663356533164,,,True,5,1,1,0.06281339211191903,0.05899829473756439,0.023345007159993405,0.03199346115010811,0.10662100470906521,8000,student_t_residual_sd,0.04092011037511757,0.038503858629776684,0.015011108209006844,0.020822132845475405,0.06931360546247325,8000,0.06281339211191903,student_t_residual_sd
2013,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,5294.71,217.71,2718.04,72.57,133.83,2852.81,9466.96,1173.27,14924.95,11545.02,2527.05,0.0,73.1,4080.83,32.04,15967.29,0.1895951002584571,421.3299999999999,-64.78,435.00999999999976,14.359999999999992,8.850000000000009,74.31000000000017,8354.86,8910.91,0.008339215635664615,1173.27,1322.65,391.3100000000013,0.14843040721991357,0.13166668724069708,0.04391358458339287,0.3201479983525813,635.66,0.07133502638899955,True,2,3,3,0.0243304622148845,0.02163903597673627,0.0122125520188901,0.011046284665918909,0.04632496676027472,8000,student_t_residual_sd,0.016428409950005808,0.014665660795268202,0.008033869053042476,0.007499705314004413,0.03068229038622144,8000,0.0243304622148845,student_t_residual_sd
2014,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,6790.03,253.04,3453.48,85.31,137.07,3653.81,11992.77,635.66,16363.61,12356.76,3046.02,0.0,110.23,5516.18,43.13,16694.95,0.1530045994916636,1495.3199999999997,35.329999999999984,735.44,12.740000000000009,3.2399999999999807,740.5299999999997,9466.96,10729.865,0.06901577978846889,635.66,1173.27,1438.6599999999999,0.1093462033306104,0.05924212466792452,0.134079972115213,0.34052711753596154,1659.8,0.15468973747572778,True,2,3,3,0.032053028515851394,0.029095550353410417,0.01419904515134182,0.016110796436444797,0.05852542409099202,8000,student_t_residual_sd,0.02453329234093835,0.02227957578962097,0.010597561393213639,0.012446484864746319,0.04423025638344291,8000,0.032053028515851394,student_t_residual_sd
2015,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,7857.6,480.37,4441.62,300.36,325.48,4494.99,14543.05,1659.8,19231.1,14349.22,3720.21,0.0,112.82,6904.18,55.47,27771.7,0.1507044176072071,1067.5700000000006,227.33,988.1399999999999,215.05,188.41000000000003,255.56000000000074,11992.77,13267.91,0.01926151142116586,1659.8,635.66,2867.489999999998,0.04790958033330042,0.12509882867761388,0.21612220764234893,0.3387865911059089,1191.11,0.0897737473347347,True,2,3,3,0.0442087465296226,0.03998463480299083,0.01876308112872767,0.02243034892000044,0.08024750255424727,8000,student_t_residual_sd,0.031402262675350276,0.028614870892193722,0.012923769633613942,0.016226081085107147,0.0563293851797173,8000,0.0442087465296226,student_t_residual_sd
2016,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,9240.42,555.71,5478.44,205.79,338.55,4897.12,16295.9,1191.11,21659.0,16066.76,4113.42,0.0,175.76999999999998,7133.25,51.21,24041.77,0.1813706249321451,1382.8199999999997,75.34000000000003,1036.8199999999997,-94.57000000000002,13.069999999999993,189.15999999999985,14543.05,15419.474999999999,0.01226760314472444,1191.11,1659.8,2427.9000000000015,0.1076430942039207,0.07724711768721049,0.15745672274834271,0.317593173567842,1064.21,0.0690172655035272,True,2,3,3,0.0475600394334742,0.04331103884412077,0.020742959535723,0.023360487426875524,0.08739470187413792,8000,student_t_residual_sd,0.03035725772090632,0.02768766957652185,0.012924572386446877,0.015006532494888428,0.05505040555821819,8000,0.0475600394334742,student_t_residual_sd
2017,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,9657.24,480.31,5843.77,628.41,389.25,5181.35,16902.92,1064.21,25599.2,19576.08,4418.57,0.0,130.72,7668.95,70.05,29726.92,0.1904419175604082,416.8199999999997,-75.40000000000003,365.33000000000084,422.62,50.69999999999999,600.2099999999989,16295.9,16599.41,0.0361585140676686,1064.21,1191.11,3940.2000000000007,0.07175616482754507,0.06411131479974289,0.23736988242353196,0.3121406122265792,1020.75,0.061493149455311966,True,2,3,3,0.03993236273326699,0.03607417982383952,0.01777273247126952,0.0193574032682039,0.07402386695983945,8000,student_t_residual_sd,0.02606715157576574,0.023684894236605455,0.011240584908123644,0.012744412009151468,0.04768396483603307,8000,0.03993236273326699,student_t_residual_sd
2018,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,10224.08,719.21,5228.66,645.04,383.51,5336.0,17599.63,1020.75,25839.03,19406.43,4769.43,0.0,143.28,8692.96,85.88,30381.23,0.1731310742649369,566.8400000000001,238.90000000000003,-615.1100000000006,16.629999999999995,-5.740000000000009,953.9400000000007,16902.92,17251.275,0.05529678241173482,1020.75,1064.21,239.8299999999981,0.06168877372831863,0.059169539642722056,0.013902160854777289,0.30931047125502314,1449.85,0.08404306348371351,True,2,3,3,0.05095215791771741,0.04609285158460642,0.023519364995273104,0.023871801813512446,0.09417156383902706,8000,student_t_residual_sd,0.02850568445678703,0.02607580567412169,0.012349231943363213,0.013736601110305715,0.051729222257472056,8000,0.05095215791771741,student_t_residual_sd
2019,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,12623.76,920.78,7087.79,815.77,444.45,5657.86,21490.3,1449.85,26530.94,19303.1,5414.129999999999,0.0,145.17000000000002,9692.62,78.76,42348.71,0.1707578663402713,2399.6800000000003,201.56999999999994,1859.13,170.73000000000002,60.94,570.6500000000005,17599.63,19544.965,0.029196777789062326,1449.85,1020.75,691.9099999999999,0.05222572667692165,0.07418023004901773,0.03540093318151247,0.2894791574198265,2070.5,0.1059352114470402,True,2,3,3,0.05799789276306579,0.05236342187845164,0.02618797776241243,0.026546841248044892,0.10757187986449022,8000,student_t_residual_sd,0.030317676610239055,0.027829490093565765,0.012790635645444573,0.014411778730194596,0.0546042748848168,8000,0.05799789276306579,student_t_residual_sd
