ComparisonMethod,ComparisonMethodLabel,ObservedPortfolio,ComparisonPortfolio,FirmYears,ShareOfObservedTail
Method3_ConservativeQuality,Conservative Quality,Q1,Q1,1281,0.8920612813370473
Method3_ConservativeQuality,Conservative Quality,Q1,Q2,155,0.10793871866295264
Method3_ConservativeQuality,Conservative Quality,Q5,Q3,8,0.005578800557880056
Method3_ConservativeQuality,Conservative Quality,Q5,Q4,123,0.08577405857740586
Method3_ConservativeQuality,Conservative Quality,Q5,Q5,1303,0.9086471408647141
