Year,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,Volvo AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,193687.31,150645.48,22804.66,6986.75,1150.69,64078.32,0.0,0.40689627942804973
2005,Volvo AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,199687.7,156183.11,22252.4,6527.24,979.48,66658.87,220.78,0.40071905280604825
2006,Volvo AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,225229.28,173209.92,24159.27,7269.36,509.05,79128.05,258.59,0.43609856771869904
2007,Volvo AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,247374.09,190337.77,28776.89,9585.36,972.49,69131.75,486.94,0.5296322007782681
2008,Volvo AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,260564.73,204358.59,29139.710000000003,12272.05,1655.03,74703.88,560.21,0.5006829950378727
2009,Volvo AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,179711.24,153215.56,25675.15,10857.85,2929.06,53729.05,508.93,0.16131352974428606
2010,Volvo AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,222339.18,169471.39,25038.97,10892.35,2638.69,63434.35,877.2,0.5610575394310972
2011,Volvo AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,268062.69,204423.85,27251.339999999997,11466.43,2483.13,73391.62,954.48,0.6102646944493391
2012,Volvo AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,257665.94,199054.41,28753.59,12577.6,2534.43,64874.27,1083.73,0.6049472391521877
2013,Volvo AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,246046.46,191788.84,31017.76,13649.69,2536.08,71656.74,1256.29,0.4711568014660753
2014,Volvo AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,259910.81,202098.96,30180.92,15299.89,1831.65,75074.65,1651.5,0.5356605277340256
2015,Volvo AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,298797.21,230089.58,31994.15,14693.42,2262.14,87712.5,1884.86,0.5485067863606699
2016,Volvo AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,296466.28,227422.98,31410.81,14367.0,1813.67,91096.42,1614.99,0.5413122289910165
2017,Volvo AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,322205.51,245204.58,33140.68,15588.43,1793.38,105929.41,1942.25,0.5344805113780582
2018,Volvo AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,366003.65,284197.53,34357.15,14888.91,1552.66,120400.59,2392.81,0.4950202535315415
2019,Volvo AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,401993.56,303000.86,37437.38,17252.09,1557.8,129955.39,2890.81,0.5814965727284636
2020,Volvo AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,346393.4,265408.34,31862.019999999997,17192.45,1380.68,151717.14,2972.84,0.41977385994878275
2021,Volvo AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,373037.52,283086.42,28892.63,18066.79,1169.58,137417.14,2993.96,0.5551959923396372
2022,Volvo AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,449873.53,343706.27,33182.85,21402.96,1144.92,153159.85,3312.31,0.5959044088098484
2023,Volvo AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,549643.44,400513.2,40837.19,26519.14,1676.05,178993.7,2967.94,0.7316714665794392
2024,Volvo AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,535770.55,389273.08,43211.21,31483.19,1619.06,199500.93,3405.05,0.656217179996371
