Year,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2019,MilDef Group AB,Aerospace & Defense,Industrials,310.8,194.64,69.99,24.17,0.01,95.01,0.0,0.7402378696979268
2020,MilDef Group AB,Aerospace & Defense,Industrials,407.81,221.47,94.54,33.86,0.0,138.46,0.0,0.9075545283836486
2021,MilDef Group AB,Aerospace & Defense,Industrials,470.64,260.07,177.29,40.49,3.21,553.59,0.0,0.127458949764266
2022,MilDef Group AB,Aerospace & Defense,Industrials,701.97,367.23,267.46000000000004,46.56,8.46,741.62,0.0,0.14209433402551166
2023,MilDef Group AB,Aerospace & Defense,Industrials,1145.86,592.19,372.32,80.32,11.05,850.31,0.0,0.29473956557020364
2024,MilDef Group AB,Aerospace & Defense,Industrials,1221.31,622.2,405.88,85.43,21.26,1132.65,0.0,0.22725466825586008
