Year,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2014,Camurus AB,Pharmaceuticals,Health Care,191.26,0.6,135.68,104.85,0.16,118.33,0.0,1.349361953857855
2015,Camurus AB,Pharmaceuticals,Health Care,148.0,0.23,176.96,146.36,0.14,670.38,0.0,0.17457263044840243
2016,Camurus AB,Pharmaceuticals,Health Care,111.68,2.1,210.92,168.97,0.05,535.25,0.0,0.1262587575899113
2017,Camurus AB,Pharmaceuticals,Health Care,52.59,1.31,287.18,215.88,0.01,385.25,0.0,-0.05199221284879951
2018,Camurus AB,Pharmaceuticals,Health Care,46.19,6.39,309.53999999999996,194.47,0.02,246.23,0.0,-0.30577102708849435
2019,Camurus AB,Pharmaceuticals,Health Care,98.27,21.67,412.47,231.93,1.47,592.26,0.0,-0.17797926586296564
2020,Camurus AB,Pharmaceuticals,Health Care,343.89,36.11,520.01,244.28,1.58,884.9,0.0,0.034433269295965595
2021,Camurus AB,Pharmaceuticals,Health Care,601.9,85.54,629.89,389.55,1.37,827.07,0.0,0.33207588233160434
2022,Camurus AB,Pharmaceuticals,Health Care,908.66,98.12,749.49,450.14,1.43,936.25,0.0,0.5444699599465954
2023,Camurus AB,Pharmaceuticals,Health Care,1708.74,121.77,1064.6,634.68,0.0,1503.1,0.0,0.7697757966868474
2024,Camurus AB,Pharmaceuticals,Health Care,1899.33,131.71,1296.92,695.24,0.0,3382.11,0.0,0.34473745679472273
