Year,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2005,Stendorren Fastigheter AB,Real Estate Operations,Real Estate,16.15,0.0,0.0,0.0,0.0,0.75,0.0,21.53333333333333
2006,Stendorren Fastigheter AB,Real Estate Operations,Real Estate,2.65,0.0,0.0,0.0,0.0,1.23,0.0,2.154471544715447
2007,Stendorren Fastigheter AB,Real Estate Operations,Real Estate,3.98,0.0,0.0,0.0,0.0,0.91,0.0,4.373626373626373
2008,Stendorren Fastigheter AB,Real Estate Operations,Real Estate,4.47,0.0,0.0,0.0,0.0,1.21,0.0,3.6942148760330578
2009,Stendorren Fastigheter AB,Real Estate Operations,Real Estate,2.44,0.0,0.0,0.0,0.0,0.98,0.0,2.489795918367347
2011,Stendorren Fastigheter AB,Real Estate Operations,Real Estate,2.94,0.0,0.0,0.0,0.0,2.52,0.0,1.1666666666666667
2012,Stendorren Fastigheter AB,Real Estate Operations,Real Estate,4.47,0.0,0.0,0.0,0.0,3.34,0.0,1.3383233532934131
2013,Stendorren Fastigheter AB,Real Estate Operations,Real Estate,0.0,0.0,0.72,0.0,0.0,5.28,0.0,-0.13636363636363635
2014,Stendorren Fastigheter AB,Real Estate Operations,Real Estate,20.39,8.54,2.94,0.0,0.0,785.4,0.0,0.011344537815126053
2015,Stendorren Fastigheter AB,Real Estate Operations,Real Estate,340.37,105.17,29.64,0.0,88.92,1558.33,0.0,0.0748493579665411
2016,Stendorren Fastigheter AB,Real Estate Operations,Real Estate,432.06,138.46,54.01,0.0,106.05,1947.85,0.0,0.06855764047539596
2017,Stendorren Fastigheter AB,Real Estate Operations,Real Estate,438.66,132.66,49.39,0.0,98.77,2400.55,0.0,0.06575159859198934
2018,Stendorren Fastigheter AB,Real Estate Operations,Real Estate,502.88,170.44,47.76,0.0,95.52,2712.89,0.0,0.06972638035452969
2019,Stendorren Fastigheter AB,Real Estate Operations,Real Estate,550.91,181.46,81.89,0.0,122.84,3600.63,0.0,0.04574754973435203
2020,Stendorren Fastigheter AB,Real Estate Operations,Real Estate,645.82,175.02,88.02,0.0,123.84,4232.15,0.0,0.061184031756908445
2021,Stendorren Fastigheter AB,Real Estate Operations,Real Estate,654.44,168.37,77.17,0.0,116.26,5081.84,0.0,0.05758544149363223
2022,Stendorren Fastigheter AB,Real Estate Operations,Real Estate,696.46,175.78,72.21,0.0,180.53,5110.13,0.0,0.052433108355364744
2023,Stendorren Fastigheter AB,Real Estate Operations,Real Estate,839.02,181.14,76.64,0.0,381.19,4870.73,0.0,0.04107187218343042
2024,Stendorren Fastigheter AB,Real Estate Operations,Real Estate,917.33,195.26,81.36,0.0,432.22,5546.58,0.0,0.037588928673164365
