Year,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2005,Catena AB,Real Estate Operations,Real Estate,12.45,0.0,0.0,0.0,6.28,450.38,0.0,0.013699542608463962
2006,Catena AB,Real Estate Operations,Real Estate,153.98,0.0,0.0,0.0,39.16,751.9,0.0,0.152706476925123
2007,Catena AB,Real Estate Operations,Real Estate,155.73,0.0,0.0,0.0,46.77,845.85,0.0,0.1288171661642135
2008,Catena AB,Real Estate Operations,Real Estate,161.9,0.0,0.0,0.0,52.17,716.79,0.0,0.15308528299780969
2009,Catena AB,Real Estate Operations,Real Estate,22.42,0.0,0.0,0.0,28.84,714.14,0.0,-0.008989833926120926
2010,Catena AB,Real Estate Operations,Real Estate,23.03,0.0,8.7,0.0,23.7,732.94,0.0,-0.012784129669550027
2011,Catena AB,Real Estate Operations,Real Estate,23.31,0.0,9.26,0.0,14.83,258.08,0.0,-0.0030223186608803517
2012,Catena AB,Real Estate Operations,Real Estate,245.97,87.06,1.63,0.0,64.2,622.93,6.25,0.14793858673193683
2013,Catena AB,Real Estate Operations,Real Estate,285.92,86.19,8.49,0.0,78.97,1542.33,5.09,0.072553023742746
2014,Catena AB,Real Estate Operations,Real Estate,396.18,97.0,20.12,0.0,81.85,1897.83,4.6,0.10366215839741805
2015,Catena AB,Real Estate Operations,Real Estate,443.82,107.94,26.01,0.0,85.76,2588.57,4.6,0.08642318089442652
2016,Catena AB,Real Estate Operations,Real Estate,772.41,204.74,26.71,0.0,216.82,3698.35,4.17,0.0875457796311701
2017,Catena AB,Real Estate Operations,Real Estate,863.76,213.81,16.849999999999998,0.0,196.77,4599.47,0.0,0.09486527795593841
2018,Catena AB,Real Estate Operations,Real Estate,1021.41,246.38,14.33,0.0,212.86,5180.64,0.0,0.10574755242595507
2019,Catena AB,Real Estate Operations,Real Estate,1100.79,260.66,15.17,0.0,201.01,5924.15,0.0,0.1053231265244803
2020,Catena AB,Real Estate Operations,Real Estate,1293.58,266.21,19.45,0.0,229.26,7925.9,0.0,0.098242470886587
2021,Catena AB,Real Estate Operations,Real Estate,1390.46,292.64,20.04,0.0,223.39,10965.51,0.0,0.07791612063643188
2022,Catena AB,Real Estate Operations,Real Estate,1467.02,307.85,21.85,0.0,182.43,15716.31,0.0,0.06075790055044728
2023,Catena AB,Real Estate Operations,Real Estate,1799.46,359.29,22.89,0.0,470.77,17508.64,0.0,0.05405959571959901
2024,Catena AB,Real Estate Operations,Real Estate,2230.28,410.87,24.41,0.0,635.62,23747.98,0.0,0.04882015228242571
