Year,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2015,Epiroc AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,27404.84,17652.57,4163.83,823.21,296.39,15525.77,98.38,0.3913979320475034
2016,Epiroc AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,26612.97,17678.15,3989.69,650.05,252.36,14995.76,0.0,0.356288710942293
2017,Epiroc AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,30371.2,19464.72,4470.85,769.84,256.61,12048.78,6.0,0.5764402170757159
2018,Epiroc AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,35852.69,22772.1,5281.69,914.93,159.2,18343.23,48.79,0.46512726715173236
2019,Epiroc AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,38013.41,23773.62,5815.21,963.15,97.71,21342.15,48.76,0.43429755910337636
2020,Epiroc AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,36970.22,22944.42,5583.099999999999,1056.23,111.56,24740.25,48.03,0.37870195108333476
2021,Epiroc AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,39732.5,24245.39,5630.410000000001,1174.59,95.21,25067.22,54.56,0.43532265627674477
2022,Epiroc AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,47216.49,29145.69,6408.72,1366.31,153.92,31080.58,459.34,0.4081960258618284
2023,Epiroc AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,60057.97,37021.3,8531.51,1920.88,491.67,37071.09,390.62,0.4253508449027019
2024,Epiroc AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,64685.11,41349.08,9038.06,2320.79,824.78,43958.28,434.88,0.35577507886350057
