Year,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
1997,Afry AB,Professional & Commercial Services,Industrials,1074.29,0.0,676.49,0.0,5.06,353.77,0.0,1.1101563162506713
2004,Afry AB,Professional & Commercial Services,Industrials,1960.01,0.0,1322.9,0.0,8.74,353.31,3.71,1.7600414542602654
2005,Afry AB,Professional & Commercial Services,Industrials,2077.68,0.0,1283.55,0.0,0.0,493.47,0.04,1.6091467244837994
2006,Afry AB,Professional & Commercial Services,Industrials,2726.71,0.0,1666.74,0.0,0.0,993.87,0.0,1.0665076921528973
2007,Afry AB,Professional & Commercial Services,Industrials,3347.64,0.0,2002.36,0.0,0.0,1122.69,3.55,1.1944878533882652
2008,Afry AB,Professional & Commercial Services,Industrials,3907.79,0.0,2172.86,31.17,20.03,1502.88,7.6,1.1559702875906996
2009,Afry AB,Professional & Commercial Services,Industrials,3849.92,0.0,2199.01,34.29,11.35,1466.92,10.97,1.132594442076203
2010,Afry AB,Professional & Commercial Services,Industrials,3639.83,0.0,2123.63,17.38,8.65,2035.78,12.49,0.7444965751585484
2011,Afry AB,Professional & Commercial Services,Industrials,4425.66,0.0,2496.17,0.0,10.11,2115.13,11.02,0.9027491004867952
2012,Afry AB,Professional & Commercial Services,Industrials,4981.54,1182.22,2796.2900000000004,0.0,8.42,2916.75,12.16,0.339583667644277
2013,Afry AB,Professional & Commercial Services,Industrials,7524.3,2100.79,4030.2,0.0,36.01,3450.8,11.97,0.39196943487439256
2014,Afry AB,Professional & Commercial Services,Industrials,8088.11,2197.98,4451.259999999999,0.0,29.49,3788.67,1.73,0.3718288307302659
2015,Afry AB,Professional & Commercial Services,Industrials,9418.21,2554.81,5229.51,0.0,27.25,4422.25,4.29,0.3629561689265204
2016,Afry AB,Professional & Commercial Services,Industrials,10870.25,2890.88,6029.209999999999,0.0,37.31,4435.29,18.02,0.42953443618342324
2017,Afry AB,Professional & Commercial Services,Industrials,12257.32,3090.96,7041.82,0.0,62.94,4975.21,17.01,0.41296256975854445
2018,Afry AB,Professional & Commercial Services,Industrials,13087.14,3321.65,7488.94,0.0,68.36,5317.46,15.61,0.4140560690184078
2019,Afry AB,Professional & Commercial Services,Industrials,18418.11,4102.01,10964.14,0.0,107.02,8783.09,0.94,0.36941358351462833
2020,Afry AB,Professional & Commercial Services,Industrials,19436.95,3900.49,13496.66,0.0,109.51,10447.23,1.04,0.18474733137639063
2021,Afry AB,Professional & Commercial Services,Industrials,20148.37,3926.65,13926.67,0.0,76.17,10709.27,0.97,0.20717369545407005
2022,Afry AB,Professional & Commercial Services,Industrials,22377.81,4652.86,15523.47,0.0,127.32,11460.85,1.88,0.18094816854274692
2023,Afry AB,Professional & Commercial Services,Industrials,26850.57,5558.62,18597.73,0.0,300.57,12538.25,1.01,0.1908924450087167
2024,Afry AB,Professional & Commercial Services,Industrials,27621.65,5797.9,18973.1,0.0,300.01,13496.84,23.65,0.18864996756774358
