Year,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2009,Boule Diagnostics AB,Healthcare Equipment & Supplies,Health Care,144.42,84.37,37.46,17.95,1.08,93.32,0.0,0.4228461208744104
2010,Boule Diagnostics AB,Healthcare Equipment & Supplies,Health Care,192.67,106.83,50.51,16.49,0.76,113.29,0.0,0.4507017389001676
2011,Boule Diagnostics AB,Healthcare Equipment & Supplies,Health Care,212.6,119.29,59.61,19.44,1.53,167.34,0.0,0.30841400741006325
2012,Boule Diagnostics AB,Healthcare Equipment & Supplies,Health Care,236.6,130.46,68.39,19.05,0.27,170.95,0.0,0.3306814858145656
2013,Boule Diagnostics AB,Healthcare Equipment & Supplies,Health Care,249.82,140.2,75.95,107.93,1.69,120.16,0.0,1.1643641810918777
2014,Boule Diagnostics AB,Healthcare Equipment & Supplies,Health Care,281.72,156.38,80.42999999999999,21.71,1.38,162.94,0.0,0.40039278261936934
2015,Boule Diagnostics AB,Healthcare Equipment & Supplies,Health Care,316.86,173.61,85.15,38.31,1.38,197.29,0.0,0.4816767195499012
2016,Boule Diagnostics AB,Healthcare Equipment & Supplies,Health Care,389.55,202.35,97.75,36.8,0.69,217.89,0.0,0.5762540731561798
2017,Boule Diagnostics AB,Healthcare Equipment & Supplies,Health Care,414.25,217.98,111.87,30.7,0.23,261.94,0.0,0.43853554249064675
2018,Boule Diagnostics AB,Healthcare Equipment & Supplies,Health Care,397.44,219.77,102.67,26.99,0.45,293.59,0.0,0.34585646650090257
2019,Boule Diagnostics AB,Healthcare Equipment & Supplies,Health Care,464.28,253.77,119.22,27.86,2.34,312.12,0.0,0.3742470844546968
2020,Boule Diagnostics AB,Healthcare Equipment & Supplies,Health Care,409.86,228.52,113.54,85.05,2.69,281.21,0.0,0.5339781657835782
2021,Boule Diagnostics AB,Healthcare Equipment & Supplies,Health Care,464.37,265.29,120.41,43.42,4.29,288.13,0.0,0.4088432304862388
2022,Boule Diagnostics AB,Healthcare Equipment & Supplies,Health Care,520.76,304.22,136.43,49.0,8.57,435.34,0.0,0.27688703082648036
2024,Boule Diagnostics AB,Healthcare Equipment & Supplies,Health Care,567.96,311.44,165.15,406.24,12.0,201.88,0.0,2.405438874578958
