Year,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2018,Linc AB,Investment Banking & Investment Services,Financials,285.34,0.0,1.05,0.0,0.02,1039.16,0.0,0.2735574887409061
2019,Linc AB,Investment Banking & Investment Services,Financials,561.23,0.0,0.79,0.0,0.0,1557.5,0.0,0.35983306581059393
2020,Linc AB,Investment Banking & Investment Services,Financials,997.3,0.0,4.46,0.0,0.01,2604.47,0.0,0.3812023175540513
2021,Linc AB,Investment Banking & Investment Services,Financials,23.17,0.0,20.2,0.0,1.18,3539.49,0.0,0.000505722575851324
2022,Linc AB,Investment Banking & Investment Services,Financials,847.75,0.0,10.51,0.0,0.0,2738.7,0.0,0.30570708730419544
2023,Linc AB,Investment Banking & Investment Services,Financials,656.33,0.0,10.75,0.0,0.0,3552.93,0.0,0.18170355171647065
2024,Linc AB,Investment Banking & Investment Services,Financials,1313.15,0.0,14.48,0.0,5.08,4966.38,0.0,0.26046939622018456
