Year,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2015,Lime Technologies AB (publ),Software & IT Services,Information Technology,138.44,0.0,108.71,0.0,1.15,98.17,0.0,0.29112763573393097
2016,Lime Technologies AB (publ),Software & IT Services,Information Technology,157.51,0.0,128.64,0.0,1.18,61.17,0.0,0.45267287886218743
2017,Lime Technologies AB (publ),Software & IT Services,Information Technology,197.45,0.0,165.0,0.0,1.36,88.16,0.0,0.3526542649727767
2018,Lime Technologies AB (publ),Software & IT Services,Information Technology,228.79,0.0,198.01,0.0,2.06,36.76,0.0,0.7812840043525572
2019,Lime Technologies AB (publ),Software & IT Services,Information Technology,269.59,0.0,209.21,0.0,1.96,64.35,0.0,0.9078477078477074
2020,Lime Technologies AB (publ),Software & IT Services,Information Technology,346.64,0.0,242.8,0.0,2.21,115.74,0.0,0.8780888197684464
2021,Lime Technologies AB (publ),Software & IT Services,Information Technology,404.74,0.0,292.87,0.0,4.18,131.59,0.0,0.8183752564784558
2022,Lime Technologies AB (publ),Software & IT Services,Information Technology,465.9,0.0,346.92,0.0,5.65,193.26,0.0,0.5864120873434749
2023,Lime Technologies AB (publ),Software & IT Services,Information Technology,574.39,0.0,426.16,0.0,8.64,266.47,0.0,0.5238488385184071
2024,Lime Technologies AB (publ),Software & IT Services,Information Technology,697.4,0.0,525.39,0.0,15.87,320.2,0.0,0.48763272954403497
