Year,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2012,Sensys Gatso Group AB,Communications & Networking,Communication Services,35.24,21.72,32.03,13.23,0.0,83.42,0.0,-0.06329417405897864
2013,Sensys Gatso Group AB,Communications & Networking,Communication Services,56.38,32.02,22.47,11.5,0.01,107.41,0.0,0.12456940694534961
2014,Sensys Gatso Group AB,Communications & Networking,Communication Services,147.51,74.63,24.74,16.39,0.0,135.4,0.0,0.4765878877400295
2015,Sensys Gatso Group AB,Communications & Networking,Communication Services,380.36,221.81,87.58999999999999,24.4,1.66,397.56,7.83,0.23113544981375964
2016,Sensys Gatso Group AB,Communications & Networking,Communication Services,428.73,284.49,128.81,49.96,4.83,361.32,5.33,0.16517114414291564
2017,Sensys Gatso Group AB,Communications & Networking,Communication Services,283.82,171.31,119.92,45.61,4.68,419.04,1.3,0.07974496835894748
2018,Sensys Gatso Group AB,Communications & Networking,Communication Services,356.18,204.93,107.46,43.24,2.18,443.1,0.72,0.19118110945878958
2019,Sensys Gatso Group AB,Communications & Networking,Communication Services,378.12,243.14,113.15,44.53,2.63,0.0,0.0,
2020,Sensys Gatso Group AB,Communications & Networking,Communication Services,465.62,299.95,119.71,34.88,3.71,539.41,-2.1,0.1435484171148872
2021,Sensys Gatso Group AB,Communications & Networking,Communication Services,507.91,301.52,124.03,36.35,3.56,546.96,0.39,0.21037727231204903
2022,Sensys Gatso Group AB,Communications & Networking,Communication Services,469.92,256.23,142.66,41.74,2.91,587.51,1.79,0.18642457152553882
2023,Sensys Gatso Group AB,Communications & Networking,Communication Services,620.6,369.27,166.30999999999997,45.91,6.48,637.38,2.6,0.1944592018500579
2024,Sensys Gatso Group AB,Communications & Networking,Communication Services,641.91,396.6,170.42,51.29,20.05,635.24,0.0,0.16707071343114405
