Year,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,Svenska Handelsbanken AB,Banking Services,Financials,38679.47,0.0,8941.279999999999,0.0,25091.37,56056.08,0.0,0.08289591423445955
2005,Svenska Handelsbanken AB,Banking Services,Financials,33801.4,0.0,9004.43,0.0,20767.64,55838.9,0.0,0.07215991002688094
2006,Svenska Handelsbanken AB,Banking Services,Financials,43480.43,0.0,9692.77,0.0,30665.5,60300.27,0.0,0.051776882591073034
2007,Svenska Handelsbanken AB,Banking Services,Financials,56532.74,0.0,10413.98,0.0,43004.55,62646.81,0.0,0.049710591808265925
2008,Svenska Handelsbanken AB,Banking Services,Financials,71294.74,0.0,10949.73,0.0,54853.03,66658.16,0.89,0.08238911295615539
2009,Svenska Handelsbanken AB,Banking Services,Financials,42200.18,0.0,12128.56,0.0,24094.17,67226.65,0.81,0.08891381587226417
2010,Svenska Handelsbanken AB,Banking Services,Financials,36438.57,0.0,12232.69,0.0,18519.52,76693.0,0.0,0.07414444603809991
2011,Svenska Handelsbanken AB,Banking Services,Financials,53169.12,0.0,12957.16,0.0,32774.67,78069.44,0.0,0.09526506146323079
2012,Svenska Handelsbanken AB,Banking Services,Financials,53983.57,0.0,13953.54,0.0,31569.05,88897.06,1.71,0.09517544505958855
2013,Svenska Handelsbanken AB,Banking Services,Financials,49153.88,0.0,14968.27,0.0,25084.6,104930.11,1.88,0.0867324635699752
2014,Svenska Handelsbanken AB,Banking Services,Financials,35200.04,0.0,15491.88,0.0,21729.05,121561.02,2.88,-0.016624096462847897
2015,Svenska Handelsbanken AB,Banking Services,Financials,38572.15,0.0,17003.38,0.0,14639.88,134236.44,4.19,0.05161544608364845
2016,Svenska Handelsbanken AB,Banking Services,Financials,40058.9,0.0,17619.23,0.0,11790.35,129326.93,5.69,0.08234055723915593
2017,Svenska Handelsbanken AB,Banking Services,Financials,40368.41,0.0,17779.8,0.0,11935.83,141684.5,11.01,0.0751807873093509
2018,Svenska Handelsbanken AB,Banking Services,Financials,41002.33,0.0,18895.129999999997,0.0,16748.74,138815.06,11.71,0.038598175265476556
2019,Svenska Handelsbanken AB,Banking Services,Financials,41489.15,0.0,18679.61,0.0,20714.79,149861.03,7.5,0.013977250594237496
2020,Svenska Handelsbanken AB,Banking Services,Financials,41321.04,0.0,19601.72,0.0,14073.9,179042.83,9.4,0.042699384419842196
2021,Svenska Handelsbanken AB,Banking Services,Financials,43456.7,0.0,17136.74,0.0,5523.16,177032.28,24.36,0.11745845849102297
2022,Svenska Handelsbanken AB,Banking Services,Financials,45689.6,0.0,16394.75,0.0,29257.8,182625.22,2.82,0.00020287136630278281
2023,Svenska Handelsbanken AB,Banking Services,Financials,59364.26,0.0,18725.129999999997,0.0,111696.9,206465.29,8.05,-0.3441498548916775
2024,Svenska Handelsbanken AB,Banking Services,Financials,60637.46,0.0,20819.98,0.0,126396.52,215922.7,6.17,-0.40096092754989177
