Year,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2011,Eltel AB,Telecommunications Services,Communication Services,7880.98,6885.15,571.16,0.0,191.69,1875.38,33.27,0.12206533413669345
2012,Eltel AB,Telecommunications Services,Communication Services,8587.33,7540.26,619.57,0.0,168.16,1856.24,35.97,0.13705666918576676
2013,Eltel AB,Telecommunications Services,Communication Services,8960.37,7840.61,656.7,0.0,162.42,2182.91,45.86,0.1348905450091311
2014,Eltel AB,Telecommunications Services,Communication Services,10379.73,9010.92,970.2,0.0,112.81,2245.26,57.85,0.12409307414756543
2015,Eltel AB,Telecommunications Services,Communication Services,11224.66,9746.1,787.13,0.0,61.72,4232.65,68.16,0.14641660524412833
2016,Eltel AB,Telecommunications Services,Communication Services,13001.58,11884.21,969.68,0.0,75.23,3084.51,66.28,0.022997406999514674
2017,Eltel AB,Telecommunications Services,Communication Services,12408.27,11520.96,1016.99,0.0,75.57,2728.09,68.92,-0.0733819328497212
2018,Eltel AB,Telecommunications Services,Communication Services,11415.17,10374.37,969.75,0.0,62.41,2420.45,75.3,0.003461885204847952
2019,Eltel AB,Telecommunications Services,Communication Services,10707.31,9891.17,841.74,0.0,66.95,2096.05,74.79,-0.04263326638536262
2020,Eltel AB,Telecommunications Services,Communication Services,10058.38,8992.49,907.18,0.0,89.0,2217.81,78.57,0.030356474102717957
2021,Eltel AB,Telecommunications Services,Communication Services,8257.38,7362.14,793.63,0.0,46.74,2204.53,77.09,0.02404870223788311
2022,Eltel AB,Telecommunications Services,Communication Services,8313.23,7559.22,779.24,0.0,76.71,2138.79,77.58,-0.04599412552958247
2023,Eltel AB,Telecommunications Services,Communication Services,9697.44,8835.04,939.97,0.0,143.73,2136.34,85.01,-0.09962410246021579
2024,Eltel AB,Telecommunications Services,Communication Services,9629.17,8561.33,1024.85,0.0,147.57,1839.17,94.14,-0.054093756303955264
