PortfolioStrategy,FactorModel,Method,alpha_annualized,alpha_monthly,t_stat,p_value,r_squared,n_obs
LongShort,CAPM,Method1_Raw,0.03622500915954585,0.0030187507632954873,0.9634342185196089,0.3365542401548214,0.027856659370339987,192
LongShort,FF3,Method1_Raw,0.03143409809539512,0.0026195081746162602,0.9551947032197413,0.3407058567692389,0.10979889260146736,192
LongShort,FF3+MOM,Method1_Raw,-0.019220121056804085,-0.0016016767547336738,-0.4922394820403784,0.6231274449054789,0.1628758764083853,192
LongShort,FF5,Method1_Raw,0.005042502800743067,0.00042020856672858896,0.1471049508307142,0.8832085112168946,0.45880527760409573,192
LongShort,FF5+MOM,Method1_Raw,-0.024177664987551833,-0.0020148054156293193,-0.6307497374580431,0.5289826005127534,0.4763519107562748,192
LongShort,CAPM,Method2_PostMean,0.01793628130637378,0.0014946901088644816,0.5068783511791849,0.6128279251439106,0.02032788841277855,192
LongShort,FF3,Method2_PostMean,0.013048813041526216,0.0010874010867938514,0.41652651182968237,0.6774999284482843,0.10665067397550543,192
LongShort,FF3+MOM,Method2_PostMean,-0.02747375829432114,-0.002289479857860095,-0.7817613161352739,0.43534354471726333,0.1445592962699892,192
LongShort,FF5,Method2_PostMean,-0.012134400816348976,-0.0010112000680290814,-0.4055087319462336,0.6855696597692154,0.4735082543610757,192
LongShort,FF5+MOM,Method2_PostMean,-0.03128958270404037,-0.0026074652253366974,-0.9943624326777195,0.3213452537890851,0.4819235614901861,192
LongShort,CAPM,Method3_ProbQ5,0.015967084430685966,0.0013305903692238303,0.5737373186030844,0.5668240883499194,0.0032165533820711634,192
LongShort,FF3,Method3_ProbQ5,0.009445947883564747,0.0007871623236303956,0.4244295671719833,0.6717378582892528,0.1398999102568077,192
LongShort,FF3+MOM,Method3_ProbQ5,-0.027332156498249466,-0.0022776797081874556,-0.9996218299736737,0.3187852959366877,0.18833317587158527,192
LongShort,FF5,Method3_ProbQ5,-0.008915084337456162,-0.0007429236947880135,-0.34347594932174547,0.731628362999059,0.4138527252883387,192
LongShort,FF5+MOM,Method3_ProbQ5,-0.0318553351072624,-0.0026546112589385332,-1.1079722368398113,0.2693122168204374,0.43257311099481555,192
