PortfolioStrategy,FactorModel,Method1_Raw_alpha_annualized,Method2_PostMean_alpha_annualized,Method3_ProbQ5_alpha_annualized,Method1_Raw_p_value,Method2_PostMean_p_value,Method3_ProbQ5_p_value,Method1_Raw_t_stat,Method2_PostMean_t_stat,Method3_ProbQ5_t_stat,Method2_PostMean_minus_Method1_Raw_alpha_difference_annualized,Method3_ProbQ5_minus_Method1_Raw_alpha_difference_annualized,Method2_PostMean_minus_Method1_Raw_p_value,Method3_ProbQ5_minus_Method1_Raw_p_value,Method2_PostMean_minus_Method1_Raw_t_stat,Method3_ProbQ5_minus_Method1_Raw_t_stat
LongShort,CAPM,0.03622403389918645,0.013548775235759777,0.017279128957421393,0.3365711216214544,0.7159684130222437,0.5349295230079822,0.9634004774177775,0.3643948353079613,0.6216312435754975,-0.022675258663426647,-0.018944904941765043,0.6667985983299483,0.6856469940753125,-0.4308818330617123,-0.40507953308111544
LongShort,FF3,0.0314332463112166,0.00893365266588406,0.010932075035673212,0.34072171589984324,0.7843990713171889,0.6272821500738193,0.9551632542178421,0.27398223299724894,0.48635470987595203,-0.02249959364532804,-0.020501171275540277,0.6255324507428366,0.6069538667474026,-0.4884265728220782,-0.5148592970002194
LongShort,FF3+MOM,-0.0192180307260931,-0.036041446966569975,-0.02603613513201588,0.623165415979495,0.33208384812784697,0.33883492264634296,-0.4921856613227449,-0.9724481207710132,-0.9589245535693297,-0.016823416240492075,-0.0068181044059357175,0.7539093592365689,0.8855668318004792,-0.31371901219554116,-0.14401418966737967
LongShort,FF5,0.005041711746965399,-0.01685304787243827,-0.007448960216442197,0.8832265235015826,0.6005253881037986,0.7765844555398531,0.14708209822326096,-0.5245431646950393,-0.2841853555870978,-0.02189475961939999,-0.012490671963408057,0.6355399766623124,0.7695502118681097,-0.4743341098511147,-0.293177168575237
LongShort,FF5+MOM,-0.024175597139343714,-0.040412729635258396,-0.030647444869195968,0.5290166970649448,0.24340855281519813,0.2856312642445238,-0.6306974840263536,-1.1702428923337866,-1.0708515110158512,-0.016237132495912986,-0.006471847729843487,0.7503249264765637,0.8912358582860653,-0.3184478425642289,-0.1368347268514861
Q5,CAPM,0.0368219767853182,0.03174501702725303,0.03622656769747396,0.09668199297163205,0.11428187305519066,0.09363336022199853,1.669414766435365,1.5865304145407622,1.6849843552441088,-0.005076959758065207,-0.0005954090878442925,0.8648695142356484,0.9846020045556603,-0.17029405663760813,-0.019312429521601775
Q5,FF3,0.030869389931072074,0.02621561847651932,0.03044839052212212,0.09527940693817816,0.11754237160063519,0.09711810084006212,1.6766171202441758,1.5723864907794418,1.6673080450057038,-0.004653771454568571,-0.00042099940896544313,0.8516070791191517,0.987064738632222,-0.18719708626039974,-0.016223442265967006
Q5,FF3+MOM,0.004862631716819742,0.002867097104423824,0.00664860044205859,0.8169066092186508,0.8778852908798698,0.7460546237877859,0.23185184263919187,0.1538609509490395,0.32432481612048525,-0.0019955346123889384,0.001785968725244974,0.9432137494055268,0.9513742287483808,-0.07127907365577477,0.06102206879225159
Q5,FF5,0.0233601191174381,0.018903278129029182,0.02290108075931727,0.2494658517289643,0.3066715928219266,0.2569133632329357,1.155260119482,1.0250484387093164,1.1372100676993322,-0.004456840988430952,-0.0004590383581421012,0.8706771080268771,0.9871695413031687,-0.1629108253942888,-0.016092102107228178
Q5,FF5+MOM,0.0011172318298995946,-0.0009343961791358445,0.002477463035551196,0.9588894452916823,0.9611999314530553,0.9064301120161606,0.051617149151307835,-0.04871379668615981,0.11770372024188049,-0.002051628009033274,0.0013602312056527899,0.94340578737624,0.9640418155541342,-0.07103813259465212,0.04511270031037178
