Year,Model,n_obs,RMSE,MAE,Bias,Corr
2010,Baseline_CFOeqCurrent,372,0.1441955332092297,0.07455698597819836,0.008668040237067383,0.825244641427819
2010,Sector_AR1,372,0.14791928818548208,0.07829871817392427,-0.00843295198923483,0.8302564500770875
2010,Global_AR1_StudentT,372,0.1554552066744331,0.07335542582829666,-0.007429864375256289,0.8252446414278187
2010,Blend_GlobalAR1,372,0.1554552066744331,0.07335542582829666,-0.007429864375256289,0.8252446414278187
2010,Global_AR1,372,0.15673961287856347,0.07365125588951682,-0.009495390678126124,0.8252446414278186
2010,Sector_AR1_StudentT,372,0.15719631553780192,0.07417157627936397,-0.006117369596544449,0.8007842438107812
2010,Delta_GlobalARX,372,0.15853983176619965,0.0812918554215713,-0.01259371977312511,0.800342269035971
2010,Sector_ARX,372,0.16264575953093247,0.08278603928490878,-0.012426940783758075,0.7731956172047538
2010,Sector_AR2,372,0.17439932107352807,0.08727523467334056,-0.014751241893384705,0.7307380020292519
2011,Baseline_CFOeqCurrent,386,0.11229628362629629,0.06418829703928344,0.010511293179093816,0.8549669082416772
2011,Sector_AR1_StudentT,386,0.12007037647710316,0.06219648532708575,-0.0027776535731839653,0.8572029240187525
2011,Global_AR1,386,0.12007150036644806,0.06357822390627534,-0.002883385665192576,0.8549669082416773
2011,Blend_GlobalAR1,386,0.12022258799081326,0.0636215017295969,-0.00011604270919709842,0.8549669082416769
2011,Global_AR1_StudentT,386,0.12233687305325464,0.06396384604384618,-0.001477650334616361,0.8549669082416773
2011,Delta_GlobalARX,386,0.12298068491527464,0.0717973727126775,0.0014026624507258922,0.8305137752393005
2011,Sector_AR1,386,0.12861166314106715,0.07111854624435653,-0.007951471534877417,0.8033999089309111
2011,Sector_ARX,386,0.13737195668477026,0.07353092175883173,-0.00781004531669239,0.7716778875016244
2011,Sector_AR2,386,0.14585305686902186,0.07713284307531644,-0.001526001468470808,0.7421157882390313
2012,Baseline_CFOeqCurrent,405,0.14928666826433765,0.07240336113600102,-0.010215327144741933,0.8004257965420642
2012,Sector_AR2,405,0.1494658617269091,0.07150772262278167,-0.01568852991435626,0.8101235160525819
2012,Delta_GlobalARX,405,0.14974286591611,0.06907909991931561,-0.012205201255090772,0.8052135990534018
2012,Sector_AR1,405,0.15165284975755727,0.07399031725306687,-0.017796315853358027,0.8050773952828233
2012,Blend_GlobalAR1,405,0.15188463958968465,0.07201430630447744,-0.01447787657592983,0.8004257965420648
2012,Global_AR1,405,0.1520418116602224,0.07205459642266675,-0.016721702055405702,0.8004257965420641
2012,Sector_AR1_StudentT,405,0.1527218544824454,0.07343347845063232,-0.020155888726850677,0.8106050003931157
2012,Sector_ARX,405,0.15643362974519542,0.07297939135929996,-0.011885917241575818,0.779020070011607
2012,Global_AR1_StudentT,405,0.1610311138220516,0.07426403809650461,-0.02082726571458969,0.8004257965420646
2013,Global_AR1_StudentT,434,0.36190367933072837,0.10353635561397213,-0.001153640337070202,0.25366500235710643
2013,Delta_GlobalARX,434,0.3684213311038006,0.09899058608597411,0.004063020580849581,0.2542078950640222
2013,Blend_GlobalAR1,434,0.36941000056499546,0.10275398837734878,0.007920553930722864,0.2536650023571064
2013,Global_AR1,434,0.36943513754592594,0.10264552003940891,0.006999197292110104,0.2536650023571065
2013,Sector_AR1,434,0.37017078391200997,0.10422445771852809,0.004498197279688116,0.23796639254642643
2013,Baseline_CFOeqCurrent,434,0.37235972657548916,0.10326916322213385,0.010618608995919935,0.25366500235710643
2013,Sector_ARX,434,0.37300694588224437,0.10231423887078299,0.002460640103670135,0.22052848073383885
2013,Sector_AR2,434,0.37364795745123863,0.10246937857677299,0.0034641623921653746,0.21991205069077116
2013,Sector_AR1_StudentT,434,0.3748892115836399,0.10410497362019695,0.0006588884637946285,0.20349103663697207
2014,Delta_GlobalARX,447,0.22713145305240226,0.08293878616981114,-0.006904761104996736,0.6018531406776794
2014,Sector_ARX,447,0.2280830214401338,0.08759383665934824,-0.010742172033813828,0.5899865727372666
2014,Sector_AR2,447,0.2285613130223073,0.09032595521856644,-0.0022416493450018644,0.5876570435878352
2014,Sector_AR1_StudentT,447,0.2350950594928461,0.0841329205930621,-0.00988244518345895,0.5501472697274961
2014,Baseline_CFOeqCurrent,447,0.2371244601272187,0.08785133800986202,-0.0034276478943769937,0.5388419900021458
2014,Global_AR1,447,0.23712452147641896,0.08759927316456646,-0.004238289045360044,0.5388419900021459
2014,Blend_GlobalAR1,447,0.23720088134549167,0.08663747561709237,-0.008259896511940932,0.5388419900021459
2014,Global_AR1_StudentT,447,0.237723659514881,0.08689727188162194,-0.010043345640208298,0.538841990002146
2014,Sector_AR1,447,0.23869426989367387,0.09140377228797512,-0.005648540163581689,0.5303638401129646
2015,Baseline_CFOeqCurrent,482,1.279223999768506,0.1655706382842855,0.0032450736004867972,0.45293478189715186
2015,Sector_AR1_StudentT,482,1.2816026968711467,0.16423020284323067,-0.0036995759014905208,0.4410322735681635
2015,Blend_GlobalAR1,482,1.2879106563008615,0.16845713485059863,-0.007394131195436861,0.452934781897152
2015,Global_AR1,482,1.2890986904087027,0.16933311434224396,-0.0018644712897891037,0.45293478189715186
2015,Delta_GlobalARX,482,1.2896079181439462,0.1675734668788412,-0.008178124120241749,0.4692617331052235
2015,Global_AR1_StudentT,482,1.2900791997415832,0.1694369922515444,-0.009846932626708237,0.45293478189715175
