Model,n_obs,RMSE,MAE,Bias,Corr,SignAccuracy,RMSE_Improvement_vs_Baseline,MAE_Improvement_vs_Baseline
Sector_AR1_StudentT,7150,0.3846887974086389,0.08513425403915377,-0.0021056477646171764,0.5475591198850581,0.8921678321678321,0.0004942175189279752,0.023423199965353247
Baseline_CFOeqCurrent,7150,0.3848790113587201,0.0871761995944747,0.0070327631627917315,0.5463783725755436,0.8758041958041958,0.0,0.0
Blend_GlobalAR1,7150,0.3867206094979082,0.08660820585819928,0.0024411021480603636,0.5424366489091462,0.8804195804195805,-0.004784875466933958,0.006515467970817812
Global_AR1_StudentT,7150,0.3875433067981993,0.08678473424141936,-0.00455591069859473,0.543417797560058,0.8867132867132868,-0.006922423309272174,0.004490507212706607
Global_AR1,7150,0.38864450397870187,0.0916091016870721,0.0008515117887797805,0.5315265885047746,0.8765034965034965,-0.009783574860807942,-0.05084991216889856
Delta_GlobalARX,7150,0.39298168172859177,0.09756502406894889,0.0013257791538688751,0.5189017060454697,0.87006993006993,-0.02105251294755517,-0.11917042177567749
Sector_AR1,7150,0.3988011636542154,0.09841185314195418,-0.00039706305419793565,0.49838295566725677,0.8753846153846154,-0.03617280206147533,-0.1288844156976947
Sector_AR2,7150,0.4021750293923241,0.10073426336074068,0.0004136217972363265,0.48976060393773596,0.8737062937062937,-0.04493884447620222,-0.15552483165514475
Sector_ARX,7150,0.43360310522125184,0.11205461431750514,-0.0017255782907079108,0.4145454531152406,0.8623776223776224,-0.12659587149354645,-0.28538081309760677
