FormationYear,n_firms,mu_t,var_obs_t,q5_cutoff_obs,median_cutoff_obs,q1_cutoff_obs,median_sigma_raw,sigma_input_col,avg_obs_var_i,tau2_t,n_sigma_draws_used,tau2_floor_share
2014,141,0.1744477760229303,0.05266748231303295,0.3076398974414143,0.1659043506897434,0.0604674903041995,0.06270780129912848,sigma_mean,0.014086537583587225,0.03858094472944567,8000,0.0
2015,159,0.20210259419557466,0.05109588141768789,0.34705720630872217,0.1861844691419789,0.06368517020252508,0.055280657001727185,sigma_mean,0.015434194289557916,0.0356616871281299,8000,0.0
2016,170,0.16807957460820416,0.19313066936309126,0.311129823765845,0.17500827540966857,0.06487540443982158,0.053696831126395894,sigma_mean,0.05878122388210046,0.13434944548099068,8000,0.0
2017,190,0.19419199874764886,0.14359670238374667,0.332137232480357,0.1931314149931168,0.055017880057624015,0.05906480485215684,sigma_mean,0.04300456802595196,0.10059213435779475,8000,0.0
2018,200,0.18474809199508457,0.1024220825887608,0.3269341129399266,0.18349261513178916,0.07958835192614472,0.059579622624106376,sigma_mean,0.03663441001671318,0.06578767257204737,8000,0.0
2019,226,0.1683158904202394,0.10720614778607478,0.3199737666690956,0.16317640164546282,0.0557613543520285,0.062252918842744406,sigma_mean,0.038736623465419784,0.06846952432065484,8000,0.0
2020,243,0.1709832471256192,0.12847715978146687,0.32029076305815557,0.1561560213937813,0.057775789075831446,0.0634510822634204,sigma_mean,0.04899284717286211,0.0794843126086047,8000,0.0
2021,262,0.1497269652316867,0.08352134819870609,0.3083825532869748,0.15965207634030304,0.026420745464244805,0.06612074423762632,sigma_mean,0.02960902663090882,0.053912321567797294,8000,0.0
2022,281,0.17572326734304614,0.17419007707847048,0.3406202639762613,0.1782093562965676,0.0329783880822713,0.06998986486000883,sigma_mean,0.06127822859150149,0.11291184848696921,8000,0.0
2023,308,0.17593655967458482,0.12373891608637262,0.33834103821173844,0.1566623819357953,0.015889526236858745,0.06369768692082603,sigma_mean,0.04668477937933418,0.07705413670703848,8000,0.0
2024,328,0.2769557876273803,3.8177838659714856,0.30200911994582263,0.13439093688145226,0.009024116434646453,0.05844736905296948,sigma_mean,1.3397684979390532,2.4780153680324446,8000,0.0
2025,350,0.16581241968849003,0.26153713922827837,0.28744966697269697,0.12027424997301264,0.004035510325923898,0.05263788991552886,sigma_mean,0.09871700126084644,0.16282013796743253,8000,0.0
