Year,baseline_firms,baseline_firm_years,analyst_cfo_firms,analyst_cfo_firm_years,overlap_firms,mean_expected_wca_baseline,mean_expected_wca_analyst_cfo,expected_wca_overlap_obs,expected_wca_overlap_corr,mean_expected_wca_difference_analyst_minus_baseline
2009,318,318,,,0,-0.015116499535346016,,,,
2010,327,327,,,0,0.004825677171666347,,,,
2011,342,342,,,0,0.006253601758283532,,,,
2012,356,356,,,0,-0.00486439175339681,,,,
2013,373,373,,,0,0.005120626285422159,,,,
2014,387,387,,,0,0.00316044155480942,,,,
2015,405,405,,,0,0.0072599113916130865,,,,
2016,434,434,147.0,147.0,147,0.0032003216099777895,0.004698299064864892,147.0,0.8689813319366683,0.0020898866547836127
2017,447,447,167.0,167.0,167,0.003416443320638446,0.004678404741585918,167.0,0.8376604665343879,0.0021557819171846063
2018,482,482,188.0,188.0,188,0.010974822019810043,0.011686326237565199,188.0,0.8232761632641478,0.0019477257000651562
2019,509,509,202.0,202.0,202,0.0004572706145404297,0.001762487580792257,202.0,0.8304396743525806,-0.0009128568221175679
2020,529,529,225.0,225.0,225,-0.006510264998850929,-0.0055752272662837775,225.0,0.7787030304746488,-0.0013825294249884045
2021,547,547,247.0,247.0,247,0.00513312527714982,0.013759581976359883,247.0,0.8596342220642806,0.00951965027412727
2022,570,570,261.0,261.0,261,0.009342575022498757,0.01940647046560294,261.0,0.9498428836953647,0.009209259095696597
2023,588,588,282.0,282.0,282,-0.002632309411804065,-0.002138319514242014,282.0,0.9074541601016538,0.0002407231419811847
2024,616,616,312.0,312.0,312,,0.006399687319192281,,,
