model,sample,n_firm_years,n_firms,mean_expected_wca,median_expected_wca,std_expected_wca,p05_expected_wca,p25_expected_wca,p75_expected_wca,p95_expected_wca,correlation_expected_wca,mean_difference_analyst_minus_baseline,median_difference_analyst_minus_baseline,std_difference_analyst_minus_baseline
baseline,full_available_sample,6613,591,0.0022419835573591414,0.0014255003605975,0.046088531186624926,-0.04834977552603506,-0.010042897915458,0.0160773245042985,0.05154596825115426,,,,
analyst_cfo,full_available_sample,2031,312,0.006217612567062251,0.0031575433097277,0.04270359941268507,-0.039475293010702905,-0.00950094666151355,0.01833091628321015,0.05953779652696865,,,,
baseline,overlapping_firm_year_sample,1719,282,0.003066014753371361,0.0021511247523288,0.03148177433381689,-0.03125800642581764,-0.0068229746824831,0.0136922448061361,0.04065313351854239,,,,
analyst_cfo,overlapping_firm_year_sample,1719,282,0.006184565840672159,0.0038467777314447,0.04167182801230211,-0.04008995531879541,-0.009561264463435849,0.01941976403125785,0.058931909434543184,,,,
baseline_vs_analyst_cfo,overlapping_firm_year_sample,1719,282,,,,,,,,0.8757314438440246,0.0031185510873007983,0.0008997861349546998,0.02073388044937226
