FormationYear,Method,PortfolioNum,Portfolio,n_firms,total_marketcap,avg_theta_obs,avg_theta_post_mean,avg_p_q5,avg_sigma_acc
2010,Method1_Raw,1,Q1,63,501070.10000000003,-0.5379163118699314,-0.362316534039563,0.04783154160185441,0.09532911816349322
2010,Method1_Raw,2,Q2,62,477072.39,0.03459740512129471,0.04931439596422072,0.0996206561379897,0.08002079150714236
2010,Method1_Raw,3,Q3,62,988980.02,0.14222386428949813,0.13848038591005427,0.13720493117849902,0.07154059290570415
2010,Method1_Raw,4,Q4,62,689406.95,0.26763504026353463,0.24755658482483825,0.27594547424498544,0.06342041702308479
2010,Method1_Raw,5,Q5,63,2103071.69,0.6704510193622414,0.5491994284612131,0.695035217317765,0.08769773395297897
2010,Method2_PostMean,1,Q1,63,606488.39,-0.535651425902048,-0.36494740351232036,0.03465136456075886,0.08714170453021403
2010,Method2_PostMean,2,Q2,62,351893.22,0.03247461586197183,0.05191939962154835,0.10560605296421824,0.08489117216286424
2010,Method2_PostMean,3,Q3,62,1008536.14,0.1427818228461224,0.13852728332134942,0.1467709397017398,0.07652573964214021
2010,Method2_PostMean,4,Q4,62,511731.2,0.27094265179977634,0.23977019284908963,0.2704927733594572,0.07539176917746314
2010,Method2_PostMean,5,Q5,63,2280952.2,0.666471015748649,0.5568832889854276,0.6982769867911724,0.07440472644522245
2010,Method3_ProbQ5,1,Q1,63,1165624.06,-0.3932996988727997,-0.2746174355384207,0.003273886503750489,0.04694713591799082
2010,Method3_ProbQ5,2,Q2,62,522962.91,-0.022802890875775705,0.020499363221501518,0.061296595830315374,0.07146029764466713
2010,Method3_ProbQ5,3,Q3,62,374782.78,0.08946942846652967,0.11356245812532625,0.1840732982461164,0.09369465241660456
2010,Method3_ProbQ5,4,Q4,62,408597.61,0.23422094935260793,0.2047630768925403,0.30886693718598296,0.11123737600753814
2010,Method3_ProbQ5,5,Q5,63,2287633.79,0.6671243588939965,0.5564946322537883,0.6987852895355782,0.07564396179787078
2011,Method1_Raw,1,Q1,65,535274.47,-0.6651320626156536,-0.4562222509437929,0.10258983682526801,0.09095264933955505
2011,Method1_Raw,2,Q2,64,380291.48,0.05819580131910903,0.06918381577455426,0.1791633275493623,0.07718139410194833
2011,Method1_Raw,3,Q3,65,646445.24,0.16369084887467747,0.1575638211992928,0.23470331499394656,0.06843545315932535
2011,Method1_Raw,4,Q4,64,1497818.03,0.2784963967247076,0.2595397248823387,0.3524178918210681,0.0608588726825356
2011,Method1_Raw,5,Q5,65,2678959.44,0.7730820381510342,0.6512208795028287,0.6806970224881566,0.08247155681021869
2011,Method2_PostMean,1,Q1,65,545294.63,-0.6631472679747984,-0.4583983134974957,0.08929927914799525,0.08399652809088073
2011,Method2_PostMean,2,Q2,64,371243.7,0.056250054375571804,0.07138009066167009,0.18866461830990794,0.08231644099418453
2011,Method2_PostMean,3,Q3,65,671767.13,0.16447154961528587,0.1569869151777112,0.24928548933042127,0.07435980721199649
2011,Method2_PostMean,4,Q4,64,1449875.92,0.2900377414896089,0.25435075217041314,0.3448013293236347,0.07323337371306544
2011,Method2_PostMean,5,Q5,65,2700607.28,0.7608685695300735,0.6569205043979258,0.6775496733852748,0.06626315374380608
2011,Method3_ProbQ5,1,Q1,65,975121.78,-0.5273309851478728,-0.3697504855666521,0.030695579803587475,0.04606574199027567
2011,Method3_ProbQ5,2,Q2,64,349880.6,0.000661623459088937,0.038199200291354464,0.17002669577693497,0.06925236546855912
2011,Method3_ProbQ5,3,Q3,65,589466.92,0.1167229105368139,0.13168951630415549,0.2870452528364827,0.0877010441000984
2011,Method3_ProbQ5,4,Q4,64,1151518.1199999999,0.24651712578018845,0.2261503564164621,0.3806026407452982,0.10018951982352856
2011,Method3_ProbQ5,5,Q5,65,2672801.24,0.7703852178440478,0.6540070339860696,0.6814942724716797,0.07717435653431515
2012,Method1_Raw,1,Q1,68,555169.86,-0.5854224991858419,-0.3957743407484235,0.03345551686723941,0.0853731800320892
2012,Method1_Raw,2,Q2,67,678040.76,0.05342148372392234,0.061611376448761676,0.08593324597964143,0.07160250855321199
2012,Method1_Raw,3,Q3,67,390199.69,0.16338115279749116,0.15347041607074954,0.151658825698474,0.0662186718519037
2012,Method1_Raw,4,Q4,67,509730.08,0.2772685364469602,0.24921484891991508,0.2998433121892278,0.06849880543692351
2012,Method1_Raw,5,Q5,68,2684795.22,0.5866131410508617,0.4926065272523452,0.7109079800825757,0.07559848028169325
2012,Method2_PostMean,1,Q1,68,555591.09,-0.5849233956167329,-0.3967133153114882,0.027915962301499647,0.08180498102233931
2012,Method2_PostMean,2,Q2,67,671043.93,0.05292046471065898,0.06254876065560577,0.09261263982529269,0.07566143008547167
2012,Method2_PostMean,3,Q3,67,251907.37,0.165540410634167,0.15055251431721214,0.1617651693834252,0.07557594335863653
2012,Method2_PostMean,4,Q4,67,623063.35,0.2885545276696592,0.24641700488345686,0.2880246420454614,0.07244228655492138
2012,Method2_PostMean,5,Q5,68,2716329.87,0.5733601637598487,0.49825359337527986,0.7115535123701093,0.06206229446029085
2012,Method3_ProbQ5,1,Q1,68,1029462.56,-0.46271544173145496,-0.32834061081800475,0.0026656079103537242,0.04798861864453801
2012,Method3_ProbQ5,2,Q2,67,198599.59,-0.0028096931490794405,0.041058687973184765,0.0643011109329033,0.06645314333776625
2012,Method3_ProbQ5,3,Q3,67,461353.2,0.11367640096650443,0.1260247804921079,0.18247034366974374,0.08796861326686321
2012,Method3_ProbQ5,4,Q4,67,414515.88,0.2603064299532137,0.22516394751400032,0.320287013828578,0.09544082500108587
2012,Method3_ProbQ5,5,Q5,68,2714004.38,0.5849967947471842,0.4961624753488226,0.7125104380721072,0.0700807781962106
2013,Method1_Raw,1,Q1,71,352310.49,-0.6098100105073614,-0.4156182765886214,0.04966287947291077,0.0628753781550155
2013,Method1_Raw,2,Q2,70,622446.8200000001,0.02938019936175508,0.03803923852034754,0.09494107927218726,0.04717524629012075
2013,Method1_Raw,3,Q3,70,413042.69,0.1236315916905404,0.11519689120889094,0.14542902402698424,0.04567804293380172
2013,Method1_Raw,4,Q4,70,607721.02,0.23682295295883143,0.21109259822876428,0.3051804847970048,0.04593396304993489
2013,Method1_Raw,5,Q5,70,3099639.09,0.5837856338416234,0.4743668991223417,0.7121659983230999,0.04864513955980437
2013,Method2_PostMean,1,Q1,71,350065.89,-0.6083127890643019,-0.41640500562864674,0.04023397695233131,0.059341153156175386
2013,Method2_PostMean,2,Q2,70,620748.96,0.027926239393365547,0.038767765925332355,0.11275605837105435,0.05472693785228722
2013,Method2_PostMean,3,Q3,70,390576.36,0.1260708645218479,0.11371875046904076,0.15487211898542386,0.04771088389576588
2013,Method2_PostMean,4,Q4,70,573956.5499999999,0.24141058431992768,0.20867468014243007,0.2861423490284927,0.04554552314195759
2013,Method2_PostMean,5,Q5,70,3159812.35,0.5766940792967917,0.4783323985698527,0.7135096611623216,0.04303376087104601
2013,Method3_ProbQ5,1,Q1,71,750714.41,-0.4849054951386728,-0.34659472002640795,0.004740693270179639,0.03289019100133076
2013,Method3_ProbQ5,2,Q2,70,454876.49,-0.01074418951060103,0.020795929895504967,0.07430628480729572,0.04353439325246327
2013,Method3_ProbQ5,3,Q3,70,222926.01,0.05748571898125743,0.08405189645688461,0.19276985620107367,0.06326176275881631
2013,Method3_ProbQ5,4,Q4,70,502561.57,0.2189814185362322,0.18628942048331062,0.32231382921208707,0.0658098938572691
2013,Method3_ProbQ5,5,Q5,70,3164081.63,0.5812085642576204,0.4775487728743992,0.7138905479187327,0.045239888935279006
2014,Method1_Raw,1,Q1,73,508802.48,-0.6037054897863345,-0.46004314868148066,0.10374100544461232,0.08155310700271584
2014,Method1_Raw,2,Q2,73,800534.79,0.030599499551798096,0.03485383349109466,0.1859863777989084,0.06831766555333063
2014,Method1_Raw,3,Q3,72,723633.01,0.10987678213967485,0.10062160212068808,0.2187939108032625,0.05953496980356342
2014,Method1_Raw,4,Q4,73,992062.14,0.2015388158758419,0.18022265938717766,0.364505315313783,0.05839207932724183
2014,Method1_Raw,5,Q5,73,3658580.38,0.5194507036676831,0.43931699504882377,0.6329199284348683,0.0691876123607514
2014,Method2_PostMean,1,Q1,73,505740.95999999996,-0.6016981485742968,-0.4605170087655019,0.09793378024226848,0.07729168905318366
2014,Method2_PostMean,2,Q2,73,799218.21,0.028765757890528376,0.035077568609445456,0.1990157172733666,0.07700289977478461
2014,Method2_PostMean,3,Q3,72,591972.63,0.11250078321273607,0.0993403449875839,0.22525860163184072,0.06245535422922325
2014,Method2_PostMean,4,Q4,73,780101.4,0.20624449158692099,0.17798727949658552,0.3528412392742226,0.06105694765591701
2014,Method2_PostMean,5,Q5,73,4006579.6,0.5119833725529536,0.44306620557061366,0.6309857567823468,0.05921854860059952
2014,Method3_ProbQ5,1,Q1,73,1160293.3699999999,-0.472063335691002,-0.37840946263357617,0.029471466903228712,0.036369525703001664
2014,Method3_ProbQ5,2,Q2,73,466843.13,-0.04580362056806199,-0.006052646870651054,0.1733887141383192,0.06673328958813961
2014,Method3_ProbQ5,3,Q3,72,493352.8,0.07505565717362842,0.08142281986475745,0.2917409768196502,0.08035081062867327
2014,Method3_ProbQ5,4,Q4,73,718632.19,0.1831768465664546,0.15561450124556162,0.3786248947988324,0.08969295446955367
2014,Method3_ProbQ5,5,Q5,73,3844491.31,0.5169177622557806,0.44213373274300694,0.6337197600123408,0.06412400216268847
2015,Method1_Raw,1,Q1,76,553020.0700000001,-0.4414294917949007,-0.2756593091431218,0.16017999602852168,0.0785107510596006
2015,Method1_Raw,2,Q2,75,901909.98,0.04683164460718494,0.06491931314434367,0.22553868250546885,0.05763970677801164
2015,Method1_Raw,3,Q3,75,779556.92,0.1294123081500634,0.13278575837411258,0.24410833105882304,0.04814956819814332
2015,Method1_Raw,4,Q4,75,1467389.55,0.23475884777654235,0.22158499150671152,0.39843634742368206,0.06045591105590153
2015,Method1_Raw,5,Q5,75,4262319.05,0.8007806632932807,0.6416028416447123,0.6255382004715131,0.06648705408411898
2015,Method2_PostMean,1,Q1,76,978994.47,-0.43701218134654707,-0.27788059563490874,0.14193267273965177,0.0719716694648573
2015,Method2_PostMean,2,Q2,75,448085.94,0.04369827292644571,0.0664000488437796,0.2258362823573417,0.05802392606745009
2015,Method2_PostMean,3,Q3,75,755265.11,0.12812607554249628,0.1334974297301789,0.2643338255008606,0.055505719340202805
