Ticker,Currency,CurrencySource,CurrencyWarning,CF_CURR
PRSO.OL,NOK,CF_CURR,,NOK
PSE.OL,NOK,CF_CURR,,NOK
PUUILO.HE,EUR,CF_CURR,,EUR
QEC.OL,NOK,CF_CURR,,NOK
QLINEA.ST,SEK,CF_CURR,,SEK
QLIRO.ST,SEK,CF_CURR,,SEK
QPR1V.HE,EUR,CF_CURR,,EUR
QTCOM.HE,EUR,CF_CURR,,EUR
RAILG.ST,SEK,CF_CURR,,SEK
RAIVV.HE,EUR,CF_CURR,,EUR
RANA.OL,NOK,suffix_fallback,,
RAP1V.HE,EUR,CF_CURR,,EUR
RAUTE.HE,EUR,CF_CURR,,EUR
RAYb.ST,SEK,CF_CURR,,SEK
RBLNb.CO,DKK,CF_CURR,,DKK
RBREW.CO,DKK,CF_CURR,,DKK
REACH.OL,NOK,CF_CURR,,NOK
REBL.HE,EUR,CF_CURR,,EUR
RECSI.OL,NOK,CF_CURR,,NOK
REG1V.HE,EUR,CF_CURR,,EUR
REITIR.IC,ISK,CF_CURR,,ISK
REJLb.ST,SEK,CF_CURR,,SEK
REKA.HE,EUR,CF_CURR,,EUR
RELAIS.HE,EUR,CF_CURR,,EUR
REMEDY.HE,EUR,CF_CURR,,EUR
RIASb.CO,DKK,CF_CURR,,DKK
ROBIT.HE,EUR,CF_CURR,,EUR
ROCKb.CO,DKK,CF_CURR,,DKK
ROVS.CO,DKK,CF_CURR,,DKK
RROS.ST,SEK,CF_CURR,,SEK
RTX.CO,DKK,CF_CURR,,DKK
RUSTA.ST,SEK,CF_CURR,,SEK
RVRC.ST,SEK,CF_CURR,,SEK
SAABb.ST,SEK,CF_CURR,,SEK
SAFETYb.ST,SEK,CF_CURR,,SEK
SAGAb.ST,SEK,CF_CURR,,SEK
SAGCV.HE,EUR,CF_CURR,,EUR
SALM.OL,NOK,CF_CURR,,NOK
SALME.OL,NOK,CF_CURR,,NOK
SAND.ST,SEK,CF_CURR,,SEK
SANION.ST,SEK,CF_CURR,,SEK
SANOMA.HE,EUR,CF_CURR,,EUR
SATSS.OL,NOK,CF_CURR,,NOK
SBBb.ST,SEK,CF_CURR,,SEK
SCANA.OL,NOK,CF_CURR,,NOK
SCANFL.HE,EUR,CF_CURR,,EUR
SCATC.OL,NOK,CF_CURR,,NOK
SCAb.ST,SEK,CF_CURR,,SEK
SCHO.CO,DKK,CF_CURR,,DKK
SCST.ST,SEK,CF_CURR,,SEK
SDIPb.ST,SEK,CF_CURR,,SEK
SECTb.ST,SEK,CF_CURR,,SEK
SECUb.ST,SEK,CF_CURR,,SEK
SEDANA.ST,SEK,CF_CURR,,SEK
SEZI.ST,SEK,CF_CURR,,SEK
SFAST.ST,SEK,CF_CURR,,SEK
SFRG.ST,SEK,CF_CURR,,SEK
SGG.ST,SEK,CF_CURR,,SEK
SHOTE.ST,SEK,CF_CURR,,SEK
SIGR.CO,DKK,CF_CURR,,DKK
SIILI.HE,EUR,CF_CURR,,EUR
SIMINN.IC,ISK,CF_CURR,,ISK
SINCH.ST,SEK,CF_CURR,,SEK
SINT.ST,SEK,CF_CURR,,SEK
SITOWS.HE,EUR,CF_CURR,,EUR
SIVEH.ST,SEK,CF_CURR,,SEK
SKAKO.CO,DKK,suffix_fallback,,
SKAb.ST,SEK,CF_CURR,,SEK
SKFb.ST,SEK,CF_CURR,,SEK
SKISb.ST,SEK,CF_CURR,,SEK
SLEEP.ST,SEK,CF_CURR,,SEK
SLPb.ST,SEK,CF_CURR,,SEK
SMCRT.OL,NOK,suffix_fallback,,
SMOP.OL,NOK,CF_CURR,,NOK
SNI.OL,NOK,CF_CURR,,NOK
SOBIV.ST,SEK,CF_CURR,,SEK
SOFF.OL,NOK,CF_CURR,,NOK
SOFb.ST,SEK,CF_CURR,,SEK
SOLARb.CO,DKK,CF_CURR,,DKK
SOLTEQ.HE,EUR,CF_CURR,,EUR
SOSI1.HE,EUR,CF_CURR,,EUR
SPGP.CO,DKK,CF_CURR,,DKK
SRV1V.HE,EUR,CF_CURR,,EUR
SSABAH.HE,EUR,CF_CURR,,EUR
SSABa.ST,SEK,CF_CURR,,SEK
SSH1V.HE,EUR,CF_CURR,,EUR
STEAV.HE,EUR,CF_CURR,,EUR
STEFb.ST,SEK,CF_CURR,,SEK
STEa.ST,SEK,CF_CURR,,SEK
STOGR.CO,DKK,CF_CURR,,DKK
STORb.ST,SEK,CF_CURR,,SEK
STRAP.CO,DKK,CF_CURR,,DKK
STRO.OL,NOK,CF_CURR,,NOK
STWK.ST,SEK,CF_CURR,,SEK
STZEb.ST,SEK,CF_CURR,,SEK
SUBC.OL,NOK,CF_CURR,,NOK
SUY1V.HE,EUR,CF_CURR,,EUR
SVEAF.ST,SEK,CF_CURR,,SEK
SVEDb.ST,SEK,CF_CURR,,SEK
SVIK.ST,SEK,CF_CURR,,SEK
SVN.IC,ISK,CF_CURR,,ISK
SWECb.ST,SEK,CF_CURR,,SEK
SWON.OL,NOK,CF_CURR,,NOK
SYN.IC,ISK,CF_CURR,,ISK
SYNACT.ST,SEK,CF_CURR,,SEK
SYNSAM.ST,SEK,CF_CURR,,SEK
SYSR.ST,SEK,CF_CURR,,SEK
TALLINK.HE,EUR,CF_CURR,,EUR
TCM.CO,DKK,CF_CURR,,DKK
TECH.OL,NOK,CF_CURR,,NOK
TEKNA.OL,NOK,CF_CURR,,NOK
TEL.OL,NOK,CF_CURR,,NOK
TEL2b.ST,SEK,CF_CURR,,SEK
TELIA.ST,SEK,CF_CURR,,SEK
TELIA1.HE,EUR,CF_CURR,,EUR
TEM1V.HE,EUR,CF_CURR,,EUR
TGS.OL,NOK,CF_CURR,,NOK
THULE.ST,SEK,CF_CURR,,SEK
TIETO.HE,EUR,CF_CURR,,EUR
TIETOS.ST,SEK,CF_CURR,,SEK
TIV.CO,DKK,CF_CURR,,DKK
TLT1V.HE,EUR,CF_CURR,,EUR
TNOM.HE,EUR,CF_CURR,,EUR
TOBII.ST,SEK,CF_CURR,,SEK
TOIVO.HE,EUR,CF_CURR,,EUR
TOKMAN.HE,EUR,CF_CURR,,EUR
TOM.OL,NOK,CF_CURR,,NOK
TRAD.ST,SEK,CF_CURR,,SEK
