PortfolioStrategy,FactorModel,Comparison,alpha_difference_annualized,alpha_difference_monthly,t_stat,p_value
LongShort,CAPM,Method2_PostMean minus Method1_Raw,-0.003793860991540695,-0.00031615508262839126,-0.08302983085885349,0.9338715392202246
LongShort,CAPM,Method3_ProbQ5 minus Method1_Raw,-0.019488930832962686,-0.0016240775694135571,-0.44311019702689053,0.6579381807244564
LongShort,FF3,Method2_PostMean minus Method1_Raw,-0.002900946067047626,-0.00024174550558730214,-0.07374495463737096,0.941252542648706
LongShort,FF3,Method3_ProbQ5 minus Method1_Raw,-0.01927903778406703,-0.0016065864820055857,-0.5231520478187451,0.6011766033807189
LongShort,FF3+MOM,Method2_PostMean minus Method1_Raw,0.00045281390784552775,3.7734492320460646e-05,0.010171726987754169,0.9918896995314919
LongShort,FF3+MOM,Method3_ProbQ5 minus Method1_Raw,-0.015351263308974785,-0.0012792719424145655,-0.3740538935325528,0.7085761883604924
LongShort,FF5,Method2_PostMean minus Method1_Raw,-0.002272534972436786,-0.00018937791436973218,-0.06548338995741672,0.9478243070148469
LongShort,FF5,Method3_ProbQ5 minus Method1_Raw,-0.015251639705421744,-0.001270969975451812,-0.45419643408579585,0.6499523383898427
LongShort,FF5+MOM,Method2_PostMean minus Method1_Raw,0.0007779156372950853,6.482630310792378e-05,0.021826178975519132,0.9825983769043314
LongShort,FF5+MOM,Method3_ProbQ5 minus Method1_Raw,-0.01701897742655295,-0.0014182481188794126,-0.49815567446122716,0.6186702897235903
