Exchange,Method,Portfolio,Date,n_firms,reason
Copenhagen,Method1_Raw,Q1,2025-01-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method1_Raw,Q1,2025-02-28,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method1_Raw,Q1,2025-03-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method1_Raw,Q1,2025-04-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method1_Raw,Q1,2025-05-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method1_Raw,Q1,2025-06-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method1_Raw,Q1,2025-07-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method1_Raw,Q1,2025-08-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method1_Raw,Q1,2025-09-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method1_Raw,Q1,2025-10-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method1_Raw,Q1,2025-11-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method1_Raw,Q1,2025-12-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_PostMean,Q1,2025-01-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_PostMean,Q1,2025-02-28,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_PostMean,Q1,2025-03-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_PostMean,Q1,2025-04-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_PostMean,Q1,2025-05-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_PostMean,Q1,2025-06-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_PostMean,Q1,2025-07-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_PostMean,Q1,2025-08-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_PostMean,Q1,2025-09-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_PostMean,Q1,2025-10-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_PostMean,Q1,2025-11-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_PostMean,Q1,2025-12-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_PostMean,Q5,2015-01-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_PostMean,Q5,2015-02-28,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_PostMean,Q5,2015-03-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_PostMean,Q5,2015-04-30,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_PostMean,Q5,2015-05-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_PostMean,Q5,2015-06-30,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_PostMean,Q5,2015-07-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_PostMean,Q5,2015-08-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_PostMean,Q5,2015-09-30,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_PostMean,Q5,2015-10-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_PostMean,Q5,2015-11-30,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Copenhagen,Method2_PostMean,Q5,2015-12-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Helsinki,Method3_ProbQ5,Q1,2011-01-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Helsinki,Method3_ProbQ5,Q1,2011-02-28,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Helsinki,Method3_ProbQ5,Q1,2011-03-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Helsinki,Method3_ProbQ5,Q1,2011-04-30,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Helsinki,Method3_ProbQ5,Q1,2011-05-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Helsinki,Method3_ProbQ5,Q1,2011-06-30,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Helsinki,Method3_ProbQ5,Q1,2011-07-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Helsinki,Method3_ProbQ5,Q1,2011-08-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Helsinki,Method3_ProbQ5,Q1,2011-09-30,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Helsinki,Method3_ProbQ5,Q1,2011-10-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Helsinki,Method3_ProbQ5,Q1,2011-11-30,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Helsinki,Method3_ProbQ5,Q1,2011-12-31,9,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_Raw,Q5,2010-01-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_Raw,Q5,2010-02-28,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_Raw,Q5,2010-03-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_Raw,Q5,2010-04-30,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_Raw,Q5,2010-05-31,7,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
Oslo,Method1_Raw,Q5,2010-06-30,8,"fewer than 10 names, so a fully invested 10% single-issuer cap is impossible"
