ExchangeCode,Exchange,holding_rows,unique_firms,months,included
CO,Copenhagen,55272,85,192,True
HE,Helsinki,69244,112,192,True
IC,Iceland,7456,19,188,False
OL,Oslo,71556,141,192,True
ST,Stockholm,132284,253,192,True
