Exchange,PortfolioStrategy,FactorModel,Method1_Raw_alpha_annualized,Method2_PostMean_alpha_annualized,Method3_ProbQ5_alpha_annualized,Method1_Raw_p_value,Method2_PostMean_p_value,Method3_ProbQ5_p_value,Method1_Raw_t_stat,Method2_PostMean_t_stat,Method3_ProbQ5_t_stat,Method2_PostMean_minus_Method1_Raw_alpha_difference_annualized,Method3_ProbQ5_minus_Method1_Raw_alpha_difference_annualized,Method2_PostMean_minus_Method1_Raw_p_value,Method3_ProbQ5_minus_Method1_Raw_p_value,Method2_PostMean_minus_Method1_Raw_t_stat,Method3_ProbQ5_minus_Method1_Raw_t_stat
Copenhagen,LongShort,CAPM,0.16736934629366615,0.10378881147574684,0.07504720361305721,0.020769999674441486,0.16963531491242678,0.13743835105847113,2.3329244137801877,1.3793726568767684,1.4916920458437548,-0.0416616369325338,-0.0809444926637067,0.6905723167390456,0.3622685384284188,-0.39842597938058394,-0.912223221371357
Copenhagen,LongShort,FF3,0.1548424078964348,0.09120272260977369,0.06929533028927314,0.022538868120274946,0.19593188553851415,0.14519050437548287,2.301434808453948,1.2985193339673142,1.4628050228532796,-0.042497012923652835,-0.07600658702037337,0.6643308991307246,0.36710197913656617,-0.43433482179208965,-0.9030781801278028
Copenhagen,LongShort,FF3+MOM,0.12321780230204626,0.07784056668397647,0.03987658165761548,0.05375654740485247,0.24566838960920934,0.38200932400641685,1.9418862458006263,1.1651305926632507,0.8762666498810032,-0.03539013041700799,-0.07575653221277606,0.7055965871338481,0.3398665969873236,-0.3781078115997318,-0.9557333877460497
Copenhagen,LongShort,FF5,0.14428791456100212,0.0857452673421808,0.06529248520685482,0.022423034367885064,0.19338363749045495,0.14126460444282007,2.3036799661287053,1.3060598912383719,1.4773815420891436,-0.04395038750209259,-0.0709708771313138,0.6358149415689458,0.36561659794182866,-0.4740059312451953,-0.9058980450909311
Copenhagen,LongShort,FF5+MOM,0.1316782070758989,0.08957421396120661,0.0489079720488588,0.028307185651693656,0.14896646293363403,0.2588528965830881,2.211562911319795,1.4501340154514106,1.1325884438099263,-0.036630326830928844,-0.07270800344672525,0.6774780512411018,0.32725257084012105,-0.4162860204084702,-0.9810520057220631
Copenhagen,Q5,CAPM,0.1161305095336742,0.079420997604014,0.0985986441228865,0.0029676865410883657,0.01437787718750383,0.01382565822360804,3.0125993464158145,2.473712024479446,2.484833626496352,-0.011089131041250692,-0.007966357804158528,0.8092647767851335,0.8871060036373513,-0.24156706359300925,-0.14206883030569073
Copenhagen,Q5,FF3,0.11056068981746656,0.08129786867709457,0.09365667507285855,0.0007062743337693522,0.007086964342572832,0.006465813067688453,3.448115047054908,2.726999445296792,2.7539693469501527,-0.012055345483319876,-0.0084851393582768,0.7741776050421703,0.858379267767889,-0.2871515462669385,-0.17856848878023682
Copenhagen,Q5,FF3+MOM,0.07205190865174148,0.05864271380504693,0.06108871082020348,0.00695068040586122,0.020327987386240753,0.03294128760892856,2.7315039930403398,2.3431694358891564,2.148734225010445,-0.011085317181160556,-0.005531297527854126,0.7610103491243774,0.8889678127607388,-0.3044092470041133,-0.13971211769686195
Copenhagen,Q5,FF5,0.10446153220905648,0.07673013662027056,0.08775980559609495,0.0008108315700634527,0.01212461103243756,0.007436301822772995,3.4088001968580244,2.537029966318128,2.706323384854753,-0.013254596328803592,-0.009022349311901906,0.7530006243768663,0.8432470059181396,-0.3149522785565651,-0.1978895716784995
Copenhagen,Q5,FF5+MOM,0.07383493485710421,0.06138930121169322,0.06279798689345785,0.004645279234001709,0.020140185177165648,0.02704697802384204,2.867971136269905,2.3470390563309436,2.2285655029485696,-0.011918905788051978,-0.005354631219485505,0.7474856785799453,0.8906784338909954,-0.3222324900435884,-0.1375470228548958
Helsinki,LongShort,CAPM,0.10175988029063623,0.10598786837639425,0.09517430063908389,0.009117037311247023,0.001972784330735111,0.0015956895927409231,2.634655721987645,3.137907536423169,3.2059974203824946,0.004227988085757941,-0.0005054180792874617,0.9343056224136113,0.991962042672105,0.08248355789737692,-0.010081333771336586
Helsinki,LongShort,FF3,0.09306926290378667,0.0979594670049303,0.09110392748377619,0.005555649747012614,0.0005446472677461678,0.0016384793933632569,2.805303141149913,3.5182909509412315,3.1984945561801474,0.00489020410114741,-0.0013752534630083859,0.9098079206341045,0.975659830117632,0.11335713561683523,-0.030532309412676366
Helsinki,LongShort,FF3+MOM,0.08423136003391014,0.08108690962995416,0.09092563892310056,0.02326677043056158,0.006187854817826688,0.0014036221265711912,2.2878248977997995,2.7690796931160993,3.2457664971240763,-0.003144450403970449,0.007261287477255355,0.9464934299261261,0.8792137757259637,-0.06715596071852743,0.1520770675044715
Helsinki,LongShort,FF5,0.09433418837606124,0.09830064774642769,0.08755693675210163,0.003645711371914606,0.00046621858773754354,0.002372636852761012,2.94466747053829,3.5627662713363804,3.084435811594777,0.003966459370369109,-0.005016941807142372,0.9250812308380743,0.910091317332127,0.09409893160622712,-0.11300554713406011
Helsinki,LongShort,FF5+MOM,0.09378882122416715,0.08960512612642046,0.09343054709441335,0.008126212596777593,0.0015474714632148778,0.0004770096333062135,2.675706276188761,3.2134259271201593,3.5611600528620113,-0.004183695097747784,0.0008060277078769048,0.9250575535320387,0.9858146351522752,-0.09412910378409708,0.017792510266205982
Helsinki,Q5,CAPM,0.053444468794389306,0.051708979202808245,0.07150584645287503,0.09784684098521246,0.09973440914296683,0.013501018060184444,1.6635702796284646,1.6542174858323362,2.49514821891227,-0.001735489591581027,-0.00044963930610247144,0.9690242139912923,0.9913811536907593,-0.038857742142339925,-0.01080992145948017
Helsinki,Q5,FF3,0.05260609095956619,0.05094686905692014,0.06844884445392053,0.07468416879969886,0.07285125393981962,0.008712550778772199,1.7923543851958963,1.8038781281493348,2.652807338273733,-0.0016592219026629051,-0.0006159753202233456,0.9673809515990488,0.986961416398779,-0.040920553299332044,-0.016353782402839544
Helsinki,Q5,FF3+MOM,0.03869605469350274,0.034052036740478256,0.05171152125139422,0.14983494962589106,0.21837995002192767,0.04956120777926243,1.4460577241748258,1.2350000629879796,1.9774484867631201,-0.004644017953010331,-0.003979579541761577,0.9037257017571214,0.9151342675336116,-0.12103829785788638,-0.10664178249407512
Helsinki,Q5,FF5,0.05083159747714841,0.049001334113481565,0.06648387282357718,0.08455932886107553,0.08561434870082274,0.009812800504302333,1.7340880382725603,1.7281868178885056,2.6111069765871293,-0.0018302633636896257,-0.001221974562620326,0.9640926535397512,0.9738104977106519,-0.04504871230341606,-0.03285318806396982
Helsinki,Q5,FF5+MOM,0.038997874336494466,0.0339564567692612,0.05177167990770514,0.12748737394373122,0.20177141642922702,0.03614930697811225,1.5309603009428325,1.2810734420227525,2.111688445031781,-0.00504141756723283,-0.004642956354373999,0.8909130226808746,0.8947486349551697,-0.13724344478144662,-0.13239524395871058
Oslo,LongShort,CAPM,0.10068422209851388,0.101925689414557,0.09810399871798588,0.047735658593107466,0.006847799886075423,0.02603153143710868,1.994488169896142,2.7370073156368644,2.245872319087174,-0.008188629116448885,-0.0025802233805278995,0.8954507435697825,0.968849552418364,-0.13151099977922082,-0.03908068157436353
Oslo,LongShort,FF3,0.1050213984020724,0.10404113912035631,0.09863295874197486,0.029368637468379033,0.00417368300577281,0.012243876144386823,2.197746690065988,2.9037720956820503,2.5331116774502216,-0.0073384247744314995,-0.006388439660096625,0.9011697831604233,0.916178533086861,-0.12427990730120556,-0.10532975917927655
Oslo,LongShort,FF3+MOM,0.08462262371077464,0.07960534587907804,0.0498420868475128,0.13353477184703788,0.07417597226857531,0.258671961037646,1.5078261222427176,1.7965911999289261,1.1334923230356666,-0.01156179115619263,-0.03478053686327565,0.8723011561465384,0.6356121739622678,-0.16086272832393964,-0.47428785318690503
