SizeGroup,PortfolioStrategy,FactorModel,Comparison,alpha_difference_annualized,alpha_difference_monthly,t_stat,p_value
SmallCap,Q5,CAPM,Method2_PostMean minus Method1_Raw,0.006978779806676279,0.0005815649838896899,0.11218043966105389,0.9107395716805702
SmallCap,Q5,CAPM,Method3_ProbQ5 minus Method1_Raw,0.00039643339069297956,3.303611589108163e-05,0.006214049286216911,0.9950451988135967
SmallCap,Q5,FF3,Method2_PostMean minus Method1_Raw,0.006944150668481461,0.0005786792223734551,0.16397692808700615,0.869837413957546
SmallCap,Q5,FF3,Method3_ProbQ5 minus Method1_Raw,0.00015556363394059886,1.2963636161716571e-05,0.003509708967949449,0.99720152447101
SmallCap,Q5,FF3+MOM,Method2_PostMean minus Method1_Raw,0.005807921020089077,0.0004839934183407564,0.15606173530754708,0.8760685608190699
SmallCap,Q5,FF3+MOM,Method3_ProbQ5 minus Method1_Raw,-0.0005770759892990904,-4.80896657749242e-05,-0.01521612888951168,0.9878678678265993
SmallCap,Q5,FF5,Method2_PostMean minus Method1_Raw,0.007140209033343468,0.000595017419445289,0.18345345715910838,0.8545421842517404
SmallCap,Q5,FF5,Method3_ProbQ5 minus Method1_Raw,0.0009556571416690501,7.963809513908751e-05,0.02363561977387592,0.9811559325932682
SmallCap,Q5,FF5+MOM,Method2_PostMean minus Method1_Raw,0.005860984981134347,0.0004884154150945289,0.17781566054901343,0.8589650565658551
SmallCap,Q5,FF5+MOM,Method3_ProbQ5 minus Method1_Raw,0.00022971530691943964,1.9142942243286637e-05,0.0068371219355073355,0.9945484932745363
LargeCap,Q5,CAPM,Method2_PostMean minus Method1_Raw,-0.005194804242638074,-0.0004329003535531728,-0.17314618642336455,0.8626287111861948
LargeCap,Q5,CAPM,Method3_ProbQ5 minus Method1_Raw,-0.0006197054940246249,-5.164212450205208e-05,-0.019969512174326232,0.98407817457997
LargeCap,Q5,FF3,Method2_PostMean minus Method1_Raw,-0.004763429918357959,-0.00039695249319649656,-0.1908249359604829,0.8487657438952985
LargeCap,Q5,FF3,Method3_ProbQ5 minus Method1_Raw,-0.00044102976802253,-3.675248066854417e-05,-0.01691877839991341,0.9865103857569333
LargeCap,Q5,FF3+MOM,Method2_PostMean minus Method1_Raw,-0.0020672571936033585,-0.00017227143280027987,-0.07342216645309035,0.9415094301962021
LargeCap,Q5,FF3+MOM,Method3_ProbQ5 minus Method1_Raw,0.0018006908960656806,0.00015005757467214005,0.061149000352349235,0.951273208846867
LargeCap,Q5,FF5,Method2_PostMean minus Method1_Raw,-0.004563014581138572,-0.000380251215094881,-0.16606706673373575,0.8681943901191682
LargeCap,Q5,FF5,Method3_ProbQ5 minus Method1_Raw,-0.0004851367680531876,-4.04280640044323e-05,-0.016927125286585184,0.9865038277948981
LargeCap,Q5,FF5+MOM,Method2_PostMean minus Method1_Raw,-0.0021179386043098172,-0.00017649488369248477,-0.072957133078136,0.9418796522593551
LargeCap,Q5,FF5+MOM,Method3_ProbQ5 minus Method1_Raw,0.001364022699495239,0.00011366855829126991,0.044989438298043694,0.9641399980258651
