SizeGroup,PortfolioStrategy,FactorModel,Method,alpha_annualized,alpha_monthly,t_stat,p_value,r_squared,n_obs
SmallCap,Q5,CAPM,Method1_Raw,0.0331013447977508,0.0027584453998125667,0.7257086906654315,0.46891031099000413,0.4672494021542827,192
SmallCap,Q5,FF3,Method1_Raw,0.03200478372019001,0.002667065310015834,1.0130487219485003,0.3123389010470925,0.6702099677985982,192
SmallCap,Q5,FF3+MOM,Method1_Raw,0.009166126606691836,0.0007638438838909863,0.3425130364983513,0.7323495118916283,0.6769983481549897,192
SmallCap,Q5,FF5,Method1_Raw,0.027250890666183608,0.002270907555515301,0.9408010752081553,0.34802704202625145,0.6842601659451143,192
SmallCap,Q5,FF5+MOM,Method1_Raw,0.010546871412246852,0.000878905951020571,0.4439055475297075,0.6576296435681299,0.6878677827678716,192
SmallCap,Q5,CAPM,Method2_PostMean,0.04008012460442706,0.003340010383702255,0.94378962473694,0.34647573061944437,0.4582359095345325,192
SmallCap,Q5,FF3,Method2_PostMean,0.03894893438869274,0.003245744532391062,1.3801496491957193,0.16917954234384047,0.6474304689476347,192
SmallCap,Q5,FF3+MOM,Method2_PostMean,0.014974047626763354,0.0012478373022302796,0.5813718077009928,0.5616899966672557,0.6549913567678599,192
SmallCap,Q5,FF5,Method2_PostMean,0.03439109969955607,0.0028659249749630055,1.3240829692717633,0.18710033599242237,0.6610474483504489,192
SmallCap,Q5,FF5+MOM,Method2_PostMean,0.016407856393381867,0.0013673213661151557,0.725194334381855,0.46924910848399626,0.6652736392045999,192
SmallCap,Q5,CAPM,Method3_ProbQ5,0.03349777818844367,0.002791481515703639,0.748440287272625,0.4551200914382125,0.473183552684725,192
SmallCap,Q5,FF3,Method3_ProbQ5,0.032160347354152075,0.0026800289461793394,1.0342747199015176,0.30233634511089114,0.676414375223155,192
SmallCap,Q5,FF3+MOM,Method3_ProbQ5,0.008589050617374762,0.0007157542181145635,0.32144954463360786,0.7482287488731654,0.6836451711138438,192
SmallCap,Q5,FF5,Method3_ProbQ5,0.02820654780788263,0.002350545650656886,1.0013355983528391,0.3179654883150118,0.6899586890191972,192
SmallCap,Q5,FF5+MOM,Method3_ProbQ5,0.010776586719166365,0.0008980488932638637,0.4592420487078781,0.6465995087259109,0.6938866339233709,192
LargeCap,Q5,CAPM,Method1_Raw,0.037004276469158645,0.00308368970576322,1.6666245746016706,0.09723669599676299,0.5881622967053134,192
LargeCap,Q5,FF3,Method1_Raw,0.0310189539512897,0.002584912829274142,1.6771258729382283,0.09517973546823733,0.6514300517389814,192
LargeCap,Q5,FF3+MOM,Method1_Raw,0.005085010627062745,0.0004237508855885621,0.24102397645924087,0.8098005937722679,0.6685706973672848,192
LargeCap,Q5,FF5,Method1_Raw,0.023485141336307552,0.0019570951113589627,1.1558778386652522,0.2492136984447222,0.6778323353231563,192
LargeCap,Q5,FF5+MOM,Method1_Raw,0.0012769704390478143,0.00010641420325398451,0.05867924850414682,0.9532709228606489,0.6903196496325986,192
LargeCap,Q5,CAPM,Method2_PostMean,0.031809472226520606,0.0026507893522100504,1.5801041428075835,0.11574633268511958,0.6183823171236985,192
LargeCap,Q5,FF3,Method2_PostMean,0.026255524032947543,0.002187960336078962,1.5690422449829518,0.11831965837503944,0.6735391304426304,192
LargeCap,Q5,FF3+MOM,Method2_PostMean,0.00301775343345256,0.00025147945278771334,0.16106023090357033,0.8722198298828547,0.6870745901000628,192
LargeCap,Q5,FF5,Method2_PostMean,0.018922126755191095,0.0015768438962659246,1.0220931753842102,0.3080643217867385,0.6976401682276658,192
LargeCap,Q5,FF5+MOM,Method2_PostMean,-0.0008409681652640854,-7.008068043867378e-05,-0.043627408485339254,0.9652484563631778,0.7073664624253106,192
LargeCap,Q5,CAPM,Method3_ProbQ5,0.036384570975134,0.0030320475812611668,1.6813130087060784,0.09434514045901565,0.5976494389584556,192
LargeCap,Q5,FF3,Method3_ProbQ5,0.030577924183282604,0.0025481603486068836,1.666765612942758,0.09722611568521655,0.6573568728043078,192
LargeCap,Q5,FF3+MOM,Method3_ProbQ5,0.006885701523122366,0.0005738084602601971,0.33373964397743583,0.7389499737669332,0.6717348621285418,192
LargeCap,Q5,FF5,Method3_ProbQ5,0.023000004568275605,0.0019166670473563002,1.1367990158366874,0.2570847575919435,0.683041869532157,192
LargeCap,Q5,FF5+MOM,Method3_ProbQ5,0.002640993138541889,0.0002200827615451574,0.12475752228304804,0.9008509747200577,0.6935894614398288,192
