SizeGroup,PortfolioStrategy,FactorModel,Method1_Raw_alpha_annualized,Method2_PostMean_alpha_annualized,Method3_ProbQ5_alpha_annualized,Method1_Raw_p_value,Method2_PostMean_p_value,Method3_ProbQ5_p_value,Method1_Raw_t_stat,Method2_PostMean_t_stat,Method3_ProbQ5_t_stat,Method2_PostMean_minus_Method1_Raw_alpha_difference_annualized,Method3_ProbQ5_minus_Method1_Raw_alpha_difference_annualized,Method2_PostMean_minus_Method1_Raw_p_value,Method3_ProbQ5_minus_Method1_Raw_p_value,Method2_PostMean_minus_Method1_Raw_t_stat,Method3_ProbQ5_minus_Method1_Raw_t_stat
LargeCap,LongShort,CAPM,0.028009403237394558,0.008912678557078986,0.012475803822188193,0.455852677716972,0.8004066648610784,0.650782284858674,0.7472230084170367,0.2531750529176472,0.4533942176290252,-0.019096724680315515,-0.015533599415206363,0.7092931238569751,0.738603015946137,-0.373085112390082,-0.3339479935417313
LargeCap,LongShort,FF3,0.023285136802321835,0.004045842002962263,0.006053955478309957,0.48725269591187503,0.8989871505961937,0.7861905260017505,0.6960570774014667,0.12711257651251345,0.27164830207784685,-0.019239294799355267,-0.017231181324008846,0.6756143313976875,0.668216666203624,-0.4187823355451419,-0.4289343234765441
LargeCap,LongShort,FF3+MOM,-0.027994778959420805,-0.036531112742537404,-0.030331603607435358,0.4832650013702957,0.30912151772437824,0.27001938679663096,-0.7024613259758123,-1.019840878100108,-1.1062964630583432,-0.008536333783131088,-0.0023368246480275218,0.8729387295547841,0.9613314435335731,-0.1600364869886931,-0.04851533105687982
LargeCap,LongShort,FF5,-0.003344392918045798,-0.02141274989524489,-0.012407513758209473,0.9239327325306692,0.482432384176694,0.6332011909105648,-0.09561065577935364,-0.703808179805377,-0.47801451670661954,-0.01806835697719592,-0.009063120840164189,0.6918532616327837,0.8332246747999026,-0.39664967018842706,-0.2107154719919408
LargeCap,LongShort,FF5+MOM,-0.032999704098710274,-0.04041790025058533,-0.03484733595098257,0.39983652654491353,0.20780495676601296,0.22764620249428158,-0.8438617044695791,-1.2640429459958133,-1.210461215301072,-0.007418196151872843,-0.0018476318522639597,0.8818218958931794,0.9693336266129307,-0.14876274156496766,-0.03847008984495484
LargeCap,Q5,CAPM,0.037005873038688596,0.030263740326097605,0.0354514965114125,0.09722430866488829,0.13338854197186545,0.09966689310939647,1.6666867434710273,1.5073238601234935,1.6545495581646135,-0.006742132712591043,-0.0015543765272761426,0.8221164586282725,0.9598869651421096,-0.2249791090933055,-0.0503286142400324
LargeCap,Q5,FF3,0.03102063845864264,0.02463281022846625,0.029633956028806027,0.09516825139555385,0.13765340110296753,0.10312981613588001,1.6771845186768186,1.4909392070917233,1.637829897847009,-0.006387828230192155,-0.001386682429852057,0.7970606262228164,0.9573165488306106,-0.25733541290153966,-0.05355701393821222
LargeCap,Q5,FF3+MOM,0.005085159491664261,0.001721094329451113,0.005796439327223171,0.8097944002721071,0.925436860454645,0.7755247939470831,0.2410319795408321,0.09371377352109819,0.2855683735800096,-0.0033640651622061785,0.000711279835565036,0.9041272867010544,0.9805891980470596,-0.12053095211328461,0.024346511299357398
LargeCap,Q5,FF5,0.023487140091413887,0.017175991539144914,0.021990719689958273,0.24918425977623815,0.35030428887976006,0.2732230851465507,1.1559499855274182,0.9363555853048364,1.0989206310823727,-0.006311148552290979,-0.0014964204014767807,0.8177291771245152,0.9581621813860881,-0.23062982484270375,-0.05249534606223601
LargeCap,Q5,FF5+MOM,0.0012774269014241162,-0.002325778344013647,0.0014666812331061096,0.9532539790001033,0.9025322397096165,0.9440346760965985,0.05870055005332471,-0.12263122830635921,0.07029514386422164,-0.00360320524543567,0.00018925433168315298,0.9005882739953763,0.9949878863902994,-0.12500399723633213,0.006286040211267377
