SizeGroup,PortfolioStrategy,FactorModel,Comparison,alpha_difference_annualized,alpha_difference_monthly,t_stat,p_value
SmallCap,LongShort,CAPM,Method2_PostMean minus Method1_Raw,0.015124938631418955,0.0012604115526182462,0.27226736900994414,0.7855643213636494
SmallCap,LongShort,CAPM,Method3_ProbQ5 minus Method1_Raw,-0.02862292833260268,-0.00238524402771689,-0.49880841305305973,0.6182029766528512
SmallCap,LongShort,FF3,Method2_PostMean minus Method1_Raw,0.0161111017978856,0.0013425918164904666,0.3123732762174217,0.754930020939836
SmallCap,LongShort,FF3,Method3_ProbQ5 minus Method1_Raw,-0.031702839521227294,-0.0026419032934356075,-0.6152788267896344,0.5387428069383815
SmallCap,LongShort,FF3+MOM,Method2_PostMean minus Method1_Raw,0.01439395569915048,0.00119949630826254,0.24455734782374786,0.8069333076967604
SmallCap,LongShort,FF3+MOM,Method3_ProbQ5 minus Method1_Raw,-0.05226988874122859,-0.004355824061769049,-0.9659681481620508,0.33468431679556554
SmallCap,LongShort,FF5,Method2_PostMean minus Method1_Raw,0.017282271845936056,0.0014401893204946713,0.4445990491680541,0.6568680858966494
SmallCap,LongShort,FF5,Method3_ProbQ5 minus Method1_Raw,-0.023929627809781605,-0.0019941356508151337,-0.5619237316486774,0.5745063856146082
SmallCap,LongShort,FF5+MOM,Method2_PostMean minus Method1_Raw,0.014475020207373221,0.0012062516839477684,0.32548926282151586,0.7449947927490324
SmallCap,LongShort,FF5+MOM,Method3_ProbQ5 minus Method1_Raw,-0.05269516795988313,-0.004391263996656927,-1.2286686419257948,0.2199769679802741
LargeCap,LongShort,CAPM,Method2_PostMean minus Method1_Raw,-0.02357186269425577,-0.001964321891187981,-0.44891790953613403,0.6537467737017857
LargeCap,LongShort,CAPM,Method3_ProbQ5 minus Method1_Raw,-0.01436948520647177,-0.0011974571005393141,-0.30898724869374516,0.757500563953174
LargeCap,LongShort,FF3,Method2_PostMean minus Method1_Raw,-0.02342482263625757,-0.001952068553021464,-0.4996615796253012,0.6176056490089197
LargeCap,LongShort,FF3,Method3_ProbQ5 minus Method1_Raw,-0.015901609433098693,-0.001325134119424891,-0.39466799581329143,0.6933116965960129
LargeCap,LongShort,FF3+MOM,Method2_PostMean minus Method1_Raw,-0.017397917244653435,-0.001449826437054453,-0.31753509781083894,0.7510148137765571
LargeCap,LongShort,FF3+MOM,Method3_ProbQ5 minus Method1_Raw,-0.001156182960123233,-9.634858001026942e-05,-0.024065157570625082,0.980813469945963
LargeCap,LongShort,FF5,Method2_PostMean minus Method1_Raw,-0.022864063202183833,-0.001905338600181986,-0.48537214359232517,0.6276981144544969
LargeCap,LongShort,FF5,Method3_ProbQ5 minus Method1_Raw,-0.00773433034955324,-0.0006445275291294367,-0.17914526999380603,0.8579211675969285
LargeCap,LongShort,FF5+MOM,Method2_PostMean minus Method1_Raw,-0.016809369712590762,-0.0014007808093825635,-0.3228797943715513,0.746968664393953
LargeCap,LongShort,FF5+MOM,Method3_ProbQ5 minus Method1_Raw,-0.0007316141083693536,-6.0967842364112804e-05,-0.015259880403906826,0.9878330744939816
