Ticker,Year,FormationYear,hb_current_row_after_compute_wca,hb_current_usable,hb_train_usable_obs_prev5,hb_train_years_prev5,hb_window_eligible,missing_WCA_scaled,missing_CFO_lag1_scaled,missing_CFO_scaled,missing_dREV_scaled,missing_PPE_scaled,missing_AvgAT,diagnosed_reason
AKRBP.OL,2009,2010,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ARP.ST,2009,2010,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
BEGR.ST,2009,2010,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
FFARMS.CO,2009,2010,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ICEAIR.IC,2009,2010,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
NOM.OL,2009,2010,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ROVS.CO,2009,2010,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
SAGCV.HE,2009,2010,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
VIVE.ST,2009,2010,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
CLOEb.ST,2010,2011,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
CPHCAPST.CO,2010,2011,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
CTTS.ST,2010,2011,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
EAST9.ST,2010,2011,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ENDUR.OL,2010,2011,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ENSU.OL,2010,2011,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
GERHSP.CO,2010,2011,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
KMCP.OL,2010,2011,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
MSABb.ST,2010,2011,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
NELLY.ST,2010,2011,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
PCIB.OL,2010,2011,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
PFINV.CO,2010,2011,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
POL.OL,2010,2011,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
PRIMOF.CO,2010,2011,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
BAKKA.OL,2011,2012,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
BMAX.ST,2011,2012,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
DEDIC.ST,2011,2012,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
JINJ.OL,2011,2012,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
JM.ST,2011,2012,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
KDV.ST,2011,2012,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
LOGIa.ST,2011,2012,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
MBPH.ST,2011,2012,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
PNDORA.CO,2011,2012,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
BOUL.ST,2012,2013,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
BRGB.OL,2012,2013,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
EIMS.IC,2012,2013,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
EPISb.ST,2012,2013,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
HAGA.IC,2012,2013,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
HEIMAR.IC,2012,2013,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
KLEEb.CO,2012,2013,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
PENR.OL,2012,2013,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
RBLNb.CO,2012,2013,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
WAWI.OL,2012,2013,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
HBC.OL,2013,2014,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
LUNG.ST,2013,2014,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
MEREN.ST,2013,2014,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
NAPA.OL,2013,2014,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
QEC.OL,2013,2014,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
VESTUM.ST,2013,2014,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
AKSOA.OL,2014,2015,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
IMMUN.ST,2014,2015,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
NP3.ST,2014,2015,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
OVARO.HE,2014,2015,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
PLAZb.ST,2014,2015,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
SCATC.OL,2014,2015,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
STEFb.ST,2014,2015,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
THULE.ST,2014,2015,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ALIG.ST,2015,2016,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
BACTIb.ST,2015,2016,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
BRAV.ST,2015,2016,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
COOR.ST,2015,2016,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
DUST.ST,2015,2016,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ELON.ST,2015,2016,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
EOLUb.ST,2015,2016,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
EPR.OL,2015,2016,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
