Ticker,Year,FormationYear,hb_current_row_after_compute_wca,hb_current_usable,hb_train_usable_obs_prev5,hb_train_years_prev5,hb_window_eligible,missing_WCA_scaled,missing_CFO_lag1_scaled,missing_CFO_scaled,missing_dREV_scaled,missing_PPE_scaled,missing_AvgAT,diagnosed_reason
EQVA.OL,2015,2016,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
EVOG.ST,2015,2016,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
FED.CO,2015,2016,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
NEXT.OL,2015,2016,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
NNIT.CO,2015,2016,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ODLO.OL,2015,2016,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
PCELL.ST,2015,2016,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
PIHLIS.HE,2015,2016,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
SGG.ST,2015,2016,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
SIVEH.ST,2015,2016,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
TOBII.ST,2015,2016,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
TRMED.OL,2015,2016,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
VOW.OL,2015,2016,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
XVIVO.ST,2015,2016,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ZAL.OL,2015,2016,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ZELA.CO,2015,2016,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ABL.OL,2016,2017,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ALIFb.ST,2016,2017,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ENENTO.HE,2016,2017,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
GARO.ST,2016,2017,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ICESEA.IC,2016,2017,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
MULTI.OL,2016,2017,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
SANION.ST,2016,2017,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
SCST.ST,2016,2017,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
SINCH.ST,2016,2017,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
TOKMAN.HE,2016,2017,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
VISTN.OL,2016,2017,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ACRIa.ST,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
AMBEA.ST,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ARJOb.ST,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ATIC.ST,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ATORX.ST,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
B3.ST,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
BERNERb.ST,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
BONEX.ST,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
BRINb.ST,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
CAMX.ST,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
CATME.ST,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
CONSTI.HE,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
CRNA.OL,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
DOMETIC.ST,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ESSITYb.ST,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
GREENM.CO,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
IRLABa.ST,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
K2Apref.ST,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
KAMUX.HE,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
MAHAa.ST,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
MCOVb.ST,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
MIPS.ST,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
MTRS.ST,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
NICA.ST,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
NLFSK.CO,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ONCO.ST,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
PANDXb.ST,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
QTCOM.HE,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
SBBb.ST,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
SFRG.ST,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
SIILI.HE,2017,2018,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ASA.OL,2018,2019,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
BETCO.CO,2018,2019,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
BETCO.ST,2018,2019,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
BIOAb.ST,2018,2019,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
BOOZT.CO,2018,2019,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
BOOZT.ST,2018,2019,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
EGTX.ST,2018,2019,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
EPIRa.ST,2018,2019,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
GENT.OL,2018,2019,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
LIMET.ST,2018,2019,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
NCAB.ST,2018,2019,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
NYFO.ST,2018,2019,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ONCIN.OL,2018,2019,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
OVZON.ST,2018,2019,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
PLT.OL,2018,2019,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
SEDANA.ST,2018,2019,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
STRAP.CO,2018,2019,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
TNOM.HE,2018,2019,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
TRANS.ST,2018,2019,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
8TRA.ST,2019,2020,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
AMRQM.IC,2019,2020,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
BHGF.ST,2019,2020,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
BICO.ST,2019,2020,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ELMRA.OL,2019,2020,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
GOFORE.HE,2019,2020,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
KARNO.ST,2019,2020,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
NETCG.CO,2019,2020,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
RAILG.ST,2019,2020,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ROBIT.HE,2019,2020,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
SWON.OL,2019,2020,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
TCM.CO,2019,2020,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
TTALO.HE,2019,2020,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
VPLAYb.ST,2019,2020,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
WSTEP.OL,2019,2020,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
XBRANE.ST,2019,2020,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
20202.OL,2020,2021,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ACELP.ST,2020,2021,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ALLIGOb.ST,2020,2021,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
CIBUS.ST,2020,2021,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ELABS.OL,2020,2021,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
EPROb.ST,2020,2021,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
HARVIA.HE,2020,2021,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
HUSCO.CO,2020,2021,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
KALDA.IC,2020,2021,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
KCCK.OL,2020,2021,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
MPCC.OL,2020,2021,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
OKEA.OL,2020,2021,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
OTOVO.OL,2020,2021,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
QLINEA.ST,2020,2021,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ZLNA.OL,2020,2021,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
CADLR.OL,2021,2022,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
CINT.ST,2021,2022,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
EEZY.HE,2021,2022,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
KLARAb.ST,2021,2022,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
LINK.OL,2021,2022,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
MOMENT.ST,2021,2022,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
NOL.OL,2021,2022,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
NORBT.OL,2021,2022,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
NORBb.ST,2021,2022,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
OET.OL,2021,2022,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
OPTOMED.HE,2021,2022,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
PEXIP.OL,2021,2022,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
PIERCE.ST,2021,2022,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
PRFO.ST,2021,2022,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
RELAIS.HE,2021,2022,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
SALME.OL,2021,2022,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
SITOWS.HE,2021,2022,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
SLEEP.ST,2021,2022,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
SMOP.OL,2021,2022,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
TRIFOR.CO,2021,2022,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
TRUEb.ST,2021,2022,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ACAST.ST,2022,2023,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ALLEI.ST,2022,2023,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ALVO.IC,2022,2023,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
CAPSL.OL,2022,2023,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
DYVOX.ST,2022,2023,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ENGCONb.ST,2022,2023,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ESENSE.HE,2022,2023,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
HPUR.OL,2022,2023,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
KREATE.HE,2022,2023,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
MILDEF.ST,2022,2023,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
MTHH.CO,2022,2023,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
MUSTI.HE,2022,2023,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
NYKD.OL,2022,2023,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ORTHEX.HE,2022,2023,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
PUUILO.HE,2022,2023,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
SEZI.ST,2022,2023,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
SLPb.ST,2022,2023,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
STORb.ST,2022,2023,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
SVN.IC,2022,2023,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
TOIVO.HE,2022,2023,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
AKH.OL,2023,2024,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
CLOUD.OL,2023,2024,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
CTEK.ST,2023,2024,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
DOFG.OL,2023,2024,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
GUBRA.CO,2023,2024,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
HAUTO.OL,2023,2024,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
HYPRO.OL,2023,2024,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
IWS.OL,2023,2024,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
LAMOR.HE,2023,2024,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
NETEL.ST,2023,2024,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
OCS.IC,2023,2024,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
PNOR.OL,2023,2024,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
RANA.OL,2023,2024,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
RVRC.ST,2023,2024,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
SFAST.ST,2023,2024,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
SMCRT.OL,2023,2024,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
SYNACT.ST,2023,2024,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
SYNSAM.ST,2023,2024,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
TEKNA.OL,2023,2024,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
VAR.OL,2023,2024,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
VIMIAN.ST,2023,2024,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
VIVA.ST,2023,2024,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
YUBICO.ST,2023,2024,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
APOTEA.ST,2024,2025,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
BERAHF.IC,2024,2025,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
CARAS.ST,2024,2025,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
CAVEN.OL,2024,2025,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
FSECURE.HE,2024,2025,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
HSHP.OL,2024,2025,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
KALMAR.HE,2024,2025,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
KEMPOWR.HE,2024,2025,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
NORCO.OL,2024,2025,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
PAMPALO.HE,2024,2025,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
REMEDY.HE,2024,2025,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
RUSTA.ST,2024,2025,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
SVEAF.ST,2024,2025,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
ZAP.OL,2024,2025,True,True,2,2,False,False,False,False,False,False,False,insufficient prior usable HB training history
