Ticker,FormationYear,theta_obs,theta_post_mean,theta_conservative,p_q5,p_q1,sigma_acc,MarketCap,Method,SignalUsed,PortfolioNum,Portfolio,MethodLabel
ABB.ST,2014,-1.2281880363871074,-0.9772181502214136,-1.2460807697641678,0.0,1.0,0.0808379795873562,356410.22,Method1_ObservedQuality,theta_obs,1,Q1,Observed Quality
AKRBP.OL,2014,-0.5894380926919025,-0.3092723707875946,-0.6261144776570624,2.1338486533295509e-13,0.9999999239785357,0.131788742426128,9385.18,Method1_ObservedQuality,theta_obs,1,Q1,Observed Quality
ATRAV.HE,2014,0.0183108356102931,0.0245558460304848,0.0143111348324454,7.333023077649159e-13,0.8487861767682274,0.0353464140452337,1193.62,Method1_ObservedQuality,theta_obs,1,Q1,Observed Quality
EAST9.ST,2014,-0.0064038454083808,0.0800456370775432,-0.0542051765779541,0.0131357703094577,0.681958223248492,0.1657136122215803,1843.6,Method1_ObservedQuality,theta_obs,1,Q1,Observed Quality
FIA1S.HE,2014,-0.0053672795688993,0.0557857132381844,-0.0393761074758893,0.0043219145970543,0.7096252668538741,0.1243142212548537,2857.08,Method1_ObservedQuality,theta_obs,1,Q1,Observed Quality
FLS.CO,2014,-0.0798508764561836,-0.0528639011241056,-0.0904631919635551,2.9562740033739483e-09,0.9824523196448824,0.0596669907899569,17610.76,Method1_ObservedQuality,theta_obs,1,Q1,Observed Quality
HHDC.CO,2014,-0.0070611151692228,0.0010201860343133,-0.0115134046138103,1.4765966227514585e-13,0.9412886547196694,0.0373808743125175,523.14,Method1_ObservedQuality,theta_obs,1,Q1,Observed Quality
HKFOODS.HE,2014,-0.1012057660954523,-0.0861823327224495,-0.10665588048816,0.0,0.9996479777953192,0.0415757610299417,1448.14,Method1_ObservedQuality,theta_obs,1,Q1,Observed Quality
KEMIRA.HE,2014,0.050672756120978,0.0671681174391986,0.0373458656617501,0.0002869413063882,0.5522156348181438,0.0679031822295095,15750.38,Method1_ObservedQuality,theta_obs,1,Q1,Observed Quality
METSB.HE,2014,-0.3400540651181176,-0.2449854986605045,-0.3585318544777771,8.437694987151191e-14,0.9999974222955804,0.0824432178775168,7982.5,Method1_ObservedQuality,theta_obs,1,Q1,Observed Quality
NHY.OL,2014,0.0126753826530612,0.0181775489327012,0.0092742051313438,2.55351295663786e-15,0.897564642811277,0.0324935106990512,56007.78,Method1_ObservedQuality,theta_obs,1,Q1,Observed Quality
NKT.CO,2014,0.0547359249689445,0.0579682557730812,0.0520358323919121,2.5424107263916085e-14,0.5677482796382732,0.0288470240404514,3401.5,Method1_ObservedQuality,theta_obs,1,Q1,Observed Quality
NOBI.ST,2014,0.0564777123633305,0.0600932230637526,0.0534129427190124,1.1188827642172328e-12,0.5443883241154094,0.0307911562751712,6434.25,Method1_ObservedQuality,theta_obs,1,Q1,Observed Quality
NOHOP.HE,2014,0.0526405018224969,0.0652184536157131,0.0423143929133366,5.175625888576008e-05,0.5474261134004497,0.0587629034178939,520.41,Method1_ObservedQuality,theta_obs,1,Q1,Observed Quality
OUT1V.HE,2014,-0.2362337843102737,-0.1594464268912452,-0.2549313263564097,3.7924441365078105e-10,0.9996058554018536,0.0830440122936939,7046.99,Method1_ObservedQuality,theta_obs,1,Q1,Observed Quality
PEABb.ST,2014,0.003120355789748,0.0187553356443472,-0.0060054337851604,4.077931584633987e-07,0.8234826912795148,0.0548760448726515,9004.5,Method1_ObservedQuality,theta_obs,1,Q1,Observed Quality
