FormationYear,Method,PortfolioNum,Portfolio,n_firms,total_marketcap,avg_theta_obs,avg_theta_post_mean,avg_p_q5,avg_p_median,avg_sigma_acc
2010,Method1_Raw,1,Q1,63,501070.10000000003,-0.5379163118699314,-0.5379163118699384,0.029792783391495162,0.0893381489395497,0.09491464720039217
2010,Method1_Raw,2,Q2,62,477072.39,0.03459740512129471,0.03459740512129607,0.0911513354043732,0.27725080634135524,0.0796928630973322
2010,Method1_Raw,3,Q3,62,988980.02,0.14222386428949813,0.13743231052284144,0.13487735830154107,0.5040583943636414,0.07130943594617088
2010,Method1_Raw,4,Q4,62,689406.95,0.26763504026353463,0.24409496210435577,0.2637288949398285,0.7361877722991305,0.06318238134258983
2010,Method1_Raw,5,Q5,63,2103071.69,0.6704510193622414,0.536644997348959,0.6885416970251701,0.8723676618815729,0.08738328854468515
2010,Method2_PostMean,1,Q1,63,501070.10000000003,-0.5379163118699314,-0.5379163118699384,0.029792783391495162,0.0893381489395497,0.09491464720039217
2010,Method2_PostMean,2,Q2,62,477072.39,0.03459740512129471,0.03459740512129607,0.0911513354043732,0.27725080634135524,0.0796928630973322
2010,Method2_PostMean,3,Q3,62,867041.05,0.14317192133872608,0.1373818709851269,0.14055665447980564,0.49739579223359176,0.07392145837780593
2010,Method2_PostMean,4,Q4,62,633465.41,0.27073118043457,0.23626766998914214,0.25506518770970454,0.7174169866978723,0.07407046464140132
2010,Method2_PostMean,5,Q5,63,2280952.2,0.666471015748649,0.5443976856423169,0.6914787364730317,0.8973973450457171,0.07409747020678538
2010,Method3_ProbQ5,1,Q1,63,1163078.6300000001,-0.44629665147915937,-0.4463520973396266,0.007523207081777973,0.15014253251882648,0.055805486443965574
2010,Method3_ProbQ5,2,Q2,62,505333.08,0.0022191876253029167,0.0018234966928596412,0.05386664227637071,0.3198980925495224,0.07174096558304836
2010,Method3_ProbQ5,3,Q3,62,349516.92,0.11632818199627463,0.11231551800318089,0.16048062534440113,0.49978060794185375,0.08476406369342843
2010,Method3_ProbQ5,4,Q4,62,454038.73,0.23619185948631113,0.20154239659441842,0.2943166792196284,0.6145845760821883,0.10967058777433368
2010,Method3_ProbQ5,5,Q5,63,2287633.79,0.6671243588939965,0.5439297117138557,0.6922050160639545,0.8934758049482466,0.0753267655993262
2010,Method4_ProbMedian,1,Q1,63,609418.9,-0.5221392524396644,-0.5221392524396714,0.015282230161933169,0.0671235435349376,0.07929746619407146
2010,Method4_ProbMedian,2,Q2,62,375299.13,0.022400721537403266,0.022389136754794547,0.0799644486050944,0.2892359355058079,0.08052707152208072
2010,Method4_ProbMedian,3,Q3,62,472231.11,0.15211121584674756,0.13621781608975803,0.20104657269484288,0.48955105937286236,0.10545530485719609
2010,Method4_ProbMedian,4,Q4,62,1095026.8,0.3234507377072495,0.26106779075126013,0.3117199334597797,0.7072636805813812,0.08007826080750009
2010,Method4_ProbMedian,5,Q5,63,2207625.21,0.6020169019024741,0.5173742223229173,0.6017133820155828,0.9255294172501959,0.051947940636046984
2011,Method1_Raw,1,Q1,65,535274.47,-0.6651320626156536,-0.665132062615698,0.08022436791347914,0.1513812898907098,0.09058885733375684
2011,Method1_Raw,2,Q2,64,380291.48,0.05819580131910903,0.05819580131910985,0.17311584571494681,0.34766928115464574,0.07687556675994772
2011,Method1_Raw,3,Q3,65,646445.24,0.16369084887467747,0.15630013158183545,0.23172935739841305,0.4990864213509819,0.06823753107876958
2011,Method1_Raw,4,Q4,64,1497818.03,0.2784963967247076,0.2551379537139444,0.3438485304285333,0.6736643307723649,0.060630838612445274
2011,Method1_Raw,5,Q5,65,2678959.44,0.7730820381510342,0.630253983947658,0.6726863446812942,0.8165893014539455,0.08216821167515378
2011,Method2_PostMean,1,Q1,65,535274.47,-0.6651320626156536,-0.665132062615698,0.08022436791347914,0.1513812898907098,0.09058885733375684
2011,Method2_PostMean,2,Q2,64,380291.48,0.05819580131910903,0.05819580131910985,0.17311584571494681,0.34766928115464574,0.07687556675994772
2011,Method2_PostMean,3,Q3,65,675869.6,0.165256558864232,0.15547552852339575,0.24491620966462269,0.49166072446493,0.07374172518327901
2011,Method2_PostMean,4,Q4,64,1446745.83,0.28931052658472933,0.2492474076921001,0.3340819145651082,0.6483398119948061,0.07141396038810598
2011,Method2_PostMean,5,Q5,65,2700607.28,0.7608685695300735,0.6368785092429905,0.6691158526498416,0.8489499091363629,0.06604678997614766
