,baseline,sigma0_half,sigma0_double,tau_double,nu_loose,betas_3x_wider
baseline,1.0,0.9999144083731525,0.9999497907385816,0.9999235066956914,0.9999430512404046,0.9999322680433215
sigma0_half,0.9999144083731525,1.0,0.9999029512262517,0.9999002554269809,0.9999053100506137,0.999897896602619
sigma0_double,0.9999497907385816,0.9999029512262517,1.0,0.9999224957709649,0.9999359747673189,0.999931257118595
tau_double,0.9999235066956914,0.9999002554269809,0.9999224957709649,1.0,0.9999326050182303,0.9999477688891285
nu_loose,0.9999430512404046,0.9999053100506137,0.9999359747673189,0.9999326050182303,1.0,0.9999262024949622
betas_3x_wider,0.9999322680433215,0.999897896602619,0.999931257118595,0.9999477688891285,0.9999262024949622,1.0
