parameter,prior_dist,prior_sd,posterior_mean,posterior_sd,contraction
beta_PPE,Normal,0.3,-0.0015237599760906623,0.002016207281334731,0.9999548323133188
mu_0,Normal,0.1,0.0010097586415346348,0.0025040193219545387,0.9993729887235279
beta_dREV,Normal,0.3,0.10151116524901245,0.0079447835779954,0.9992986712655424
nu_minus_two,Exponential,10.0,1.2077181368783758,0.3539965253117001,0.9987468646006724
tau,HalfNormal,0.03014051374945435,0.0024501037467118134,0.0014463762845873178,0.9976971731563415
omega,HalfNormal,0.03014051374945435,0.002605751039121738,0.0018028119985297804,0.9964223357740525
beta_CFO_curr,Normal,0.3,-0.2678653191844094,0.02198943752273967,0.9946273848603725
beta_CFO_lag1,Normal,0.3,0.24719489061001657,0.02251704607184622,0.9943664737355373
sigma_0,HalfNormal,0.03014051374945435,0.09214546707972213,0.018223433462641627,0.6344396288911355
