sigma_firm,baseline,sigma0_half,sigma0_double,tau_double,nu_loose,betas_3x_wider
2,0.10917048527981528,0.10816120612065638,0.10978679105672658,0.10902868871159295,0.10949470886481065,0.1097093803677092
3,0.08428185813538379,0.08291219103025245,0.08482321115623757,0.08400050708650648,0.08411492829140811,0.08385502339727714
4,0.07291077790911808,0.0727949841628151,0.07303300415703394,0.07352533993301154,0.07314960203115257,0.07305780688659774
9,0.09434300296932303,0.09454974211383181,0.09514976485855457,0.09434410989769271,0.09434958211784325,0.09460186133895383
11,0.04502270053805917,0.04522555406639081,0.045395328297994725,0.04530947195813578,0.045299995388227425,0.0453525728655015
12,0.039702044973313484,0.03965206994751608,0.04000744927636597,0.04032417167489899,0.039881886020858015,0.03993059276840391
13,0.15651561340153472,0.1541508023839138,0.15743523972864565,0.15683754607496156,0.15662666857481025,0.1570429429514936
14,0.045607005160876374,0.04552606158607522,0.04566930874568176,0.04559450281338163,0.045601689856428,0.04567001334559
15,0.12337022037618452,0.12035381860637419,0.12498629928414859,0.12365317027293346,0.12340729265345962,0.12345283486378497
16,0.04000571458979439,0.03985111740267407,0.040100481439432116,0.04006568999618636,0.039831582646699094,0.04017668348696793
17,0.13124243909123015,0.12826483644341014,0.1314729480702115,0.1313186511851643,0.13104853852653692,0.130887728406286
18,0.1609097858487987,0.15872901513886836,0.16213843513708048,0.16091088642940976,0.1615085319005728,0.1610247274409377
19,0.061176549793061884,0.06050503490933355,0.06120399511393322,0.06116289087119841,0.061244581064383664,0.06132769299500321
22,0.1165213523517791,0.11517026161835135,0.1174355876131688,0.11665413932168338,0.11652812269142174,0.11668864780515434
24,0.04404965133456989,0.04360017688783979,0.04418737030174553,0.04399416352719816,0.043966982130617324,0.04375936897545847
25,0.04617914029357534,0.04635382334238857,0.04647797739330246,0.04629773823867486,0.04624993646292405,0.04630789136704206
28,0.020200612781655945,0.02017325118664647,0.02006573980103284,0.020211109031510535,0.02027549166661567,0.02022919832098979
29,0.055914515136483586,0.05516625770688483,0.0569283871222148,0.05633135772836563,0.055629848530631895,0.056328434722840666
34,0.049266031368861755,0.049221690757789115,0.04926931542840955,0.049223228763707515,0.04945194207252271,0.049397415072853036
37,0.07385548461510476,0.0733670021467444,0.0739381005983216,0.07355534157027731,0.07377392488584779,0.07431655224270067
