Ticker,FormationYear,theta_obs,theta_post_mean,p_q5,sigma_acc,MarketCap,Method,SignalUsed,PortfolioNum,Portfolio
AAB.CO,2010,-0.5286506469500928,-0.3529006446658375,0.0183265125796778,0.0946106992541783,46.67,Method1_Raw,theta_obs,1,Q1
ABB.ST,2010,-1.3306413948688984,-1.142432602669211,0.0001435149241361,0.0576483500431102,244254.6,Method1_Raw,theta_obs,1,Q1
ACG1V.HE,2010,-1.2423343224530168,-0.8769713553442634,0.0035394504042803,0.0941731867998758,53.81,Method1_Raw,theta_obs,1,Q1
ACTI.ST,2010,-0.1178012186332962,-0.0660812928028825,0.0622889331322156,0.0821942645736799,5221.41,Method1_Raw,theta_obs,1,Q1
AFAGR.HE,2010,-0.1006441223832528,0.0161802998921637,0.204400226690221,0.1748981095719403,4536.01,Method1_Raw,theta_obs,1,Q1
AGFEb.CO,2010,-0.8359167404783003,-0.3456981877211886,0.05734161704903,0.1655879921593815,248.02,Method1_Raw,theta_obs,1,Q1
AKVA.OL,2010,-0.1317019950124689,-0.1198092339996847,0.0036281987019554,0.0312519298468258,344.46,Method1_Raw,theta_obs,1,Q1
ANOT.ST,2010,-0.0553134162770425,0.03153142538473,0.2059781942959059,0.165153209882022,407.83,Method1_Raw,theta_obs,1,Q1
APETIT.HE,2010,-0.0459806452746017,0.0053820725063349,0.1311444309302416,0.1066121119229621,820.01,Method1_Raw,theta_obs,1,Q1
ARRA.OL,2010,-0.1187142145880011,-0.0427347947003207,0.106894112019126,0.1085317237351874,18.04,Method1_Raw,theta_obs,1,Q1
AZT.OL,2010,-0.6333605887162715,-0.4740702160953184,0.008646083530922,0.0794507979202956,120.55,Method1_Raw,theta_obs,1,Q1
BAVA.CO,2010,-0.2646515597335269,-0.2187892449188552,0.0097877201762005,0.0546798491414939,1272.1,Method1_Raw,theta_obs,1,Q1
BIOPOR.CO,2010,-0.5029103608847496,-0.1974342142359438,0.0930989492155337,0.161103088816923,331.14,Method1_Raw,theta_obs,1,Q1
BNOR.OL,2010,-0.077674076223329,-0.0483976027291962,0.0412813101398634,0.0630535475127404,3409.22,Method1_Raw,theta_obs,1,Q1
BO.CO,2010,-1.0411098383606978,-0.92342393931526,0.0006030191367854,0.0488243221268984,1924.6,Method1_Raw,theta_obs,1,Q1
BOREO.HE,2010,-0.0453757680794075,0.0081223787392969,0.1385207075125568,0.110362370024884,59.42,Method1_Raw,theta_obs,1,Q1
CARLb.CO,2010,-0.3373168662278126,-0.2936756419496213,0.003867960498638,0.0477379050956178,65590.11,Method1_Raw,theta_obs,1,Q1
CRADb.ST,2010,-0.4199834162520729,-0.1186501412750016,0.1361612125074851,0.1854930535848616,132.63,Method1_Raw,theta_obs,1,Q1
