PortfolioStrategy,Method,MethodLabel,annualized_return,annualized_excess_return,volatility_ann,excess_volatility_ann,sharpe_ratio,max_drawdown,n_obs,Kappa
Q5,Method1_ObservedQuality,Observed Quality,0.1361661839749909,0.1166403428638803,0.1177959124968449,0.1180680492310713,0.9879077669488988,-0.2004337329536688,189,0.08
Q5,Method2_LatentQuality,Latent Quality,0.1335747968227924,0.1140489557116817,0.1194858012473193,0.1197424695909489,0.9524520088927788,-0.205797441414103,189,0.08
LongShort,Method1_ObservedQuality,Observed Quality,0.0776902860495396,0.0776902860495396,0.1350084393670145,0.1350084393670145,0.5754476269319876,-0.2723471874043668,189,0.08
LongShort,Method2_LatentQuality,Latent Quality,0.0547450012533885,0.0547450012533885,0.1316012747430161,0.1316012747430161,0.4159914207540285,-0.3217512165745491,189,0.08
Q5,Method1_ObservedQuality,Observed Quality,0.1361661839749909,0.1166403428638803,0.1177959124968449,0.1180680492310713,0.9879077669488988,-0.2004337329536688,189,0.06
Q5,Method2_LatentQuality,Latent Quality,0.1355639561673262,0.1160381150562156,0.1186004654807447,0.1188748629363492,0.9761366885305892,-0.2010411403457216,189,0.06
LongShort,Method1_ObservedQuality,Observed Quality,0.0776902860495396,0.0776902860495396,0.1350084393670145,0.1350084393670145,0.5754476269319876,-0.2723471874043668,189,0.06
LongShort,Method2_LatentQuality,Latent Quality,0.0654624021705043,0.0654624021705043,0.1317303487922741,0.1317303487922741,0.4969424492584629,-0.292424956575686,189,0.06
Q5,Method1_ObservedQuality,Observed Quality,0.1361661839749909,0.1166403428638803,0.1177959124968449,0.1180680492310713,0.9879077669488988,-0.2004337329536688,189,0.04
Q5,Method2_LatentQuality,Latent Quality,0.1333014562224713,0.1137756151113606,0.1187160223502485,0.1189764482058053,0.9562868687637384,-0.2029409634744784,189,0.04
LongShort,Method1_ObservedQuality,Observed Quality,0.0776902860495396,0.0776902860495396,0.1350084393670145,0.1350084393670145,0.5754476269319876,-0.2723471874043668,189,0.04
LongShort,Method2_LatentQuality,Latent Quality,0.0624743869763366,0.0624743869763366,0.1324776622712808,0.1324776622712808,0.4715843101790614,-0.293829557707117,189,0.04
