PortfolioStrategy,FactorModel,Method,alpha_annualized,alpha_monthly,t_stat,p_value,r_squared,n_obs,Kappa
LongShort,CAPM,Method2_LatentQuality,0.0677611755504024,0.0056467646292001,1.4474969281562942,0.1494321724740748,0.0108473739867724,189,0.12
LongShort,FF3,Method2_LatentQuality,0.0836623497003096,0.0069718624750258,2.086189961123577,0.0383327459135089,0.3259861726537184,189,0.12
LongShort,FF3+MOM,Method2_LatentQuality,0.0482422592086233,0.0040201882673852,1.0385738778892148,0.3003658161554576,0.3416916935201495,189,0.12
LongShort,FF5,Method2_LatentQuality,0.048424651091838,0.0040353875909865,1.55641066914324,0.1213381781016724,0.5845923023473987,189,0.12
LongShort,FF5+MOM,Method2_LatentQuality,0.0299402803091674,0.0024950233590972,0.8069555330190888,0.4207453823515124,0.5890612094247925,189,0.12
Q5,CAPM,Method2_LatentQuality,0.0071689115983129,0.0005974092998594,0.5736662665613391,0.5668829534411537,0.9229114585542644,189,0.12
Q5,FF3,Method2_LatentQuality,0.0098403843965822,0.0008200320330485,0.8347557357970554,0.4049319127187294,0.9332809475784128,189,0.12
Q5,FF3+MOM,Method2_LatentQuality,0.0158421475286575,0.0013201789607214,1.1777090264378651,0.2404336451607527,0.9337871053830752,189,0.12
Q5,FF5,Method2_LatentQuality,0.0014228670278505,0.0001185722523208,0.126202771066715,0.8997099657889533,0.9400820129554572,189,0.12
Q5,FF5+MOM,Method2_LatentQuality,0.0087512768616282,0.0007292730718023,0.7103129669815227,0.4784192487278345,0.9408704857310438,189,0.12
LongShort,CAPM,Method2_LatentQuality,0.0679870808024139,0.0056655900668678,1.3827854663004713,0.1683796554292089,0.0124448899268202,189,0.08
LongShort,FF3,Method2_LatentQuality,0.0850292147495955,0.0070857678957996,2.112598117874337,0.0359767400138162,0.349540879519831,189,0.08
LongShort,FF3+MOM,Method2_LatentQuality,0.0567106722231282,0.0047258893519273,1.240714374720577,0.216290915427344,0.3591978342943073,189,0.08
LongShort,FF5,Method2_LatentQuality,0.0500472748558503,0.0041706062379875,1.5596797207345212,0.1205632759424475,0.6012242164030537,189,0.08
LongShort,FF5+MOM,Method2_LatentQuality,0.0386533766282051,0.003221114719017,1.0379927232535542,0.3006505153710861,0.602857576884986,189,0.08
Q5,CAPM,Method2_LatentQuality,0.0101491941676157,0.0008457661806346,0.8135641855095932,0.4169293474013431,0.9254043715115708,189,0.08
Q5,FF3,Method2_LatentQuality,0.0129163556428873,0.0010763629702406,1.1012806255624734,0.2722053175668169,0.9355750140808876,189,0.08
Q5,FF3+MOM,Method2_LatentQuality,0.018638070434872,0.0015531725362393,1.425060932594841,0.1558336157473809,0.936051197845634,189,0.08
Q5,FF5,Method2_LatentQuality,0.004633497129119,0.0003861247607599,0.4040090795653711,0.6866777780828146,0.9424610973390768,189,0.08
Q5,FF5+MOM,Method2_LatentQuality,0.0115760013546877,0.0009646667795573,0.9380020065686158,0.3494864834874351,0.9431935734209732,189,0.08
LongShort,CAPM,Method2_LatentQuality,0.0790230787631695,0.0065852565635974,1.6894673882897575,0.0927964148827213,0.0130253649571824,189,0.06
LongShort,FF3,Method2_LatentQuality,0.096030689071607,0.0080025574226339,2.4431617510535446,0.0154980206427868,0.3449092254352066,189,0.06
LongShort,FF3+MOM,Method2_LatentQuality,0.0632893104223604,0.0052741092018633,1.3822557780542415,0.1685687683446493,0.3577929323150468,189,0.06
LongShort,FF5,Method2_LatentQuality,0.057823657836892,0.0048186381530743,1.8789357880437945,0.0618431700805375,0.6150720482153889,189,0.06
LongShort,FF5+MOM,Method2_LatentQuality,0.0426738022050067,0.0035561501837505,1.180619210906902,0.2392946716052457,0.617954107229139,189,0.06
