PortfolioStrategy,FactorModel,Method,alpha_annualized,alpha_monthly,t_stat,p_value,r_squared,n_obs,Kappa
Q5,CAPM,Method2_LatentQuality,0.0128360784223124,0.0010696732018593,1.055760017448884,0.2924399355166187,0.9263931695739728,189,0.06
Q5,FF3,Method2_LatentQuality,0.0156642688104718,0.0013053557342059,1.3708077349004626,0.1720956841453107,0.9365986423656611,189,0.06
Q5,FF3+MOM,Method2_LatentQuality,0.0192199444353711,0.0016016620362809,1.5038649619971634,0.1343306248035525,0.9367852299769572,189,0.06
Q5,FF5,Method2_LatentQuality,0.0073973124660939,0.0006164427055078,0.6692735612399228,0.5041644718752716,0.9434738835461808,189,0.06
Q5,FF5+MOM,Method2_LatentQuality,0.0123157358400723,0.001026311320006,1.0233448069265918,0.307503120619917,0.943846901147646,189,0.06
LongShort,CAPM,Method2_LatentQuality,0.0761442292108082,0.006345352434234,1.6144892080601083,0.1081074149715892,0.0130870137827232,189,0.04
LongShort,FF3,Method2_LatentQuality,0.093078707505948,0.007756558958829,2.301676444365381,0.0224674887128506,0.3389585363485231,189,0.04
LongShort,FF3+MOM,Method2_LatentQuality,0.05592325414039,0.0046602711783658,1.209487889050112,0.2280271749285631,0.3553636186016961,189,0.04
LongShort,FF5,Method2_LatentQuality,0.0537944793146862,0.0044828732762238,1.6961832622998516,0.091551594944444,0.611117706356153,189,0.04
LongShort,FF5+MOM,Method2_LatentQuality,0.0344443230107836,0.0028703602508986,0.9494737342563778,0.3436388054041175,0.6157665100479346,189,0.04
Q5,CAPM,Method2_LatentQuality,0.0107124245346163,0.0008927020445513,0.8784342568281135,0.3808353910519468,0.9223251117789976,189,0.04
Q5,FF3,Method2_LatentQuality,0.0135205330210198,0.0011267110850849,1.174040979723968,0.2418877542879858,0.9323070022053048,189,0.04
Q5,FF3+MOM,Method2_LatentQuality,0.0151430710711811,0.001261922589265,1.1693502095914965,0.243775138578195,0.9323457892218132,189,0.04
Q5,FF5,Method2_LatentQuality,0.0047138810709601,0.00039282342258,0.4257333630922887,0.6708024175091438,0.9400894655599406,189,0.04
Q5,FF5+MOM,Method2_LatentQuality,0.0078322260948155,0.0006526855079012,0.6465978273834945,0.5187068385902909,0.9402391524946636,189,0.04
