Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF,d_ACT,d_CHE,d_LCT,d_STD,d_TXP,WCA,AT_lag,AvgAT,WCA_scaled,CFO,CFO_lag1,dREV,CFO_lag1_scaled,CFO_scaled,dREV_scaled,PPE_scaled,CFO_lead1,CFO_lead1_scaled,usable,sector_idx,firm_idx_x,firm_idx_y,sigma_mean,sigma_median,sigma_std,sigma_q05,sigma_q95,n_draws,sigma_acc
2021,20202.OL,2020 Bulkers Ltd,Freight & Logistics Services,Industrials,248.35,211.36,187.58,130.34,0.0,3175.7,3439.9,717.66,947.99,276.76,28.36,0.0,81.65,1335.98,0.0,2222.14,0.4200811389392057,49.34,40.660000000000025,7.440000000000026,3.3900000000000006,0.0,4.629999999999953,3394.28,3417.09,0.00135495406910557,717.66,205.16,487.8,0.060039390241404235,0.21002080717803742,0.14275304425695548,0.9293580210061777,406.39,0.11892867908073829,True,5,0,0,0.03004932967787363,0.026698528634783843,0.015119409928346452,0.012519329863443479,0.059360516038660736,8000,0.03004932967787363
2020,8TRA.ST,Traton SE,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,150836.11,17956.18,161909.43,65999.96,1225.71,72369.48,448034.99,21307.04,242130.28,205038.66,33488.61,9104.01,2434.17,135551.35,2409.52,118407.08,0.0744620557988652,-13718.300000000017,-868.880000000001,-676.8600000000151,3020.1600000000035,-279.89999999999986,-9432.299999999997,444627.54,446331.265,-0.02113295827483651,21307.04,10711.25,-22707.410000000003,0.023998430851578368,0.047738174918129476,-0.050875687590471626,0.16214297692096474,15588.02,0.03492477722796318,True,5,1,1,0.06178611456941309,0.05832319229550675,0.02347289146802036,0.03009296417002512,0.10646732962977248,8000,0.06178611456941309
2021,8TRA.ST,Traton SE,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,162486.35,20042.99,198697.88,58066.58,1952.24,80021.77,551842.88,15588.02,311150.66,254885.44,40260.58,10212.49,3546.43,134594.36,30.03,110827.1,0.1683996488303491,11650.24000000002,2086.8100000000013,36788.45000000001,-7933.380000000005,726.53,-34431.869999999995,448034.99,499938.935,-0.06887215135584508,15588.02,21307.04,69020.37999999998,0.042619285093288446,0.03117984799483561,0.1380576209772499,0.16006308850499912,-6661.89,-0.013325407432009672,True,5,1,1,0.06539721698144345,0.06230325110247861,0.022251826795838064,0.03461514825478748,0.10671274050362385,8000,0.06539721698144345
2010,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,164.52,141.45,194.27,91.79,0.0,19.29,234.95,-32.55,107.63,0.0,108.95000000000002,0.0,0.0,23.76,0.0,29.17,-0.0555555555555564,104.97000000000001,137.63,29.920000000000016,-6.009999999999991,0.0,-68.58999999999999,266.07,250.51,-0.2738014450520937,-32.55,12.4,-18.060000000000002,0.04949902199512994,-0.12993493273721607,-0.07209293042193926,0.07700291405532714,-40.01,-0.15971418306654425,True,1,2,2,0.1128847881618447,0.10877774117805668,0.03243253243901439,0.06786181520197637,0.17283477268674177,8000,0.1128847881618447
2011,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.01,71.73,0.0,95.02,0.0,0.0,0.0,0.0,21.58,,-164.52,-141.45,-194.27,-91.79,0.0,79.40999999999998,234.95,117.475,0.6759736114066821,-40.01,-32.55,-35.89999999999999,-0.27708022983613534,-0.3405831027878272,-0.3055969355181953,0.0,-1.63,-0.013875292615450096,True,1,2,2,0.14495602594818233,0.14079282054026182,0.03923242586032071,0.08804131169063156,0.21470084097453906,8000,0.14495602594818233
2012,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,17.24,4.49,46.73,7.32,0.0,39.06,74.49,-1.63,66.9,0.0,82.02,0.0,1.94,4.71,0.0,24.5,-3.6220806794055194,17.24,4.49,46.73,7.32,0.0,-26.659999999999997,0.0,37.245,-0.7158007786280037,-1.63,-40.01,-4.829999999999998,-1.0742381527721843,-0.04376426365955162,-0.12968183648811918,1.0487313733387034,13.37,0.358974358974359,True,1,2,2,0.1722355295214154,0.16819394261852375,0.042592844725093816,0.109764366557882,0.2484593968700368,8000,0.1722355295214154
2013,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,12.88,2.47,58.16,6.42,0.0,34.88,52.96,13.37,76.25,0.0,76.94999999999999,0.0,1.28,-24.77,0.0,26.0,0.0799354057327407,-4.359999999999998,-2.02,11.43,-0.9000000000000004,0.0,-14.669999999999998,74.49,63.724999999999994,-0.23020792467634366,13.37,-1.63,9.349999999999994,-0.02557865829737152,0.20980776775205964,0.146724205570812,0.547351902706944,20.48,0.32138093369949006,True,1,2,2,0.17713712132524181,0.173359227085987,0.04147059834883737,0.11551970821258555,0.2512248332715467,8000,0.17713712132524181
2014,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,109.04,85.56,35.48,0.52,0.0,35.66,150.29,20.48,142.92,0.0,104.26,0.0,1.22,112.45,0.0,90.97,0.3329479768786126,96.16000000000001,83.09,-22.68,-5.9,0.0,29.85000000000001,52.96,101.625,0.29372693726937277,20.48,13.37,66.66999999999999,0.13156211562115622,0.20152521525215253,0.6560393603936038,0.35089790897908973,20.31,0.19985239852398523,True,1,2,2,0.18245501497118066,0.1786767100373498,0.04039392447254108,0.12342380738800526,0.2532806588946035,8000,0.18245501497118066
2015,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,42.74,33.54,35.28,0.0,0.0,42.3,155.13,20.31,94.48,0.0,98.52,0.0,0.15,119.85,0.0,99.48,-0.0349603671255735,-66.30000000000001,-52.02,-0.19999999999999574,-0.52,0.0,-14.600000000000012,150.29,152.70999999999998,-0.09560605068430367,20.31,20.48,-48.43999999999998,0.1341104053434615,0.13299718420535656,-0.31720254076353865,0.276995612599044,11.44,0.07491323423482418,True,1,2,2,0.17260781110488474,0.1699211314601785,0.03770324935070935,0.11559206232212176,0.2393854775193539,8000,0.17260781110488474
2016,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,41.0,31.64,28.65,0.0,0.0,41.09,151.2,11.44,93.33,0.0,104.64,0.0,0.04,122.55,0.0,82.82,-0.0926152590779273,-1.740000000000002,-1.8999999999999986,-6.630000000000003,0.0,0.0,6.789999999999999,155.13,153.165,0.04433127672771194,11.44,20.31,-1.1500000000000057,0.1326020957790618,0.07469069304344987,-0.007508242744752429,0.26827277772337027,20.79,0.1357359710116541,True,1,2,2,0.1488174491803453,0.14523656423531073,0.037206347186582125,0.09445843978672801,0.21414409917672014,8000,0.1488174491803453
