Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF,d_ACT,d_CHE,d_LCT,d_STD,d_TXP,WCA,AT_lag,AvgAT,WCA_scaled,CFO,CFO_lag1,dREV,CFO_lag1_scaled,CFO_scaled,dREV_scaled,PPE_scaled,CFO_lead1,CFO_lead1_scaled,usable,sector_idx,firm_idx_x,firm_idx_y,sigma_mean,sigma_median,sigma_std,sigma_q05,sigma_q95,n_draws,sigma_acc
2017,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,102.71,6.68,36.58,0.0,0.0,42.32,185.19,20.79,79.34,0.0,116.34,0.0,0.0,148.61,0.0,85.98,-0.2489738241033577,61.709999999999994,-24.96,7.93,0.0,0.0,78.73999999999998,151.2,168.195,0.46814709117393494,20.79,11.44,-13.989999999999995,0.0680162906150599,0.12360652813698386,-0.0831772644846755,0.2516127114361307,-10.09,-0.05998989268408692,True,1,2,2,0.1438023459435431,0.1407958643927889,0.03503228213351607,0.09218531337691374,0.2051223481342729,8000,0.1438023459435431
2018,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,77.48,10.09,36.11,0.0,0.0,41.32,154.97,-10.09,90.17,0.0,126.62,0.0,0.05,118.86,0.0,51.75,-0.3070839643277805,-25.22999999999999,3.41,-0.46999999999999886,0.0,0.0,-28.16999999999999,185.19,170.07999999999998,-0.16562793979303853,-10.09,20.79,10.829999999999998,0.12223659454374412,-0.059325023518344316,0.06367591721542804,0.24294449670743182,-18.02,-0.10595014111006586,True,1,2,2,0.12288665179782941,0.12058552658538188,0.03092603775449894,0.07647351738170982,0.1780275855457751,8000,0.12288665179782941
2019,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,32.07,8.5,33.73,0.0,0.0,54.31,125.76,-18.02,79.62,0.0,125.95,0.0,0.7,73.93,0.0,30.09,-0.6361422967672122,-45.410000000000004,-1.5899999999999999,-2.3800000000000026,0.0,0.0,-41.440000000000005,154.97,140.365,-0.29523029245182203,-18.02,-10.09,-10.549999999999997,-0.07188401667082249,-0.1283795818045809,-0.0751611869055676,0.3869198161934955,26.73,0.19043208777116802,True,1,2,2,0.1261281905759877,0.12322117752594094,0.03177558780982569,0.07900656679281357,0.1828641505719991,8000,0.1261281905759877
2020,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,135.69,58.84,75.72,0.0,0.38,54.79,228.73,26.73,94.68,0.0,140.55,0.0,0.86,130.68,0.0,53.89,-0.3575910621365167,103.62,50.34,41.99,0.0,0.38,11.670000000000002,125.76,177.245,0.06584106744901126,26.73,-18.02,15.060000000000002,-0.10166718384157522,0.15080820333436767,0.08496713588535644,0.3091201444328472,30.85,0.17405286467883438,True,1,2,2,0.11554247477160592,0.11293128328644111,0.030236314547940832,0.07110171475711083,0.16934079325880225,8000,0.11554247477160592
2021,AAB.CO,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,104.39,51.38,61.95,0.0,0.0,51.93,187.04,30.85,97.69,0.0,147.06,0.0,0.82,104.39,0.0,52.32,-0.4807931794233164,-31.299999999999997,-7.460000000000001,-13.769999999999996,0.0,-0.38,-10.450000000000001,228.73,207.885,-0.05026817711715613,30.85,26.73,3.009999999999991,0.1285807056786204,0.14839935541284846,0.014479159150491815,0.24980157298506386,-58.73,-0.28251196575029464,True,1,2,2,0.11402518781756212,0.11090448270074832,0.031189782659441317,0.06839910333222353,0.17019700599674736,8000,0.11402518781756212
2010,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,4962.13,452.92,2236.82,57.27,103.25,2358.29,8027.56,635.74,12474.56,9465.51,2251.53,0.0,49.55,2745.26,20.82,6689.04,0.2559470441925033,1207.85,215.85000000000002,839.4800000000002,-29.29999999999999,-13.260000000000005,109.9599999999997,6887.97,7457.765,0.014744363760456342,635.74,1864.1,-678.6400000000012,0.24995424232326974,0.08524537847465025,-0.09099777212073606,0.3162194035344369,249.61,0.03346981300697997,True,2,3,3,0.0820597655339072,0.07535636695669938,0.036638118051605134,0.03483192531511084,0.1513416461291968,8000,0.0820597655339072
2011,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,5381.53,273.33,2264.72,62.47,89.37,2430.45,8654.52,249.61,14510.95,11530.34,2182.56,0.0,81.19,3077.76,15.62,7079.81,0.2317400384045932,419.39999999999964,-179.59000000000003,27.899999999999636,5.199999999999996,-13.879999999999995,562.4100000000001,8027.56,8341.04,0.06742684365498787,249.61,635.74,2036.3900000000012,0.07621831330385659,0.02992552487459597,0.24414101838619656,0.2913845275888857,1322.65,0.15857135321254903,True,2,3,3,0.07463382355374892,0.06846424104413347,0.03249518477388059,0.03348334566052029,0.1355053214136809,8000,0.07463382355374892
2012,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,4873.38,282.49,2283.03,58.21,124.98,2396.89,8354.86,1322.65,14533.64,11505.9,2282.62,0.0,87.66,3263.19,20.54,9662.81,0.2002174356600572,-508.14999999999964,9.160000000000025,18.3100000000004,-4.259999999999998,35.61,-504.2700000000001,8654.52,8504.69,-0.059293166476379514,1322.65,249.61,22.68999999999869,0.029349688230846743,0.1555200718662291,0.002667939689747503,0.28183155411896255,1173.27,0.13795564564963567,True,2,3,3,0.032464341917137284,0.029352056680849413,0.014646198094854755,0.015304498221525648,0.06031565125275958,8000,0.032464341917137284
2013,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,5294.71,217.71,2718.04,72.57,133.83,2852.81,9466.96,1173.27,14924.95,11545.02,2527.05,0.0,73.1,4080.83,32.04,15967.29,0.1895951002584571,421.3299999999999,-64.78,435.00999999999976,14.359999999999992,8.850000000000009,74.31000000000017,8354.86,8910.91,0.008339215635664615,1173.27,1322.65,391.3100000000013,0.14843040721991357,0.13166668724069708,0.04391358458339287,0.3201479983525813,635.66,0.07133502638899955,True,2,3,3,0.021800080181063566,0.01978367801963835,0.009526569917827046,0.010652178126824225,0.0401748810710372,8000,0.021800080181063566
2014,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,6790.03,253.04,3453.48,85.31,137.07,3653.81,11992.77,635.66,16363.61,12356.76,3046.02,0.0,110.23,5516.18,43.13,16694.95,0.1530045994916636,1495.3199999999997,35.329999999999984,735.44,12.740000000000009,3.2399999999999807,740.5299999999997,9466.96,10729.865,0.06901577978846889,635.66,1173.27,1438.6599999999999,0.1093462033306104,0.05924212466792452,0.134079972115213,0.34052711753596154,1659.8,0.15468973747572778,True,2,3,3,0.02761258808438241,0.02525156658523032,0.012087772617654887,0.013610762953463446,0.04968397343612733,8000,0.02761258808438241
2015,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,7857.6,480.37,4441.62,300.36,325.48,4494.99,14543.05,1659.8,19231.1,14349.22,3720.21,0.0,112.82,6904.18,55.47,27771.7,0.1507044176072071,1067.5700000000006,227.33,988.1399999999999,215.05,188.41000000000003,255.56000000000074,11992.77,13267.91,0.01926151142116586,1659.8,635.66,2867.489999999998,0.04790958033330042,0.12509882867761388,0.21612220764234893,0.3387865911059089,1191.11,0.0897737473347347,True,2,3,3,0.02577143323245972,0.023396838040619657,0.010875799391339794,0.012926865807716868,0.046235212802998485,8000,0.02577143323245972
2016,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,9240.42,555.71,5478.44,205.79,338.55,4897.12,16295.9,1191.11,21659.0,16066.76,4113.42,0.0,175.76999999999998,7133.25,51.21,24041.77,0.1813706249321451,1382.8199999999997,75.34000000000003,1036.8199999999997,-94.57000000000002,13.069999999999993,189.15999999999985,14543.05,15419.474999999999,0.01226760314472444,1191.11,1659.8,2427.9000000000015,0.1076430942039207,0.07724711768721049,0.15745672274834271,0.317593173567842,1064.21,0.0690172655035272,True,2,3,3,0.028621733272748758,0.02615813304675288,0.012040643675082795,0.014355080193705703,0.05101405079810186,8000,0.028621733272748758
2017,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,9657.24,480.31,5843.77,628.41,389.25,5181.35,16902.92,1064.21,25599.2,19576.08,4418.57,0.0,130.72,7668.95,70.05,29726.92,0.1904419175604082,416.8199999999997,-75.40000000000003,365.33000000000084,422.62,50.69999999999999,600.2099999999989,16295.9,16599.41,0.0361585140676686,1064.21,1191.11,3940.2000000000007,0.07175616482754507,0.06411131479974289,0.23736988242353196,0.3121406122265792,1020.75,0.061493149455311966,True,2,3,3,0.027787632978683044,0.025426529583031824,0.011850487404191446,0.013463120942778514,0.04925592231175553,8000,0.027787632978683044
2018,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,10224.08,719.21,5228.66,645.04,383.51,5336.0,17599.63,1020.75,25839.03,19406.43,4769.43,0.0,143.28,8692.96,85.88,30381.23,0.1731310742649369,566.8400000000001,238.90000000000003,-615.1100000000006,16.629999999999995,-5.740000000000009,953.9400000000007,16902.92,17251.275,0.05529678241173482,1020.75,1064.21,239.8299999999981,0.06168877372831863,0.059169539642722056,0.013902160854777289,0.30931047125502314,1449.85,0.08404306348371351,True,2,3,3,0.02376861257969344,0.021319809238264417,0.011320145700525237,0.010700393069067357,0.0446799033792713,8000,0.02376861257969344
2019,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,12623.76,920.78,7087.79,815.77,444.45,5657.86,21490.3,1449.85,26530.94,19303.1,5414.129999999999,0.0,145.17000000000002,9692.62,78.76,42348.71,0.1707578663402713,2399.6800000000003,201.56999999999994,1859.13,170.73000000000002,60.94,570.6500000000005,17599.63,19544.965,0.029196777789062326,1449.85,1020.75,691.9099999999999,0.05222572667692165,0.07418023004901773,0.03540093318151247,0.2894791574198265,2070.5,0.1059352114470402,True,2,3,3,0.026123147483365045,0.023975769038469347,0.011945056141042566,0.01134862046057282,0.04822623416677972,8000,0.026123147483365045
2020,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,13920.24,1253.04,9019.81,1634.17,375.91,5848.57,23262.7,2070.5,28589.95,21055.07,5661.910000000001,0.0,138.17,10127.7,40.72,44272.77,0.1706066429199423,1296.4799999999996,332.26,1932.0199999999995,818.4000000000001,-68.53999999999996,-217.93999999999983,21490.3,22376.5,-0.009739682255938142,2070.5,1449.85,2059.010000000002,0.06479342167005564,0.09253010971331531,0.09201662458382687,0.26137108126829484,509.12,0.02275244117712779,True,2,3,3,0.027059793221317078,0.024819029802712188,0.011243615285323206,0.013402212616134819,0.04791438996248112,8000,0.027059793221317078
2021,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,17572.09,975.25,11842.36,2272.99,288.39,5572.87,26467.26,509.12,35530.25,27758.13,5601.34,0.0,121.26,11479.93,46.77,49186.61,0.1778063105659033,3651.8500000000004,-277.78999999999996,2822.550000000001,638.8199999999997,-87.52000000000004,1658.389999999999,23262.7,24864.98,0.06669581073461547,509.12,2070.5,6940.299999999999,0.0832697231206299,0.020475383450941846,0.27911946842507007,0.2241252556808813,-69.36,-0.0027894653444322094,True,2,3,3,0.02865111199946994,0.026665207433285546,0.011130229145597258,0.014303370487428895,0.049941804367140435,8000,0.02865111199946994
2010,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,147570.99,10776.15,97445.29,6072.14,0.0,25359.76,211302.23,25352.61,190818.08,266513.46,34413.58,6535.98,1045.03,86657.49,3335.89,292039.63,-1.162507842243507,1409.2999999999884,-30467.059999999998,12983.309999999998,5139.400000000001,0.0,24032.44999999999,201193.2,206247.71500000003,0.11652226062237822,25352.61,25294.05,-8889.99000000002,0.1226391768752444,0.12292310729357656,-0.043103459352264915,0.12295777434431211,20236.32,0.09811657792184508,True,5,4,4,0.07252908635311786,0.0683620570183715,0.025657968142141576,0.03875083267523961,0.12067274211977734,8000,0.07252908635311786
2011,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,142165.38,9891.27,98978.47,4572.1,0.0,29416.83,236960.24,20236.32,212839.89,297561.26,37783.42,7681.06,1159.72,94292.82,3340.92,251768.39,-1.187944352024208,-5405.609999999986,-884.8799999999992,1533.1800000000076,-1500.04,0.0,-7553.949999999994,211302.23,224131.235,-0.03370324533302998,20236.32,25352.61,22021.810000000027,0.11311502388321736,0.09028781731381617,0.09825408761076977,0.131248239452212,21974.24,0.09804184588551436,True,5,4,4,0.0755028860665408,0.07153888550593046,0.02528267603173339,0.04247935958769345,0.12200745411735275,8000,0.0755028860665408
2012,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,155775.13,15487.39,105552.36,14113.33,0.0,33083.16,272976.41,21974.24,228732.13,325142.01,41983.07000000001,8512.91,1703.75,94048.08,3004.02,254527.27,-1.3558056961157976,13609.75,5596.119999999999,6573.889999999999,9541.23,0.0,10980.970000000001,236960.24,254968.32499999998,0.04306797716932094,21974.24,20236.32,15892.23999999999,0.07936797639471492,0.08618419562508403,0.0623302521989741,0.12975399983507757,21471.25,0.08421144077406478,True,5,4,4,0.07224689248520057,0.06863843694807703,0.023946202930197003,0.04079061290453511,0.11602355329027442,8000,0.07224689248520057
2013,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,160301.98,14644.05,101155.55,2748.03,0.0,37938.64,291570.64,21471.25,245970.09,350969.37,44458.94,8640.22,2292.3,113306.35,3215.14,356410.22,-1.2281880363871074,4526.850000000006,-843.3400000000001,-4396.809999999998,-11365.3,0.0,-1598.2999999999956,272976.41,282273.525,-0.005662238426363208,21471.25,21974.24,17237.959999999992,0.07784732911101032,0.07606540500034496,0.06106828474260911,0.13440381984105665,24245.53,0.0858937443743617,True,5,4,4,0.0586506422547076,0.05492643346968591,0.020913541349838378,0.03141588719710664,0.09831615703354736,8000,0.0586506422547076
2014,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,186695.39,16572.9,116413.76,2637.62,0.0,42231.74,335134.14,24245.53,251157.22,360876.92,47709.15,9452.29,2282.67,121561.97,4079.71,354972.01,-1.195934581581526,26393.410000000003,1928.8500000000022,15258.209999999992,-110.41000000000031,0.0,9095.94000000001,291570.64,313352.39,0.029027830296746767,24245.53,21471.25,5187.130000000005,0.06852109856254807,0.07737464520375925,0.016553663433044197,0.13477395209910478,30784.13,0.09824124845513385,True,5,4,4,0.0527992370424473,0.04927130435332328,0.019599561953053405,0.028151259626513863,0.08982305642054524,8000,0.0527992370424473
2015,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,201193.85,16238.71,140057.79,12853.07,0.0,46638.78,365578.77,30784.13,286079.58,408740.41,56279.01,11336.43,2305.99,128009.14,4481.78,354038.16,-1.2824229766085102,14498.459999999992,-334.1900000000023,23644.030000000013,10215.45,0.0,1404.0699999999815,335134.14,350356.455,0.004007547113695911,30784.13,24245.53,34922.360000000015,0.0692024641018816,0.08786517148656502,0.0996766564497863,0.13311808398107006,32266.61,0.092096519243523,True,5,4,4,0.047054666128525865,0.04369510914317899,0.01869608565002048,0.023448918796309625,0.08212788389037849,8000,0.047054666128525865
2016,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,181826.12,14717.45,130841.91,8662.91,0.0,40965.29,338587.67,32266.61,284026.77,404377.95,55826.35,10915.06,2191.41,115692.62,4335.77,389616.79,-1.3951189381112248,-19367.73000000001,-1521.2599999999984,-9215.880000000005,-4190.16,0.0,-12820.750000000007,365578.77,352083.22,-0.03641397621846337,32266.61,30784.13,-2052.8099999999977,0.08743424352912929,0.09164483896733279,-0.0058304681489790905,0.11635115697930734,31401.58,0.08918794823564725,True,5,4,4,0.034233353906142606,0.03183251230762967,0.013352668112977669,0.017839043122282964,0.059349481710140144,8000,0.034233353906142606
2017,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,181661.95,16110.34,135161.08,5958.28,2568.79,31219.43,356659.81,31401.58,208263.81,286821.49,47759.490000000005,8373.2,1934.19,121619.53,4349.71,460397.97,-0.9516462907928952,-164.1699999999837,1392.8899999999994,4319.169999999984,-2704.63,2568.79,-6012.069999999967,338587.67,347623.74,-0.01729476243480945,31401.58,32266.61,-75762.96000000002,0.09282050184489701,0.09033209296925464,-0.2179452991329074,0.08980810689166396,23803.03,0.06847354556394795,True,5,4,4,0.02696273820925337,0.02473906178532892,0.011336899026822384,0.013250613352706008,0.04852619858231123,8000,0.02696273820925337
2018,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,188885.18,17130.54,159358.1,17545.2,2246.06,35703.75,383912.47,23803.03,225184.52,311262.94,52441.57,9337.24,2132.83,120527.14,5027.72,344347.01,-1.0458820948866496,7223.229999999981,1020.2000000000007,24197.02000000002,11586.920000000002,-322.73,-6729.800000000036,356659.81,370286.14,-0.018174593302358103,23803.03,31401.58,16920.709999999992,0.08480355219344694,0.06428280032301506,0.04569630934606408,0.09642205349625022,20455.53,0.055242494358552004,True,5,4,4,0.023311383207658777,0.021327716514125995,0.010108826085777258,0.01109577600009447,0.042397919990083716,8000,0.023311383207658777
2019,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,232258.91,18531.2,177903.05,20076.2,3116.33,34867.8,404754.47,20455.53,246152.57,335593.82,58463.22,10540.1,1891.59,118736.64,3985.39,443564.68,-1.134726666434706,43373.73000000001,1400.6599999999999,18544.949999999983,2531.0,870.27,26829.390000000025,383912.47,394333.47,0.0680373136979725,20455.53,23803.03,20968.050000000017,0.06036269252011502,0.05187368447319473,0.0531733966178423,0.08842211643865788,15932.56,0.04040377297925028,True,5,4,4,0.03189210116764691,0.029395710629304177,0.013088390137059118,0.015740202116988882,0.056180138619028645,8000,0.03189210116764691
2020,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,164918.71,15139.99,132236.91,11091.22,3388.27,35804.15,352448.76,15932.56,245943.02,343608.77,56672.11,10606.02,2258.6,134544.36,2693.46,501106.31,-1.0637770258956318,-67340.20000000001,-3391.210000000001,-45666.139999999985,-8984.980000000001,271.94000000000005,-26995.89000000003,404754.47,378601.615,-0.07130421247674823,15932.56,20455.53,-209.55000000001746,0.05402916730822714,0.042082651971783056,-0.000553484168312429,0.0945694592454393,28620.29,0.07559473828446295,True,5,4,4,0.03938811147234688,0.036488772344646064,0.01592159749905067,0.018855783504002216,0.06929624699630603,8000,0.03938811147234688
2021,ABB.ST,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,164641.26,21329.83,137102.71,12188.47,3328.93,35623.1,354557.74,28620.29,248773.02,334814.36,54842.66,10476.92,1272.01,137199.58,3328.93,667649.28,-0.9370275825168858,-277.44999999998254,6189.840000000002,4865.799999999988,1097.25,-59.340000000000146,-10295.179999999973,352448.76,353503.25,-0.029123296603355057,28620.29,15932.56,2830.0,0.045070476721218264,0.08096188648902096,0.008005584107076809,0.10077163364127487,12364.76,0.034977783089688706,True,5,4,4,0.04128432192575236,0.03834460989328497,0.01615844077312012,0.020441775495635594,0.07256862180814629,8000,0.04128432192575236
2017,ABL.OL,ABL Group ASA,Oil & Gas Related Equipment and Services,Energy,169.29,79.68,38.54,0.0,0.61,1.31,278.38,-2.17,257.35,0.0,241.98,0.0,0.0,233.5,0.0,158.15,0.0658244111349037,12.099999999999994,-5.909999999999997,5.109999999999999,0.0,0.61,13.509999999999991,327.39,302.885,0.04460438780395196,-2.17,-34.65,25.920000000000016,-0.1143998547303432,-0.007164435346748766,0.08557703418789316,0.004325073872922067,2.54,0.008386021097116067,True,3,5,5,0.03355950278478604,0.029427057666469976,0.017742183698450122,0.013321047039085954,0.06767490293003238,8000,0.03355950278478604
2018,ABL.OL,ABL Group ASA,Oil & Gas Related Equipment and Services,Energy,152.22,47.12,35.0,0.0,1.37,1.22,264.63,2.54,294.57,0.0,274.04,0.0,0.0,220.76,0.0,175.09,0.0929969197318356,-17.069999999999993,-32.56000000000001,-3.539999999999999,0.0,0.7600000000000001,19.790000000000013,278.38,271.505,0.07289000202574543,2.54,-2.17,37.21999999999997,-0.00799248632621867,0.009355260492440287,0.13708771477505008,0.004493471575109114,-23.45,-0.08637041675107272,True,3,5,5,0.03739276365454802,0.03373946477113011,0.017489625072833612,0.016741888175623443,0.07044102396658862,8000,0.03739276365454802
